,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 유천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년11월_계_총인구수,"545,983","23,345","14,454","8,318","26,904","13,598","17,200","31,102","28,922","23,218","16,508","31,848","21,238","37,644","16,004","51,901","30,203","36,623","19,992","11,182","35,669","19,407","18,204","12,499"
2021년11월_계_연령구간인구수,"545,983","23,345","14,454","8,318","26,904","13,598","17,200","31,102","28,922","23,218","16,508","31,848","21,238","37,644","16,004","51,901","30,203","36,623","19,992","11,182","35,669","19,407","18,204","12,499"
2021년11월_계_0~9세,"36,952","1,504",539,355,"1,981",560,"1,244","1,879","1,653","1,224",841,"1,339","2,072","3,862",520,"4,126","5,095","2,637","1,089",306,"2,096",786,672,572
2021년11월_계_10~19세,"52,858","1,964",688,526,"2,201",904,"1,600","3,341","2,777","2,339","1,292","2,224","2,173","7,230","1,095","4,847","4,661","4,409","1,402",545,"3,368","1,237","1,161",874
2021년11월_계_20~29세,"75,787","2,742","2,318","1,254","4,003","2,235","2,371","4,856","4,550","3,971","2,423","6,897","2,407","3,856","1,699","7,010","2,377","4,865","3,322","1,106","4,779","2,786","2,403","1,557"
2021년11월_계_30~39세,"63,067","2,606","1,843",927,"3,648","1,717","2,112","3,204","3,220","2,524","2,072","3,721","2,808","3,524","1,202","6,551","4,706","3,609","2,851",974,"3,742","2,188","1,908","1,410"
2021년11월_계_40~49세,"85,384","3,493","1,775","1,049","3,902","1,840","2,654","4,929","4,362","3,521","2,252","4,275","3,893","9,006","2,127","7,956","7,237","5,874","2,536","1,183","4,877","2,598","2,295","1,750"
2021년11월_계_50~59세,"101,678","4,059","2,525","1,473","5,051","2,679","3,368","6,733","6,443","5,157","3,449","6,328","3,676","5,655","2,937","9,386","3,324","6,876","3,762","2,130","7,185","3,679","3,358","2,445"
2021년11월_계_60~69세,"77,594","3,937","2,524","1,398","3,858","2,266","2,339","3,848","3,779","2,818","2,811","4,121","2,689","2,680","3,243","7,265","1,828","5,106","3,147","2,741","6,043","3,435","3,485","2,233"
2021년11월_계_70~79세,"35,130","2,095","1,508",883,"1,588",968,"1,062","1,583","1,421","1,092",959,"1,893","1,054","1,230","2,075","3,176",733,"2,102","1,251","1,433","2,299","1,799","1,862","1,064"
2021년11월_계_80~89세,"15,595",854,664,414,600,386,399,655,658,515,372,930,408,520,994,"1,403",213,"1,004",547,663,"1,131",809,944,512
2021년11월_계_90~99세,"1,890",83,63,39,70,43,50,72,58,55,35,119,56,79,109,179,27,140,82,100,147,88,114,82
2021년11월_계_100세 이상,48,8,7,0,2,0,1,2,1,2,2,1,2,2,3,2,2,1,3,1,2,2,2,0
2021년11월_남_총인구수,"269,093","11,321","7,075","4,036","13,117","6,722","8,463","15,599","14,546","11,677","8,360","16,372","10,480","18,447","7,653","25,459","14,844","17,926","9,912","5,355","17,259","9,570","8,725","6,175"
2021년11월_남_연령구간인구수,"269,093","11,321","7,075","4,036","13,117","6,722","8,463","15,599","14,546","11,677","8,360","16,372","10,480","18,447","7,653","25,459","14,844","17,926","9,912","5,355","17,259","9,570","8,725","6,175"
2021년11월_남_0~9세,"18,950",720,289,195,961,270,647,973,853,655,432,714,"1,017","1,968",289,"2,109","2,624","1,343",586,167,"1,088",407,348,295
2021년11월_남_10~19세,"27,391",926,340,277,"1,141",470,834,"1,786","1,480","1,190",666,"1,145","1,053","3,683",567,"2,570","2,365","2,439",760,285,"1,739",641,579,455
2021년11월_남_20~29세,"40,227","1,394","1,104",628,"1,985","1,166","1,253","2,605","2,480","2,154","1,325","3,647","1,274","2,104",933,"3,782","1,221","2,694","1,728",634,"2,573","1,425","1,257",861
2021년11월_남_30~39세,"33,201","1,375",969,490,"1,890",965,"1,106","1,690","1,763","1,370","1,171","2,248","1,433","1,561",671,"3,395","2,122","1,785","1,614",542,"1,953","1,230","1,059",799
2021년11월_남_40~49세,"41,471","1,774",990,540,"1,914",932,"1,282","2,297","2,073","1,647","1,115","2,230","1,944","4,072","1,098","3,782","3,542","2,639","1,260",634,"2,285","1,354","1,162",905
2021년11월_남_50~59세,"49,043","2,032","1,286",706,"2,392","1,260","1,611","3,301","3,066","2,500","1,618","3,207","1,807","3,060","1,472","4,348","1,716","3,227","1,714",978,"3,211","1,766","1,584","1,181"
2021년11월_남_60~69세,"37,299","1,846","1,186",654,"1,848","1,085","1,098","1,927","1,955","1,484","1,436","2,061","1,282","1,253","1,488","3,477",853,"2,438","1,502","1,261","2,918","1,596","1,587","1,064"
2021년11월_남_70~79세,"15,729",947,652,374,741,432,488,764,623,483,450,812,507,545,809,"1,453",319,963,556,663,"1,070",834,790,454
2021년11월_남_80~89세,"5,353",296,248,162,227,127,132,239,240,179,141,283,152,185,303,501,76,366,174,167,383,298,332,142
2021년11월_남_90~99세,423,11,10,10,17,15,12,16,13,15,6,25,9,16,23,42,6,32,18,24,39,19,26,19
2021년11월_남_100세 이상,6,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
2021년11월_여_총인구수,"276,890","12,024","7,379","4,282","13,787","6,876","8,737","15,503","14,376","11,541","8,148","15,476","10,758","19,197","8,351","26,442","15,359","18,697","10,080","5,827","18,410","9,837","9,479","6,324"
2021년11월_여_연령구간인구수,"276,890","12,024","7,379","4,282","13,787","6,876","8,737","15,503","14,376","11,541","8,148","15,476","10,758","19,197","8,351","26,442","15,359","18,697","10,080","5,827","18,410","9,837","9,479","6,324"
