,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년03월_계_총인구수,"13,465,837","1,185,984","271,918","366,553","180,743","366,770","934,308","238,984","215,336","479,988","461,143","551,136","237,879","313,257","813,178","295,750","544,368","93,351","655,859","353,508","302,351","1,080,845","479,323","300,350","301,172","68,399","195,804","720,282","230,604","509,115","271,392","162,443","300,187","1,075,421","258,130","440,164","377,127","468,501","218,565","187,540","480,275","860,865","383,052","234,181","147,014","111,903","43,063","62,049","119,260"
2021년03월_계_연령구간인구수,"13,465,837","1,185,984","271,918","366,553","180,743","366,770","934,308","238,984","215,336","479,988","461,143","551,136","237,879","313,257","813,178","295,750","544,368","93,351","655,859","353,508","302,351","1,080,845","479,323","300,350","301,172","68,399","195,804","720,282","230,604","509,115","271,392","162,443","300,187","1,075,421","258,130","440,164","377,127","468,501","218,565","187,540","480,275","860,865","383,052","234,181","147,014","111,903","43,063","62,049","119,260"
2021년03월_계_0~9세,"1,134,030","95,345","17,736","31,681","10,247","35,681","67,599","15,427","13,102","39,070","33,963","39,186","15,187","23,999","55,709","22,618","49,471","6,125","43,822","23,338","20,484","81,455","38,523","20,712","22,220","5,890","14,752","64,864","23,226","49,124","19,996","12,888","30,539","99,274","20,967","41,852","36,455","43,855","18,515","13,796","55,429","103,000","34,518","20,241","8,343","7,306","2,655","3,291","7,235"
2021년03월_계_10~19세,"1,325,112","117,788","28,483","33,140","14,144","42,021","86,844","17,285","16,390","53,169","42,135","52,059","18,575","33,484","69,442","30,138","53,668","8,490","63,489","34,278","29,211","103,975","41,307","29,329","33,339","6,722","17,891","77,688","24,947","50,509","26,148","14,393","26,000","120,661","24,645","50,505","45,511","49,305","21,956","17,926","48,432","97,518","33,771","24,407","11,999","9,477","3,123","4,522","9,689"
2021년03월_계_20~29세,"1,811,928","186,757","43,937","54,026","29,951","58,843","131,115","34,975","31,040","65,100","64,877","77,206","34,098","43,108","116,325","37,773","74,995","11,185","107,137","58,908","48,229","150,167","62,755","44,905","42,507","9,201","27,042","85,568","31,546","70,166","37,870","23,187","37,340","138,150","34,491","57,075","46,584","57,294","30,300","22,743","52,833","106,084","45,155","27,678","17,919","12,193","5,325","6,220","10,577"
2021년03월_계_30~39세,"1,902,623","177,670","32,202","57,280","26,218","61,970","135,757","35,463","31,205","69,089","59,663","77,261","32,727","44,534","114,266","40,515","82,252","10,053","85,490","44,240","41,250","143,290","68,428","38,654","36,208","9,604","25,820","89,817","38,603","78,787","37,620","22,644","50,838","143,848","33,928","58,493","51,427","66,892","30,378","22,891","76,700","149,877","57,009","28,594","14,523","11,398","4,176","5,628","10,759"
2021년03월_계_40~49세,"2,298,082","201,650","44,576","61,192","27,977","67,905","155,458","37,099","32,669","85,690","74,309","87,440","34,699","52,741","127,856","50,813","94,681","14,079","107,179","57,544","49,635","181,155","78,762","50,948","51,445","10,330","32,428","131,124","43,592","91,950","43,795","24,241","53,013","199,206","43,478","83,226","72,502","81,012","34,666","30,150","90,022","165,873","67,082","40,017","20,104","15,894","4,863","7,813","16,287"
2021년03월_계_50~59세,"2,241,613","196,496","48,786","61,860","31,003","54,847","154,987","40,636","37,845","76,506","80,292","97,080","42,957","54,123","146,293","49,406","87,790","16,326","127,722","69,157","58,565","195,166","83,160","55,949","56,057","11,918","35,485","118,456","33,504","88,589","47,807","29,177","42,875","166,732","43,434","67,400","55,898","73,925","35,186","31,452","67,621","116,791","63,845","38,658","28,995","20,079","6,998","11,234","20,728"
2021년03월_계_60~69세,"1,574,976","124,098","31,515","41,094","23,408","28,081","115,374","33,761","31,209","50,404","58,388","72,582","35,084","37,498","113,243","38,056","56,705","13,375","74,188","39,438","34,750","124,986","58,562","33,828","32,596","8,349","25,049","85,661","20,661","49,553","34,137","21,808","36,155","108,765","32,352","42,010","34,403","50,843","26,686","26,110","50,872","72,461","49,532","29,732","25,191","19,076","7,657","12,284","23,399"
2021년03월_계_70~79세,"767,454","56,525","15,717","17,433","11,975","11,400","57,793","17,032","15,253","25,508","31,148","31,803","16,496","15,307","46,702","17,782","28,458","8,653","29,898","16,859","13,039","61,861","30,350","15,621","15,890","3,931","11,667","45,120","9,871","19,725","15,105","9,109","16,478","65,843","16,084","26,396","23,363","28,721","13,059","13,721","25,999","32,284","22,297","16,375","12,356","10,220","5,011","6,810","13,129"
2021년03월_계_80~89세,"355,003","25,500","7,649","7,650","5,062","5,139","25,081","6,325","5,751","13,005","14,342","14,254","7,042","7,212","20,100","7,492","14,300","4,458","14,705","8,439","6,266","33,687","15,304","8,926","9,457","2,022","4,949","19,150","4,114","9,192","7,675","4,243","5,856","28,543","7,522","11,449","9,572","14,504","6,836","7,668","10,746","14,771","8,534","7,362","6,599","5,383","2,828","3,696","6,413"
2021년03월_계_90~99세,"52,598","3,958","1,255","1,146",713,844,"4,090",906,813,"2,371","1,899","2,166",964,"1,202","3,098","1,105","1,951",580,"2,136","1,254",882,"4,917","2,078","1,433","1,406",395,667,"2,702",509,"1,417","1,198",729,"1,031","4,249","1,185","1,693","1,371","2,066",950,"1,044","1,568","2,123","1,255","1,070",950,850,404,518,"1,003"
2021년03월_계_100세 이상,"2,418",197,62,51,45,39,210,75,59,76,127,99,50,49,144,52,97,27,93,53,40,186,94,45,47,37,54,132,31,103,41,24,62,150,44,65,41,84,33,39,53,83,54,47,35,27,23,33,41
2021년03월_남_총인구수,"6,776,866","597,390","137,079","185,162","91,240","183,909","462,773","120,965","109,074","232,734","227,191","272,569","119,096","153,473","403,374","145,897","282,242","46,621","336,542","180,441","156,101","529,227","236,865","146,157","146,205","33,581","97,184","358,682","119,343","265,947","134,603","80,839","150,678","533,356","132,245","217,273","183,838","237,528","113,087","96,711","240,514","447,092","195,851","118,821","77,942","56,842","22,577","32,009","59,853"
2021년03월_남_연령구간인구수,"6,776,866","597,390","137,079","185,162","91,240","183,909","462,773","120,965","109,074","232,734","227,191","272,569","119,096","153,473","403,374","145,897","282,242","46,621","336,542","180,441","156,101","529,227","236,865","146,157","146,205","33,581","97,184","358,682","119,343","265,947","134,603","80,839","150,678","533,356","132,245","217,273","183,838","237,528","113,087","96,711","240,514","447,092","195,851","118,821","77,942","56,842","22,577","32,009","59,853"
2021년03월_남_0~9세,"580,656","49,202","9,147","16,322","5,226","18,507","34,573","7,806","6,717","20,050","17,530","19,915","7,677","12,238","28,647","11,571","25,170","3,163","22,352","11,851","10,501","41,612","19,681","10,595","11,336","3,064","7,600","33,388","11,827","25,009","10,222","6,692","15,658","50,761","10,697","21,492","18,572","22,408","9,583","7,094","28,198","52,598","17,755","10,322","4,297","3,754","1,349","1,651","3,691"
2021년03월_남_10~19세,"681,134","60,988","14,945","17,224","7,230","21,589","44,550","8,849","8,460","27,241","21,766","27,000","9,688","17,312","35,611","15,495","27,691","4,274","32,693","17,563","15,130","53,223","21,103","15,155","16,965","3,470","9,256","39,900","12,729","25,973","13,517","7,398","13,198","61,825","12,755","25,927","23,143","25,330","11,387","9,320","24,722","49,813","17,267","12,428","6,288","4,874","1,655","2,385","5,108"
2021년03월_남_20~29세,"954,223","98,404","24,073","28,280","15,509","30,542","67,166","18,384","16,059","32,723","32,835","40,019","17,815","22,204","60,003","19,761","41,253","6,093","57,077","31,461","25,616","76,955","32,476","22,631","21,848","4,835","13,902","44,587","17,043","38,135","19,767","12,216","18,933","71,627","18,709","29,559","23,359","30,404","17,147","12,547","27,181","57,574","23,983","14,848","10,399","6,683","3,377","3,591","5,878"
2021년03월_남_30~39세,"981,307","92,437","16,856","29,957","14,227","31,397","69,070","18,952","16,785","33,333","30,466","39,751","17,316","22,435","58,805","20,519","44,836","5,198","46,678","24,009","22,669","71,099","34,476","18,884","17,739","4,809","13,026","44,317","20,875","42,111","19,517","11,675","25,749","71,049","18,039","28,640","24,370","35,347","16,320","12,520","37,635","78,057","29,690","14,749","8,119","6,001","2,385","3,059","5,438"
2021년03월_남_40~49세,"1,169,016","101,710","22,075","31,701","14,499","33,435","76,761","19,644","17,222","39,895","37,360","42,918","17,789","25,129","64,449","25,090","50,568","7,287","54,876","29,279","25,597","87,711","39,469","24,169","24,073","4,995","16,185","65,762","23,155","49,482","21,614","11,998","27,779","98,334","22,894","40,740","34,700","41,485","17,930","16,113","46,856","88,391","35,417","20,613","10,818","8,217","2,669","4,205","8,268"
2021년03월_남_50~59세,"1,136,118","98,074","24,418","30,468","15,744","27,444","77,475","20,700","19,143","37,632","39,446","47,157","21,100","26,057","70,956","24,601","46,245","8,589","65,241","35,258","29,983","96,054","41,453","27,299","27,302","5,751","17,478","60,460","17,517","46,626","23,327","14,050","21,371","84,780","22,405","34,041","28,334","38,709","18,329","16,690","34,553","62,862","32,600","20,297","15,981","10,518","3,762","5,961","10,658"
2021년03월_남_60~69세,"783,261","61,355","15,534","20,318","11,444","14,059","56,487","16,375","15,495","24,617","28,275","35,749","17,264","18,485","55,855","18,090","28,439","6,591","38,846","20,475","18,371","62,587","28,969","17,109","16,509","4,065","12,478","41,783","10,229","26,319","16,783","10,883","17,463","52,022","16,303","19,687","16,032","25,338","13,641","13,202","24,775","36,944","24,812","14,923","13,637","9,718","3,973","6,353","11,646"
