카테고리,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 세종대왕면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년12월_계_총인구수,"112,150","15,272","4,773","5,080","2,954",0,"6,274","6,964","4,907","4,289","2,536","21,775","18,626","18,700"
2021년12월_계_연령구간인구수,"112,150","15,272","4,773","5,080","2,954",0,"6,274","6,964","4,907","4,289","2,536","21,775","18,626","18,700"
2021년12월_계_0~9세,"6,845",890,194,169,86,0,251,195,138,134,105,"1,419","1,307","1,957"
2021년12월_계_10~19세,"9,405","1,217",238,250,128,0,425,403,340,254,149,"1,957","2,136","1,908"
2021년12월_계_20~29세,"11,956","1,629",449,391,206,0,526,608,422,336,189,"2,698","2,426","2,076"
2021년12월_계_30~39세,"11,129","1,703",289,345,188,0,473,424,285,308,171,"2,373","1,940","2,630"
2021년12월_계_40~49세,"15,713","2,161",424,498,249,0,668,647,552,455,259,"3,460","3,029","3,311"
2021년12월_계_50~59세,"20,087","2,762",861,908,552,0,"1,064","1,230",991,885,419,"3,914","3,417","3,084"
2021년12월_계_60~69세,"20,212","2,714","1,177","1,313",813,0,"1,462","1,745","1,086",995,638,"3,465","2,572","2,232"
2021년12월_계_70~79세,"10,163","1,340",671,717,440,0,793,966,604,560,370,"1,568","1,156",978
2021년12월_계_80~89세,"5,708",742,397,411,245,0,533,641,422,296,200,804,560,457
2021년12월_계_90~99세,906,110,71,75,47,0,78,103,67,66,35,112,79,63
2021년12월_계_100세 이상,26,4,2,3,0,0,1,2,0,0,1,5,4,4
2021년12월_남_총인구수,"57,022","7,933","2,469","2,672","1,527",0,"3,234","3,628","2,560","2,215","1,265","10,882","9,342","9,295"
2021년12월_남_연령구간인구수,"57,022","7,933","2,469","2,672","1,527",0,"3,234","3,628","2,560","2,215","1,265","10,882","9,342","9,295"
2021년12월_남_0~9세,"3,529",436,110,93,45,0,123,92,76,70,51,748,670,"1,015"
2021년12월_남_10~19세,"4,848",628,134,143,58,0,216,231,202,129,68,990,"1,094",955
2021년12월_남_20~29세,"6,537",898,264,221,131,0,290,366,236,199,100,"1,438","1,298","1,096"
2021년12월_남_30~39세,"5,877",963,157,198,101,0,253,243,157,160,97,"1,197","1,018","1,333"
2021년12월_남_40~49세,"8,133","1,161",236,280,138,0,396,364,297,257,137,"1,754","1,474","1,639"
2021년12월_남_50~59세,"10,557","1,500",461,504,292,0,598,663,565,487,214,"1,970","1,788","1,515"
2021년12월_남_60~69세,"10,277","1,374",600,677,434,0,767,931,580,491,333,"1,729","1,255","1,106"
2021년12월_남_70~79세,"4,900",654,348,370,221,0,393,452,272,285,172,745,522,466
2021년12월_남_80~89세,"2,147",286,138,167,98,0,182,251,161,125,84,289,209,157
2021년12월_남_90~99세,212,31,21,19,9,0,15,35,14,12,8,22,14,12
2021년12월_남_100세 이상,5,2,0,0,0,0,1,0,0,0,1,0,0,1
2021년12월_여_총인구수,"55,128","7,339","2,304","2,408","1,427",0,"3,040","3,336","2,347","2,074","1,271","10,893","9,284","9,405"
2021년12월_여_연령구간인구수,"55,128","7,339","2,304","2,408","1,427",0,"3,040","3,336","2,347","2,074","1,271","10,893","9,284","9,405"
2021년12월_여_0~9세,"3,316",454,84,76,41,0,128,103,62,64,54,671,637,942
2021년12월_여_10~19세,"4,557",589,104,107,70,0,209,172,138,125,81,967,"1,042",953
2021년12월_여_20~29세,"5,419",731,185,170,75,0,236,242,186,137,89,"1,260","1,128",980
2021년12월_여_30~39세,"5,252",740,132,147,87,0,220,181,128,148,74,"1,176",922,"1,297"
2021년12월_여_40~49세,"7,580","1,000",188,218,111,0,272,283,255,198,122,"1,706","1,555","1,672"
2021년12월_여_50~59세,"9,530","1,262",400,404,260,0,466,567,426,398,205,"1,944","1,629","1,569"
2021년12월_여_60~69세,"9,935","1,340",577,636,379,0,695,814,506,504,305,"1,736","1,317","1,126"
2021년12월_여_70~79세,"5,263",686,323,347,219,0,400,514,332,275,198,823,634,512
2021년12월_여_80~89세,"3,561",456,259,244,147,0,351,390,261,171,116,515,351,300
2021년12월_여_90~99세,694,79,50,56,38,0,63,68,53,54,27,90,65,51
2021년12월_여_100세 이상,21,2,2,3,0,0,0,2,0,0,0,5,4,3
