,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년09월_계_총인구수,"50,215","29,083","3,216","1,400","1,900","2,370","2,964","4,097","2,199","2,986"
2021년09월_계_연령구간인구수,"50,215","29,083","3,216","1,400","1,900","2,370","2,964","4,097","2,199","2,986"
2021년09월_계_0~9세,"2,457","2,018",86,39,37,36,46,89,46,60
2021년09월_계_10~19세,"3,781","2,988",118,64,64,63,143,168,70,103
2021년09월_계_20~29세,"4,172","3,087",201,52,85,77,120,242,129,179
2021년09월_계_30~39세,"3,732","2,709",175,67,73,75,105,239,117,172
2021년09월_계_40~49세,"6,096","4,468",272,93,142,130,205,354,165,267
2021년09월_계_50~59세,"8,770","4,963",612,248,318,425,477,731,399,597
2021년09월_계_60~69세,"10,387","4,608",870,374,538,702,830,"1,045",585,835
2021년09월_계_70~79세,"6,339","2,720",485,248,340,423,589,702,383,449
2021년09월_계_80~89세,"3,851","1,320",334,176,262,375,396,451,262,275
2021년09월_계_90~99세,618,199,62,39,39,61,52,76,43,47
2021년09월_계_100세 이상,12,3,1,0,2,3,1,0,0,2
2021년09월_남_총인구수,"25,283","14,531","1,648",701,972,"1,185","1,435","2,109","1,146","1,556"
2021년09월_남_연령구간인구수,"25,283","14,531","1,648",701,972,"1,185","1,435","2,109","1,146","1,556"
2021년09월_남_0~9세,"1,265","1,044",45,21,20,18,17,40,29,31
2021년09월_남_10~19세,"2,009","1,589",57,35,34,33,77,94,34,56
2021년09월_남_20~29세,"2,362","1,698",134,32,52,52,66,143,75,110
2021년09월_남_30~39세,"1,924","1,353",92,43,42,34,57,145,61,97
2021년09월_남_40~49세,"3,275","2,273",155,56,91,86,123,233,110,148
2021년09월_남_50~59세,"4,717","2,595",335,133,187,237,274,402,222,332
2021년09월_남_60~69세,"5,317","2,235",473,199,283,389,420,552,318,448
2021년09월_남_70~79세,"2,951","1,212",233,119,168,200,270,342,194,213
2021년09월_남_80~89세,"1,311",492,106,53,83,117,116,140,95,109
2021년09월_남_90~99세,151,40,18,10,11,19,15,18,8,12
2021년09월_남_100세 이상,1,0,0,0,1,0,0,0,0,0
2021년09월_여_총인구수,"24,932","14,552","1,568",699,928,"1,185","1,529","1,988","1,053","1,430"
2021년09월_여_연령구간인구수,"24,932","14,552","1,568",699,928,"1,185","1,529","1,988","1,053","1,430"
2021년09월_여_0~9세,"1,192",974,41,18,17,18,29,49,17,29
2021년09월_여_10~19세,"1,772","1,399",61,29,30,30,66,74,36,47
2021년09월_여_20~29세,"1,810","1,389",67,20,33,25,54,99,54,69
2021년09월_여_30~39세,"1,808","1,356",83,24,31,41,48,94,56,75
2021년09월_여_40~49세,"2,821","2,195",117,37,51,44,82,121,55,119
2021년09월_여_50~59세,"4,053","2,368",277,115,131,188,203,329,177,265
2021년09월_여_60~69세,"5,070","2,373",397,175,255,313,410,493,267,387
2021년09월_여_70~79세,"3,388","1,508",252,129,172,223,319,360,189,236
2021년09월_여_80~89세,"2,540",828,228,123,179,258,280,311,167,166
2021년09월_여_90~99세,467,159,44,29,28,42,37,58,35,35
2021년09월_여_100세 이상,11,3,1,0,1,3,1,0,0,2
