카테고리,전라남도 순천시,전라남도 순천시 승주읍,전라남도 순천시 해룡면,전라남도 순천시 해룡면상삼출장소,전라남도 순천시 해룡면신대출장소,전라남도 순천시 서면,전라남도 순천시 황전면,전라남도 순천시 월등면,전라남도 순천시 주암면,전라남도 순천시 송광면,전라남도 순천시 외서면,전라남도 순천시 낙안면,전라남도 순천시 별량면,전라남도 순천시 상사면,전라남도 순천시 향동,전라남도 순천시 매곡동,전라남도 순천시 삼산동,전라남도 순천시 조곡동,전라남도 순천시 덕연동,전라남도 순천시 풍덕동,전라남도 순천시 남제동,전라남도 순천시 저전동,전라남도 순천시 장천동,전라남도 순천시 중앙동,전라남도 순천시 도사동,전라남도 순천시 왕조1동,전라남도 순천시 왕조2동
2020년11월_계_총인구수,"282,618","2,750","4,632","18,354","32,312","12,101","2,958","1,819","3,193","1,514",900,"3,281","5,542","2,828","3,757","6,548","25,408","6,337","44,563","7,776","8,925","2,889","2,391","3,103","18,530","40,454","19,753"
2020년11월_계_연령구간인구수,"282,618","2,750","4,632","18,354","32,312","12,101","2,958","1,819","3,193","1,514",900,"3,281","5,542","2,828","3,757","6,548","25,408","6,337","44,563","7,776","8,925","2,889","2,391","3,103","18,530","40,454","19,753"
2020년11월_계_0~9세,"23,588",53,126,"1,502","5,876",803,57,36,58,15,26,73,139,51,143,397,"1,932",339,"3,443",384,366,116,49,91,"2,147","3,530","1,836"
2020년11월_계_10~19세,"30,388",131,216,"2,597","4,904","1,012",98,69,134,38,39,156,294,165,266,558,"2,720",558,"5,375",603,684,191,107,198,"1,745","4,873","2,657"
2020년11월_계_20~29세,"37,650",192,424,"3,182","3,168","1,352",158,124,198,83,54,238,423,267,369,"1,077","3,949",767,"6,677",930,"1,130",354,282,379,"2,200","6,380","3,293"
2020년11월_계_30~39세,"33,244",118,259,"2,184","6,626","1,136",124,100,152,66,31,146,272,154,312,788,"2,876",639,"5,034",780,779,250,206,272,"2,601","4,963","2,376"
2020년11월_계_40~49세,"43,659",238,472,"3,390","6,707","1,698",219,139,224,119,59,252,540,284,432,824,"3,740",891,"7,116",975,"1,097",321,289,422,"2,876","6,862","3,473"
2020년11월_계_50~59세,"49,215",552,912,"3,508","3,249","2,205",479,317,543,288,150,549,972,551,573,987,"4,543","1,160","8,656","1,334","1,731",468,472,540,"3,051","7,589","3,836"
2020년11월_계_60~69세,"34,139",552,914,"1,211","1,231","1,941",646,422,690,308,197,750,"1,106",582,777,895,"3,366","1,073","5,300","1,376","1,589",527,516,568,"2,116","3,920","1,566"
2020년11월_계_70~79세,"19,018",477,722,478,375,"1,185",644,337,649,320,177,648,935,446,575,667,"1,496",601,"2,018",964,"1,073",440,305,428,"1,110","1,482",466
