카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년09월_계_총인구수,"98,620","6,074","1,647","2,167","1,628","1,115","3,464","2,588","3,871","5,129","2,409","1,703","2,184","5,181","14,138","6,847","16,410","15,738","6,327"
2021년09월_계_연령구간인구수,"98,620","6,074","1,647","2,167","1,628","1,115","3,464","2,588","3,871","5,129","2,409","1,703","2,184","5,181","14,138","6,847","16,410","15,738","6,327"
2021년09월_계_0~9세,"5,721",127,32,41,58,27,106,54,109,136,35,40,71,169,994,451,"1,538","1,497",236
2021년09월_계_10~19세,"8,080",290,93,113,104,63,170,98,197,242,85,58,106,318,"1,405",654,"1,930","1,791",363
2021년09월_계_20~29세,"9,138",359,178,134,124,64,208,149,249,357,108,82,151,447,"1,604",709,"1,962","1,771",482
2021년09월_계_30~39세,"8,998",334,83,122,104,59,208,128,201,264,94,69,141,367,"1,553",737,"2,143","1,867",524
2021년09월_계_40~49세,"13,420",553,156,234,215,99,320,201,362,453,179,130,256,645,"2,161","1,065","2,971","2,693",727
2021년09월_계_50~59세,"16,603","1,062",268,385,304,209,560,407,654,913,354,244,383,907,"2,391","1,149","2,572","2,627","1,214"
2021년09월_계_60~69세,"17,868","1,568",410,523,386,260,838,596,920,"1,241",590,446,526,"1,130","2,139","1,020","1,878","1,943","1,454"
2021년09월_계_70~79세,"11,316","1,044",274,353,188,186,583,514,681,856,503,358,359,705,"1,263",661,924,"1,018",846
2021년09월_계_80~89세,"6,473",618,131,224,125,129,411,381,434,551,387,234,174,428,558,366,442,460,420
2021년09월_계_90~99세,962,119,22,37,19,19,59,60,58,106,72,42,16,64,69,34,47,62,57
2021년09월_계_100세 이상,41,0,0,1,1,0,1,0,6,10,2,0,1,1,1,1,3,9,4
2021년09월_남_총인구수,"50,024","3,090",863,"1,142",875,601,"1,799","1,298","1,952","2,583","1,193",875,"1,079","2,733","7,132","3,448","8,201","7,866","3,294"
2021년09월_남_연령구간인구수,"50,024","3,090",863,"1,142",875,601,"1,799","1,298","1,952","2,583","1,193",875,"1,079","2,733","7,132","3,448","8,201","7,866","3,294"
2021년09월_남_0~9세,"2,900",70,12,15,28,13,53,34,59,77,25,20,41,86,511,228,774,747,107
2021년09월_남_10~19세,"4,165",144,48,60,57,36,94,58,106,117,45,36,61,164,714,323,979,937,186
2021년09월_남_20~29세,"5,393",241,131,75,81,41,125,89,147,214,63,51,83,293,937,401,"1,100","1,015",306
2021년09월_남_30~39세,"4,883",196,38,78,62,36,137,84,118,159,56,34,78,223,832,405,"1,075",950,322
2021년09월_남_40~49세,"7,365",332,98,154,130,67,199,120,217,259,118,97,158,391,"1,100",571,"1,534","1,353",467
2021년09월_남_50~59세,"8,872",583,155,232,181,133,313,241,355,502,194,140,214,504,"1,226",601,"1,296","1,340",662
2021년09월_남_60~69세,"8,800",796,222,256,197,140,426,298,477,636,296,244,237,563,"1,024",476,886,921,705
2021년09월_남_70~79세,"5,121",484,120,176,92,88,298,233,309,399,220,159,151,336,560,285,405,444,362
2021년09월_남_80~89세,"2,299",215,36,89,43,43,145,126,156,195,154,83,53,157,210,150,141,140,163
2021년09월_남_90~99세,219,29,3,7,4,4,9,15,8,23,21,11,3,16,18,8,10,16,14
2021년09월_남_100세 이상,7,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0
2021년09월_여_총인구수,"48,596","2,984",784,"1,025",753,514,"1,665","1,290","1,919","2,546","1,216",828,"1,105","2,448","7,006","3,399","8,209","7,872","3,033"
2021년09월_여_연령구간인구수,"48,596","2,984",784,"1,025",753,514,"1,665","1,290","1,919","2,546","1,216",828,"1,105","2,448","7,006","3,399","8,209","7,872","3,033"
2021년09월_여_0~9세,"2,821",57,20,26,30,14,53,20,50,59,10,20,30,83,483,223,764,750,129
2021년09월_여_10~19세,"3,915",146,45,53,47,27,76,40,91,125,40,22,45,154,691,331,951,854,177
2021년09월_여_20~29세,"3,745",118,47,59,43,23,83,60,102,143,45,31,68,154,667,308,862,756,176
2021년09월_여_30~39세,"4,115",138,45,44,42,23,71,44,83,105,38,35,63,144,721,332,"1,068",917,202
2021년09월_여_40~49세,"6,055",221,58,80,85,32,121,81,145,194,61,33,98,254,"1,061",494,"1,437","1,340",260
2021년09월_여_50~59세,"7,731",479,113,153,123,76,247,166,299,411,160,104,169,403,"1,165",548,"1,276","1,287",552
2021년09월_여_60~69세,"9,068",772,188,267,189,120,412,298,443,605,294,202,289,567,"1,115",544,992,"1,022",749
2021년09월_여_70~79세,"6,195",560,154,177,96,98,285,281,372,457,283,199,208,369,703,376,519,574,484
2021년09월_여_80~89세,"4,174",403,95,135,82,86,266,255,278,356,233,151,121,271,348,216,301,320,257
2021년09월_여_90~99세,743,90,19,30,15,15,50,45,50,83,51,31,13,48,51,26,37,46,43
2021년09월_여_100세 이상,34,0,0,1,1,0,1,0,6,8,1,0,1,1,1,1,2,6,4
