,경상북도 고령군,경상북도 고령군 대가야읍,경상북도 고령군 덕곡면,경상북도 고령군 운수면,경상북도 고령군 성산면,경상북도 고령군 다산면,경상북도 고령군 개진면,경상북도 고령군 우곡면,경상북도 고령군 쌍림면
2020년10월_계_총인구수,"31,398","10,089","1,437","1,891","2,603","8,447","1,943","1,582","3,406"
2020년10월_계_연령구간인구수,"31,398","10,089","1,437","1,891","2,603","8,447","1,943","1,582","3,406"
2020년10월_계_0~9세,"1,426",595,35,48,66,497,41,28,116
2020년10월_계_10~19세,"2,071",912,47,52,82,784,40,46,108
2020년10월_계_20~29세,"2,512",964,94,121,204,744,130,70,185
2020년10월_계_30~39세,"2,297",819,65,108,170,770,114,71,180
2020년10월_계_40~49세,"3,904","1,575",104,156,252,"1,240",152,139,286
2020년10월_계_50~59세,"5,911","1,834",261,346,560,"1,612",408,279,611
2020년10월_계_60~69세,"6,204","1,658",352,450,603,"1,491",463,362,825
2020년10월_계_70~79세,"4,103","1,071",240,349,383,834,342,314,570
2020년10월_계_80~89세,"2,651",593,214,231,251,434,220,253,455
2020년10월_계_90~99세,309,66,23,29,31,41,33,19,67
2020년10월_계_100세 이상,10,2,2,1,1,0,0,1,3
2020년10월_남_총인구수,"16,076","5,076",710,943,"1,425","4,375","1,040",812,"1,695"
2020년10월_남_연령구간인구수,"16,076","5,076",710,943,"1,425","4,375","1,040",812,"1,695"
2020년10월_남_0~9세,727,315,18,23,29,247,23,13,59
2020년10월_남_10~19세,"1,109",492,24,30,42,420,24,19,58
2020년10월_남_20~29세,"1,451",549,54,64,122,430,81,48,103
2020년10월_남_30~39세,"1,264",425,42,64,108,409,70,47,99
2020년10월_남_40~49세,"2,196",816,58,100,166,676,105,93,182
2020년10월_남_50~59세,"3,325","1,015",138,188,330,890,254,165,345
2020년10월_남_60~69세,"3,244",810,199,237,344,769,257,184,444
2020년10월_남_70~79세,"1,811",447,94,155,184,374,157,153,247
2020년10월_남_80~89세,872,195,75,74,92,150,60,85,141
2020년10월_남_90~99세,72,11,7,7,8,10,9,4,16
2020년10월_남_100세 이상,5,1,1,1,0,0,0,1,1
2020년10월_여_총인구수,"15,322","5,013",727,948,"1,178","4,072",903,770,"1,711"
2020년10월_여_연령구간인구수,"15,322","5,013",727,948,"1,178","4,072",903,770,"1,711"
2020년10월_여_0~9세,699,280,17,25,37,250,18,15,57
2020년10월_여_10~19세,962,420,23,22,40,364,16,27,50
2020년10월_여_20~29세,"1,061",415,40,57,82,314,49,22,82
2020년10월_여_30~39세,"1,033",394,23,44,62,361,44,24,81
2020년10월_여_40~49세,"1,708",759,46,56,86,564,47,46,104
2020년10월_여_50~59세,"2,586",819,123,158,230,722,154,114,266
2020년10월_여_60~69세,"2,960",848,153,213,259,722,206,178,381
2020년10월_여_70~79세,"2,292",624,146,194,199,460,185,161,323
2020년10월_여_80~89세,"1,779",398,139,157,159,284,160,168,314
2020년10월_여_90~99세,237,55,16,22,23,31,24,15,51
2020년10월_여_100세 이상,5,1,1,0,1,0,0,0,2
