,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020년09월_계_총인구수,"271,980","32,905","10,394","24,764","19,390","15,271","39,255","10,867","28,422","17,820","15,047","28,002","14,643","15,200"
2020년09월_계_연령구간인구수,"271,980","32,905","10,394","24,764","19,390","15,271","39,255","10,867","28,422","17,820","15,047","28,002","14,643","15,200"
2020년09월_계_0~9세,"19,882","2,643",377,"2,619","1,068",886,"2,643",830,"2,570","1,583",836,"1,956","1,009",862
2020년09월_계_10~19세,"25,090","2,791",673,"3,171","1,129","1,450","2,947","1,025","4,162","1,750","1,021","2,853","1,075","1,043"
2020년09월_계_20~29세,"33,040","4,007","1,150","2,515","2,871","1,790","5,659","1,338","3,250","1,877","1,750","3,269","1,669","1,895"
2020년09월_계_30~39세,"33,633","4,377",914,"3,150","3,187","1,474","5,498","1,418","2,839","2,090","1,719","3,224","1,839","1,904"
2020년09월_계_40~49세,"43,334","5,026","1,323","4,903","3,065","2,154","5,686","1,794","5,732","3,178","2,105","4,425","2,001","1,942"
2020년09월_계_50~59세,"44,812","5,396","1,852","3,618","3,017","2,546","6,681","1,688","4,649","2,627","2,607","4,881","2,501","2,749"
2020년09월_계_60~69세,"40,655","4,879","2,052","2,631","2,637","2,557","5,880","1,433","3,230","2,564","2,815","4,402","2,649","2,926"
2020년09월_계_70~79세,"22,200","2,681","1,357","1,492","1,629","1,600","3,044",925,"1,468","1,559","1,567","2,139","1,353","1,386"
2020년09월_계_80~89세,"8,102",961,592,564,666,695,"1,074",366,446,526,550,752,482,428
2020년09월_계_90~99세,"1,096",127,82,94,93,112,128,48,71,61,71,90,58,61
2020년09월_계_100세 이상,136,17,22,7,28,7,15,2,5,5,6,11,7,4
2020년09월_남_총인구수,"132,456","16,073","5,070","12,064","9,170","7,390","19,246","5,199","13,765","8,838","7,424","13,642","7,155","7,420"
2020년09월_남_연령구간인구수,"132,456","16,073","5,070","12,064","9,170","7,390","19,246","5,199","13,765","8,838","7,424","13,642","7,155","7,420"
2020년09월_남_0~9세,"10,290","1,351",194,"1,348",526,434,"1,359",429,"1,301",911,455,"1,006",532,444
2020년09월_남_10~19세,"13,115","1,513",363,"1,739",564,782,"1,551",466,"2,066",967,547,"1,479",514,564
2020년09월_남_20~29세,"17,335","2,142",628,"1,276","1,294",993,"2,910",703,"1,757",992,922,"1,783",895,"1,040"
2020년09월_남_30~39세,"16,868","2,188",524,"1,460","1,586",762,"2,810",704,"1,337","1,017",909,"1,632",933,"1,006"
2020년09월_남_40~49세,"21,116","2,496",691,"2,370","1,504","1,028","2,777",881,"2,612","1,599","1,101","2,081","1,027",949
2020년09월_남_50~59세,"21,262","2,504",893,"1,750","1,468","1,182","3,172",816,"2,298","1,289","1,227","2,292","1,149","1,222"
2020년09월_남_60~69세,"18,918","2,260",968,"1,211","1,233","1,178","2,768",633,"1,570","1,152","1,298","2,058","1,261","1,328"
2020년09월_남_70~79세,"10,218","1,214",575,674,713,734,"1,414",412,685,702,732,"1,017",650,696
2020년09월_남_80~89세,"3,061",362,215,217,256,269,450,146,127,200,214,270,176,159
2020년09월_남_90~99세,251,35,19,19,23,25,34,8,11,9,17,24,16,11
2020년09월_남_100세 이상,22,8,0,0,3,3,1,1,1,0,2,0,2,1
2020년09월_여_총인구수,"139,524","16,832","5,324","12,700","10,220","7,881","20,009","5,668","14,657","8,982","7,623","14,360","7,488","7,780"
2020년09월_여_연령구간인구수,"139,524","16,832","5,324","12,700","10,220","7,881","20,009","5,668","14,657","8,982","7,623","14,360","7,488","7,780"
2020년09월_여_0~9세,"9,592","1,292",183,"1,271",542,452,"1,284",401,"1,269",672,381,950,477,418
2020년09월_여_10~19세,"11,975","1,278",310,"1,432",565,668,"1,396",559,"2,096",783,474,"1,374",561,479
2020년09월_여_20~29세,"15,705","1,865",522,"1,239","1,577",797,"2,749",635,"1,493",885,828,"1,486",774,855
2020년09월_여_30~39세,"16,765","2,189",390,"1,690","1,601",712,"2,688",714,"1,502","1,073",810,"1,592",906,898
2020년09월_여_40~49세,"22,218","2,530",632,"2,533","1,561","1,126","2,909",913,"3,120","1,579","1,004","2,344",974,993
2020년09월_여_50~59세,"23,550","2,892",959,"1,868","1,549","1,364","3,509",872,"2,351","1,338","1,380","2,589","1,352","1,527"
2020년09월_여_60~69세,"21,737","2,619","1,084","1,420","1,404","1,379","3,112",800,"1,660","1,412","1,517","2,344","1,388","1,598"
2020년09월_여_70~79세,"11,982","1,467",782,818,916,866,"1,630",513,783,857,835,"1,122",703,690
2020년09월_여_80~89세,"5,041",599,377,347,410,426,624,220,319,326,336,482,306,269
2020년09월_여_90~99세,845,92,63,75,70,87,94,40,60,52,54,66,42,50
2020년09월_여_100세 이상,114,9,22,7,25,4,14,1,4,5,4,11,5,3
