카테고리,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2020년06월_계_총인구수,"172,802","8,807","10,360","17,180","9,934","9,794","10,154","6,531","7,872","11,083","8,054","8,258","10,294","18,405","1,979","5,413","20,721","7,963"
2020년06월_계_연령구간인구수,"172,802","8,807","10,360","17,180","9,934","9,794","10,154","6,531","7,872","11,083","8,054","8,258","10,294","18,405","1,979","5,413","20,721","7,963"
2020년06월_계_0~9세,"7,941",357,350,788,324,315,394,212,220,389,300,656,356,"1,387",93,168,"1,351",281
2020년06월_계_10~19세,"11,362",546,563,"1,307",648,517,640,373,509,608,511,598,648,"1,256",122,346,"1,735",435
2020년06월_계_20~29세,"22,023","1,353","1,309","2,479","1,176","1,069","1,327",690,"1,035","1,357","1,037",936,"1,315","2,344",241,650,"2,717",988
2020년06월_계_30~39세,"17,999",989,992,"2,008",903,830,"1,001",632,711,"1,043",749,998,"1,027","2,402",198,506,"2,279",731
2020년06월_계_40~49세,"23,512","1,097","1,357","2,307","1,372","1,196","1,347",824,"1,051","1,491","1,070","1,252","1,389","2,622",268,704,"3,060","1,105"
2020년06월_계_50~59세,"34,955","1,730","2,048","3,230","2,149","1,968","2,057","1,321","1,696","2,485","1,684","1,519","2,269","3,526",411,"1,194","4,030","1,638"
2020년06월_계_60~69세,"30,371","1,536","1,941","2,836","1,768","1,870","1,864","1,282","1,453","2,042","1,457","1,305","1,874","2,859",377,"1,079","3,379","1,449"
2020년06월_계_70~79세,"17,108",828,"1,249","1,542","1,116","1,383","1,040",822,818,"1,207",859,712,994,"1,392",198,518,"1,519",911
2020년06월_계_80~89세,"6,681",335,496,608,419,564,432,347,342,421,344,251,371,528,59,227,547,390
2020년06월_계_90~99세,750,26,48,73,51,64,41,27,30,36,37,30,48,85,6,21,92,35
2020년06월_계_100세 이상,100,10,7,2,8,18,11,1,7,4,6,1,3,4,6,0,12,0
2020년06월_남_총인구수,"86,639","4,338","5,086","8,309","5,076","4,879","4,999","3,350","3,884","5,888","4,078","4,029","5,211","9,112","1,038","2,876","10,439","4,047"
2020년06월_남_연령구간인구수,"86,639","4,338","5,086","8,309","5,076","4,879","4,999","3,350","3,884","5,888","4,078","4,029","5,211","9,112","1,038","2,876","10,439","4,047"
2020년06월_남_0~9세,"4,081",197,182,399,162,171,190,116,110,207,154,338,192,688,50,85,709,131
2020년06월_남_10~19세,"5,964",288,300,673,355,283,338,200,271,313,284,292,361,641,64,182,910,209
2020년06월_남_20~29세,"12,112",704,695,"1,339",664,587,709,374,576,798,594,492,711,"1,287",142,381,"1,496",563
2020년06월_남_30~39세,"10,168",542,587,"1,118",528,491,603,386,419,587,436,520,595,"1,266",109,323,"1,227",431
2020년06월_남_40~49세,"12,599",570,755,"1,118",788,688,720,459,522,887,592,645,766,"1,346",152,415,"1,553",623
2020년06월_남_50~59세,"17,528",814,"1,029","1,468","1,108","1,023",985,727,859,"1,397",868,736,"1,138","1,713",208,623,"1,982",850
2020년06월_남_60~69세,"14,257",716,872,"1,276",846,880,848,593,655,997,681,600,901,"1,347",186,561,"1,617",681
2020년06월_남_70~79세,"7,474",383,492,692,468,546,450,362,348,551,346,312,422,645,97,224,730,406
2020년06월_남_80~89세,"2,289",116,163,205,148,196,149,125,116,145,114,89,117,165,28,75,193,145
2020년06월_남_90~99세,144,6,9,21,6,14,4,8,6,5,6,4,8,14,1,7,17,8
2020년06월_남_100세 이상,23,2,2,0,3,0,3,0,2,1,3,1,0,0,1,0,5,0
2020년06월_여_총인구수,"86,163","4,469","5,274","8,871","4,858","4,915","5,155","3,181","3,988","5,195","3,976","4,229","5,083","9,293",941,"2,537","10,282","3,916"
2020년06월_여_연령구간인구수,"86,163","4,469","5,274","8,871","4,858","4,915","5,155","3,181","3,988","5,195","3,976","4,229","5,083","9,293",941,"2,537","10,282","3,916"
2020년06월_여_0~9세,"3,860",160,168,389,162,144,204,96,110,182,146,318,164,699,43,83,642,150
2020년06월_여_10~19세,"5,398",258,263,634,293,234,302,173,238,295,227,306,287,615,58,164,825,226
2020년06월_여_20~29세,"9,911",649,614,"1,140",512,482,618,316,459,559,443,444,604,"1,057",99,269,"1,221",425
2020년06월_여_30~39세,"7,831",447,405,890,375,339,398,246,292,456,313,478,432,"1,136",89,183,"1,052",300
2020년06월_여_40~49세,"10,913",527,602,"1,189",584,508,627,365,529,604,478,607,623,"1,276",116,289,"1,507",482
2020년06월_여_50~59세,"17,427",916,"1,019","1,762","1,041",945,"1,072",594,837,"1,088",816,783,"1,131","1,813",203,571,"2,048",788
2020년06월_여_60~69세,"16,114",820,"1,069","1,560",922,990,"1,016",689,798,"1,045",776,705,973,"1,512",191,518,"1,762",768
2020년06월_여_70~79세,"9,634",445,757,850,648,837,590,460,470,656,513,400,572,747,101,294,789,505
2020년06월_여_80~89세,"4,392",219,333,403,271,368,283,222,226,276,230,162,254,363,31,152,354,245
2020년06월_여_90~99세,606,20,39,52,45,50,37,19,24,31,31,26,40,71,5,14,75,27
2020년06월_여_100세 이상,77,8,5,2,5,18,8,1,5,3,3,0,3,4,5,0,7,0
