카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년10월_계_총인구수,"92,004","16,670","19,570","2,865","2,991","13,030","15,660","6,828","4,503","9,887"
2021년10월_계_연령구간인구수,"92,004","16,670","19,570","2,865","2,991","13,030","15,660","6,828","4,503","9,887"
2021년10월_계_0~9세,"5,499",837,"1,180",48,58,"1,448","1,034",237,158,499
2021년10월_계_10~19세,"7,387","1,343","1,870",112,107,"1,131","1,502",390,213,719
2021년10월_계_20~29세,"9,102","1,619","2,107",139,158,"1,370","1,777",610,343,979
2021년10월_계_30~39세,"9,107","1,423","1,883",155,158,"2,275","1,631",504,285,793
2021년10월_계_40~49세,"13,341","2,211","3,178",206,216,"2,269","2,766",808,463,"1,224"
2021년10월_계_50~59세,"17,386","3,121","3,919",497,510,"1,803","3,269","1,497",881,"1,889"
2021년10월_계_60~69세,"16,444","3,284","3,098",753,853,"1,601","2,191","1,532","1,106","2,026"
2021년10월_계_70~79세,"8,133","1,740","1,404",523,512,687,894,730,585,"1,058"
2021년10월_계_80~89세,"4,856",953,806,371,354,385,529,452,395,611
2021년10월_계_90~99세,730,137,121,59,63,61,67,64,71,87
2021년10월_계_100세 이상,19,2,4,2,2,0,0,4,3,2
2021년10월_남_총인구수,"48,741","8,517","10,473","1,474","1,545","6,914","8,567","3,795","2,429","5,027"
2021년10월_남_연령구간인구수,"48,741","8,517","10,473","1,474","1,545","6,914","8,567","3,795","2,429","5,027"
2021년10월_남_0~9세,"2,858",437,618,26,26,756,534,138,86,237
2021년10월_남_10~19세,"3,861",679,"1,009",61,60,588,787,211,110,356
2021년10월_남_20~29세,"5,258",920,"1,252",83,97,716,"1,056",381,221,532
2021년10월_남_30~39세,"5,162",775,"1,079",106,88,"1,232",964,307,178,433
2021년10월_남_40~49세,"7,444","1,205","1,721",133,143,"1,248","1,520",507,288,679
2021년10월_남_50~59세,"9,663","1,643","2,220",273,271,989,"1,879",875,507,"1,006"
2021년10월_남_60~69세,"8,781","1,689","1,621",398,474,900,"1,213",853,593,"1,040"
2021년10월_남_70~79세,"3,865",804,630,246,262,334,426,358,287,518
2021년10월_남_80~89세,"1,678",329,289,136,110,139,172,150,147,206
2021년10월_남_90~99세,165,35,33,12,14,12,16,13,11,19
2021년10월_남_100세 이상,6,1,1,0,0,0,0,2,1,1
2021년10월_여_총인구수,"43,263","8,153","9,097","1,391","1,446","6,116","7,093","3,033","2,074","4,860"
2021년10월_여_연령구간인구수,"43,263","8,153","9,097","1,391","1,446","6,116","7,093","3,033","2,074","4,860"
2021년10월_여_0~9세,"2,641",400,562,22,32,692,500,99,72,262
2021년10월_여_10~19세,"3,526",664,861,51,47,543,715,179,103,363
2021년10월_여_20~29세,"3,844",699,855,56,61,654,721,229,122,447
2021년10월_여_30~39세,"3,945",648,804,49,70,"1,043",667,197,107,360
2021년10월_여_40~49세,"5,897","1,006","1,457",73,73,"1,021","1,246",301,175,545
2021년10월_여_50~59세,"7,723","1,478","1,699",224,239,814,"1,390",622,374,883
2021년10월_여_60~69세,"7,663","1,595","1,477",355,379,701,978,679,513,986
2021년10월_여_70~79세,"4,268",936,774,277,250,353,468,372,298,540
2021년10월_여_80~89세,"3,178",624,517,235,244,246,357,302,248,405
2021년10월_여_90~99세,565,102,88,47,49,49,51,51,60,68
2021년10월_여_100세 이상,13,1,3,2,2,0,0,2,2,1
