카테고리,충청남도 부여군,충청남도 부여군 부여읍,충청남도 부여군 규암면,충청남도 부여군 은산면,충청남도 부여군 외산면,충청남도 부여군 내산면,충청남도 부여군 구룡면,충청남도 부여군 홍산면,충청남도 부여군 옥산면,충청남도 부여군 남면,충청남도 부여군 충화면,충청남도 부여군 양화면,충청남도 부여군 임천면,충청남도 부여군 장암면,충청남도 부여군 세도면,충청남도 부여군 석성면,충청남도 부여군 초촌면
2021년04월_계_총인구수,"64,527","19,936","11,957","3,678","2,367","1,554","2,352","2,852","1,423","1,835","1,147","1,687","2,885","2,748","3,125","2,871","2,110"
2021년04월_계_연령구간인구수,"64,527","19,936","11,957","3,678","2,367","1,554","2,352","2,852","1,423","1,835","1,147","1,687","2,885","2,748","3,125","2,871","2,110"
2021년04월_계_0~9세,"2,852","1,030",929,96,48,45,60,90,24,47,17,32,105,72,95,101,61
2021년04월_계_10~19세,"4,552","1,832","1,181",194,116,58,137,156,53,74,29,48,131,117,128,211,87
2021년04월_계_20~29세,"5,246","2,116","1,311",216,113,65,123,187,72,98,54,67,158,155,180,219,112
2021년04월_계_30~39세,"4,259","1,549","1,178",175,97,86,121,124,48,72,53,62,132,141,166,132,123
2021년04월_계_40~49세,"6,971","2,574","1,691",330,193,101,205,257,98,135,60,106,252,224,268,306,171
2021년04월_계_50~59세,"10,555","3,589","1,926",613,378,253,369,424,205,239,179,214,405,401,519,519,322
2021년04월_계_60~69세,"13,312","3,636","1,799",948,611,387,491,642,370,426,306,449,655,619,763,644,566
2021년04월_계_70~79세,"9,361","2,227","1,082",597,471,305,451,572,293,381,233,341,594,518,561,393,342
2021년04월_계_80~89세,"6,397","1,180",748,456,292,221,335,352,217,310,190,313,381,434,390,304,274
2021년04월_계_90~99세,989,197,109,46,45,33,59,46,42,51,26,54,70,66,54,40,51
2021년04월_계_100세 이상,33,6,3,7,3,0,1,2,1,2,0,1,2,1,1,2,1
2021년04월_남_총인구수,"32,029","9,931","5,892","1,854","1,169",775,"1,152","1,374",682,888,575,795,"1,431","1,371","1,584","1,493","1,063"
2021년04월_남_연령구간인구수,"32,029","9,931","5,892","1,854","1,169",775,"1,152","1,374",682,888,575,795,"1,431","1,371","1,584","1,493","1,063"
2021년04월_남_0~9세,"1,516",546,491,55,25,25,37,50,14,27,8,15,48,41,43,53,38
2021년04월_남_10~19세,"2,406",973,610,91,78,34,62,81,22,37,22,26,70,72,69,114,45
2021년04월_남_20~29세,"3,037","1,258",687,136,75,41,75,110,44,62,33,37,94,83,105,129,68
2021년04월_남_30~39세,"2,309",806,570,109,59,52,74,71,33,42,33,39,77,84,100,86,74
2021년04월_남_40~49세,"3,804","1,318",873,189,112,58,127,134,55,83,38,54,149,155,171,178,110
2021년04월_남_50~59세,"5,558","1,831","1,014",320,200,125,190,227,108,130,99,117,239,206,269,307,176
2021년04월_남_60~69세,"6,679","1,743",887,497,292,216,250,305,188,215,146,224,336,338,403,335,304
2021년04월_남_70~79세,"4,214","1,009",471,283,208,144,202,247,136,161,118,154,261,230,263,180,147
2021년04월_남_80~89세,"2,259",405,262,159,112,71,121,137,73,116,73,118,137,144,144,99,88
2021년04월_남_90~99세,244,42,27,14,8,9,14,12,9,14,5,11,20,18,17,11,13
2021년04월_남_100세 이상,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2021년04월_여_총인구수,"32,498","10,005","6,065","1,824","1,198",779,"1,200","1,478",741,947,572,892,"1,454","1,377","1,541","1,378","1,047"
2021년04월_여_연령구간인구수,"32,498","10,005","6,065","1,824","1,198",779,"1,200","1,478",741,947,572,892,"1,454","1,377","1,541","1,378","1,047"
2021년04월_여_0~9세,"1,336",484,438,41,23,20,23,40,10,20,9,17,57,31,52,48,23
2021년04월_여_10~19세,"2,146",859,571,103,38,24,75,75,31,37,7,22,61,45,59,97,42
2021년04월_여_20~29세,"2,209",858,624,80,38,24,48,77,28,36,21,30,64,72,75,90,44
2021년04월_여_30~39세,"1,950",743,608,66,38,34,47,53,15,30,20,23,55,57,66,46,49
2021년04월_여_40~49세,"3,167","1,256",818,141,81,43,78,123,43,52,22,52,103,69,97,128,61
2021년04월_여_50~59세,"4,997","1,758",912,293,178,128,179,197,97,109,80,97,166,195,250,212,146
2021년04월_여_60~69세,"6,633","1,893",912,451,319,171,241,337,182,211,160,225,319,281,360,309,262
2021년04월_여_70~79세,"5,147","1,218",611,314,263,161,249,325,157,220,115,187,333,288,298,213,195
2021년04월_여_80~89세,"4,138",775,486,297,180,150,214,215,144,194,117,195,244,290,246,205,186
2021년04월_여_90~99세,745,155,82,32,37,24,45,34,33,37,21,43,50,48,37,29,38
2021년04월_여_100세 이상,30,6,3,6,3,0,1,2,1,1,0,1,2,1,1,1,1
