카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년02월_계_총인구수,"54,383","8,378","14,891","6,706","1,923","2,081","3,868","3,668","2,323","3,223","1,975","3,016","2,331"
2020년02월_계_연령구간인구수,"54,383","8,378","14,891","6,706","1,923","2,081","3,868","3,668","2,323","3,223","1,975","3,016","2,331"
2020년02월_계_0~9세,"3,900",674,"1,695",709,73,51,123,111,72,112,72,126,82
2020년02월_계_10~19세,"4,644",820,"1,827",737,104,81,213,155,113,177,86,215,116
2020년02월_계_20~29세,"5,036",871,"1,507",840,136,126,289,266,185,251,129,268,168
2020년02월_계_30~39세,"5,195",785,"2,015",981,112,99,257,200,143,164,116,168,155
2020년02월_계_40~49세,"7,688","1,094","2,890","1,336",186,204,397,354,206,313,167,311,230
2020년02월_계_50~59세,"9,414","1,490","2,397","1,270",316,384,704,632,444,546,314,513,404
2020년02월_계_60~69세,"7,706","1,121","1,352",469,337,420,773,791,446,589,381,549,478
2020년02월_계_70~79세,"6,373",916,803,226,329,416,656,689,399,643,398,489,409
2020년02월_계_80~89세,"3,896",513,367,118,292,262,406,410,289,376,273,323,267
2020년02월_계_90~99세,498,90,35,19,34,38,44,58,23,50,35,51,21
2020년02월_계_100세 이상,33,4,3,1,4,0,6,2,3,2,4,3,1
2020년02월_남_총인구수,"27,926","4,141","7,905","3,851",940,"1,037","1,936","1,825","1,178","1,535",936,"1,475","1,167"
2020년02월_남_연령구간인구수,"27,926","4,141","7,905","3,851",940,"1,037","1,936","1,825","1,178","1,535",936,"1,475","1,167"
2020년02월_남_0~9세,"1,968",353,805,366,43,24,51,70,49,65,30,67,45
2020년02월_남_10~19세,"2,487",431,980,387,46,49,118,91,71,102,51,109,52
2020년02월_남_20~29세,"2,840",477,798,510,80,69,191,157,109,140,70,141,98
2020년02월_남_30~39세,"2,877",398,"1,044",600,73,56,151,122,86,93,67,91,96
2020년02월_남_40~49세,"4,560",576,"1,707",819,112,124,233,243,126,189,111,179,141
2020년02월_남_50~59세,"5,364",793,"1,403",785,201,227,378,353,247,296,172,289,220
2020년02월_남_60~69세,"3,885",535,710,258,154,234,389,388,243,276,185,265,248
2020년02월_남_70~79세,"2,635",400,350,95,124,171,273,290,154,254,152,203,169
2020년02월_남_80~89세,"1,205",157,101,27,94,74,141,104,88,113,94,116,96
2020년02월_남_90~99세,98,20,6,4,12,9,8,7,5,7,3,15,2
2020년02월_남_100세 이상,7,1,1,0,1,0,3,0,0,0,1,0,0
2020년02월_여_총인구수,"26,457","4,237","6,986","2,855",983,"1,044","1,932","1,843","1,145","1,688","1,039","1,541","1,164"
2020년02월_여_연령구간인구수,"26,457","4,237","6,986","2,855",983,"1,044","1,932","1,843","1,145","1,688","1,039","1,541","1,164"
2020년02월_여_0~9세,"1,932",321,890,343,30,27,72,41,23,47,42,59,37
2020년02월_여_10~19세,"2,157",389,847,350,58,32,95,64,42,75,35,106,64
2020년02월_여_20~29세,"2,196",394,709,330,56,57,98,109,76,111,59,127,70
2020년02월_여_30~39세,"2,318",387,971,381,39,43,106,78,57,71,49,77,59
2020년02월_여_40~49세,"3,128",518,"1,183",517,74,80,164,111,80,124,56,132,89
2020년02월_여_50~59세,"4,050",697,994,485,115,157,326,279,197,250,142,224,184
2020년02월_여_60~69세,"3,821",586,642,211,183,186,384,403,203,313,196,284,230
2020년02월_여_70~79세,"3,738",516,453,131,205,245,383,399,245,389,246,286,240
2020년02월_여_80~89세,"2,691",356,266,91,198,188,265,306,201,263,179,207,171
2020년02월_여_90~99세,400,70,29,15,22,29,36,51,18,43,32,36,19
2020년02월_여_100세 이상,26,3,2,1,3,0,3,2,3,2,3,3,1
