카테고리,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년01월_계_총인구수,"437,684","16,869","23,479","15,519","15,249","24,508","15,008","15,734","18,636","23,499","15,427","25,510","36,314","17,035","39,648","26,902","19,891","22,247","13,841","16,853","35,515"
2021년01월_계_연령구간인구수,"437,684","16,869","23,479","15,519","15,249","24,508","15,008","15,734","18,636","23,499","15,427","25,510","36,314","17,035","39,648","26,902","19,891","22,247","13,841","16,853","35,515"
2021년01월_계_0~9세,"28,855",772,"1,135",578,826,"2,000",445,983,"1,415","1,515",593,"1,650","3,978","1,452","2,691","2,077","1,078","1,309",597,"1,763","1,998"
2021년01월_계_10~19세,"37,128","1,192","1,890",926,"1,325","2,867",828,949,"1,797","1,881",962,"2,154","4,895","1,416","3,673","2,613","1,477","1,800",896,"1,374","2,213"
2021년01월_계_20~29세,"66,679","2,807","4,232","4,452","2,073","2,989","5,035","2,703","2,314","3,250","3,132","3,242","3,468","2,111","5,779","3,040","3,560","3,213","1,921","2,165","5,193"
2021년01월_계_30~39세,"59,977","2,519","3,315","2,505","1,985","3,012","2,013","2,597","2,635","3,160","1,898","3,252","4,677","2,525","5,204","3,612","2,755","2,874","1,707","2,727","5,005"
2021년01월_계_40~49세,"69,867","2,563","3,678","2,022","2,178","4,499","1,675","2,410","3,217","3,626","1,929","4,210","7,911","2,948","6,430","4,591","2,844","3,331","1,965","2,690","5,150"
2021년01월_계_50~59세,"69,541","2,757","3,679","1,926","2,732","4,080","2,028","2,558","2,871","3,738","2,381","4,177","5,005","2,790","6,360","4,255","3,055","4,039","2,441","2,664","6,005"
2021년01월_계_60~69세,"55,189","2,060","2,762","1,474","2,176","2,729","1,475","1,908","2,252","3,369","2,218","3,612","3,315","2,108","4,820","3,572","2,677","3,159","2,190","2,001","5,312"
2021년01월_계_70~79세,"33,660","1,365","1,828","1,073","1,294","1,468",990,"1,093","1,417","2,018","1,502","2,185","2,085","1,152","2,929","2,168","1,632","1,710","1,447","1,039","3,265"
2021년01월_계_80~89세,"14,301",684,817,469,570,724,446,454,620,807,687,864,825,449,"1,475",845,704,705,565,366,"1,225"
2021년01월_계_90~99세,"2,094",134,109,75,77,130,58,63,84,117,115,139,128,64,241,105,97,92,84,49,133
2021년01월_계_100세 이상,393,16,34,19,13,10,15,16,14,18,10,25,27,20,46,24,12,15,28,15,16
2021년01월_남_총인구수,"211,123","7,877","11,181","6,536","7,141","11,643","7,574","7,598","8,991","11,365","7,642","12,334","17,283","8,238","19,521","13,003","9,570","10,880","6,828","8,338","17,580"
2021년01월_남_연령구간인구수,"211,123","7,877","11,181","6,536","7,141","11,643","7,574","7,598","8,991","11,365","7,642","12,334","17,283","8,238","19,521","13,003","9,570","10,880","6,828","8,338","17,580"
2021년01월_남_0~9세,"14,747",367,587,285,406,"1,010",226,486,761,777,296,871,"2,041",759,"1,389","1,048",571,653,293,898,"1,023"
2021년01월_남_10~19세,"18,928",643,999,421,646,"1,451",436,460,883,962,499,"1,121","2,394",750,"1,994","1,256",752,937,446,700,"1,178"
2021년01월_남_20~29세,"32,103","1,280","1,885","1,421",956,"1,463","2,632","1,339","1,159","1,635","1,729","1,687","1,664","1,013","3,035","1,455","1,519","1,658",954,"1,053","2,566"
2021년01월_남_30~39세,"29,823","1,203","1,629","1,156",986,"1,410","1,135","1,319","1,283","1,609","1,066","1,559","2,099","1,227","2,584","1,775","1,425","1,534",909,"1,345","2,570"
2021년01월_남_40~49세,"34,464","1,218","1,793",972,"1,021","2,121",858,"1,221","1,571","1,793",956,"2,084","3,803","1,416","3,171","2,311","1,432","1,624","1,051","1,364","2,684"
2021년01월_남_50~59세,"34,265","1,307","1,840",957,"1,307","1,965","1,001","1,225","1,415","1,806","1,158","2,008","2,558","1,376","3,166","2,106","1,559","1,946","1,243","1,356","2,966"
2021년01월_남_60~69세,"25,901",959,"1,331",658,"1,007","1,278",685,895,"1,042","1,548","1,007","1,649","1,489","1,001","2,292","1,706","1,281","1,498","1,035",970,"2,570"
2021년01월_남_70~79세,"14,708",572,767,456,571,634,416,470,608,885,639,964,892,504,"1,252",976,729,741,647,498,"1,487"
2021년01월_남_80~89세,"5,547",284,312,181,209,275,168,171,244,316,261,352,311,168,551,337,280,262,226,143,496
2021년01월_남_90~99세,538,37,30,23,27,34,13,6,23,32,29,34,25,19,72,27,21,23,22,9,32
2021년01월_남_100세 이상,99,7,8,6,5,2,4,6,2,2,2,5,7,5,15,6,1,4,2,2,8
2021년01월_여_총인구수,"226,561","8,992","12,298","8,983","8,108","12,865","7,434","8,136","9,645","12,134","7,785","13,176","19,031","8,797","20,127","13,899","10,321","11,367","7,013","8,515","17,935"
