카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년04월_계_총인구수,"218,410","37,139","40,148","38,808","16,527","29,770","35,999","10,000","10,019"
2021년04월_계_연령구간인구수,"218,410","37,139","40,148","38,808","16,527","29,770","35,999","10,000","10,019"
2021년04월_계_0~9세,"24,740","4,557","5,337","3,657","2,651","2,701","4,383",712,742
2021년04월_계_10~19세,"23,522","3,942","4,692","6,187","1,369","2,169","3,623",762,778
2021년04월_계_20~29세,"27,231","4,147","4,415","4,904","1,176","4,588","4,957","1,747","1,297"
2021년04월_계_30~39세,"33,659","5,704","6,649","3,822","3,391","4,933","6,150","1,599","1,411"
2021년04월_계_40~49세,"38,732","6,707","7,510","8,417","2,840","4,321","5,944","1,461","1,532"
2021년04월_계_50~59세,"38,581","6,169","6,303","7,180","2,165","6,310","6,605","1,966","1,883"
2021년04월_계_60~69세,"20,859","3,779","3,439","2,762","1,837","3,311","2,925","1,202","1,604"
2021년04월_계_70~79세,"7,542","1,507","1,216","1,266",677,978,952,395,551
2021년04월_계_80~89세,"3,083",542,518,535,361,393,397,136,201
2021년04월_계_90~99세,443,81,68,74,57,65,63,20,15
2021년04월_계_100세 이상,18,4,1,4,3,1,0,0,5
2021년04월_남_총인구수,"113,162","18,991","20,447","19,754","8,468","15,950","18,387","5,791","5,374"
2021년04월_남_연령구간인구수,"113,162","18,991","20,447","19,754","8,468","15,950","18,387","5,791","5,374"
2021년04월_남_0~9세,"12,707","2,325","2,762","1,878","1,312","1,423","2,280",356,371
2021년04월_남_10~19세,"12,239","2,021","2,416","3,254",694,"1,142","1,880",406,426
2021년04월_남_20~29세,"15,539","2,319","2,401","2,745",661,"2,659","2,734","1,217",803
2021년04월_남_30~39세,"17,501","2,871","3,343","1,857","1,688","2,816","3,116",996,814
2021년04월_남_40~49세,"19,891","3,508","3,884","3,953","1,603","2,314","2,914",839,876
2021년04월_남_50~59세,"19,787","3,108","3,158","3,863","1,093","3,214","3,301","1,104",946
2021년04월_남_60~69세,"10,975","1,980","1,749","1,471",967,"1,780","1,573",630,825
2021년04월_남_70~79세,"3,526",685,565,557,331,474,478,204,232
2021년04월_남_80~89세,929,160,158,163,110,119,104,37,78
2021년04월_남_90~99세,64,14,11,12,9,8,7,2,1
2021년04월_남_100세 이상,4,0,0,1,0,1,0,0,2
2021년04월_여_총인구수,"105,248","18,148","19,701","19,054","8,059","13,820","17,612","4,209","4,645"
2021년04월_여_연령구간인구수,"105,248","18,148","19,701","19,054","8,059","13,820","17,612","4,209","4,645"
2021년04월_여_0~9세,"12,033","2,232","2,575","1,779","1,339","1,278","2,103",356,371
2021년04월_여_10~19세,"11,283","1,921","2,276","2,933",675,"1,027","1,743",356,352
2021년04월_여_20~29세,"11,692","1,828","2,014","2,159",515,"1,929","2,223",530,494
2021년04월_여_30~39세,"16,158","2,833","3,306","1,965","1,703","2,117","3,034",603,597
2021년04월_여_40~49세,"18,841","3,199","3,626","4,464","1,237","2,007","3,030",622,656
2021년04월_여_50~59세,"18,794","3,061","3,145","3,317","1,072","3,096","3,304",862,937
2021년04월_여_60~69세,"9,884","1,799","1,690","1,291",870,"1,531","1,352",572,779
2021년04월_여_70~79세,"4,016",822,651,709,346,504,474,191,319
2021년04월_여_80~89세,"2,154",382,360,372,251,274,293,99,123
2021년04월_여_90~99세,379,67,57,62,48,57,56,18,14
2021년04월_여_100세 이상,14,4,1,3,3,0,0,0,3
