카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 감일동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년08월_계_총인구수,"285,693","7,815","6,714","45,844","16,372","19,638","25,742","30,267","2,915","9,904","19,166","4,054","3,731","45,179","48,352"
2020년08월_계_연령구간인구수,"285,693","7,815","6,714","45,844","16,372","19,638","25,742","30,267","2,915","9,904","19,166","4,054","3,731","45,179","48,352"
2020년08월_계_0~9세,"30,131",361,322,"3,914",989,"1,145","2,200","4,689",101,"1,517","2,575",135,168,"4,958","7,057"
2020년08월_계_10~19세,"24,418",439,422,"3,956","1,141","1,258","2,564","2,870",164,743,"1,833",201,191,"3,642","4,994"
2020년08월_계_20~29세,"34,691",987,994,"5,272","2,239","2,593","3,102","3,314",337,"1,114","2,190",483,472,"7,476","4,118"
2020년08월_계_30~39세,"48,985","1,016","1,034","6,831","2,336","2,975","3,433","5,774",408,"2,301","3,334",432,463,"10,399","8,249"
2020년08월_계_40~49세,"50,045","1,058",944,"7,333","2,323","2,626","4,471","5,802",389,"1,642","3,710",568,493,"8,355","10,331"
2020년08월_계_50~59세,"41,252","1,503","1,254","7,200","2,963","3,585","4,151","3,838",591,"1,136","2,868",795,768,"4,785","5,815"
2020년08월_계_60~69세,"33,836","1,501","1,003","6,639","2,661","3,301","3,367","2,498",524,884,"1,860",791,725,"3,376","4,706"
2020년08월_계_70~79세,"15,675",623,505,"3,383","1,227","1,507","1,713",951,263,384,600,399,301,"1,559","2,260"
2020년08월_계_80~89세,"5,573",273,204,"1,121",419,540,632,398,113,152,158,212,137,528,686
2020년08월_계_90~99세,964,46,26,179,61,99,99,104,18,26,35,30,11,99,131
2020년08월_계_100세 이상,123,8,6,16,13,9,10,29,7,5,3,8,2,2,5
2020년08월_남_총인구수,"143,555","4,284","3,470","22,651","8,290","9,901","12,834","14,992","1,612","4,979","9,349","2,266","2,138","22,961","23,828"
2020년08월_남_연령구간인구수,"143,555","4,284","3,470","22,651","8,290","9,901","12,834","14,992","1,612","4,979","9,349","2,266","2,138","22,961","23,828"
2020년08월_남_0~9세,"15,360",179,160,"1,959",505,609,"1,171","2,341",55,776,"1,263",69,88,"2,576","3,609"
2020년08월_남_10~19세,"12,477",234,224,"2,060",617,628,"1,330","1,459",86,392,893,109,99,"1,816","2,530"
2020년08월_남_20~29세,"17,776",567,541,"2,727","1,213","1,414","1,666","1,660",199,539,"1,091",262,271,"3,543","2,083"
2020년08월_남_30~39세,"24,753",596,605,"3,480","1,254","1,627","1,764","2,696",252,"1,131","1,478",273,293,"5,529","3,775"
2020년08월_남_40~49세,"26,332",637,514,"3,701","1,216","1,360","2,218","3,052",232,896,"1,908",352,312,"4,510","5,424"
2020년08월_남_50~59세,"20,405",845,648,"3,405","1,400","1,755","2,006","1,875",320,550,"1,367",482,443,"2,465","2,844"
2020년08월_남_60~69세,"16,427",807,476,"3,172","1,282","1,602","1,598","1,234",284,437,964,429,417,"1,521","2,204"
2020년08월_남_70~79세,"7,809",312,223,"1,657",617,721,817,504,132,201,327,194,161,811,"1,132"
2020년08월_남_80~89세,"1,971",92,74,441,167,169,237,140,43,45,50,90,51,171,201
2020년08월_남_90~99세,213,13,3,43,16,13,26,21,7,11,8,4,3,19,26
2020년08월_남_100세 이상,32,2,2,6,3,3,1,10,2,1,0,2,0,0,0
2020년08월_여_총인구수,"142,138","3,531","3,244","23,193","8,082","9,737","12,908","15,275","1,303","4,925","9,817","1,788","1,593","22,218","24,524"
2020년08월_여_연령구간인구수,"142,138","3,531","3,244","23,193","8,082","9,737","12,908","15,275","1,303","4,925","9,817","1,788","1,593","22,218","24,524"
2020년08월_여_0~9세,"14,771",182,162,"1,955",484,536,"1,029","2,348",46,741,"1,312",66,80,"2,382","3,448"
2020년08월_여_10~19세,"11,941",205,198,"1,896",524,630,"1,234","1,411",78,351,940,92,92,"1,826","2,464"
2020년08월_여_20~29세,"16,915",420,453,"2,545","1,026","1,179","1,436","1,654",138,575,"1,099",221,201,"3,933","2,035"
2020년08월_여_30~39세,"24,232",420,429,"3,351","1,082","1,348","1,669","3,078",156,"1,170","1,856",159,170,"4,870","4,474"
2020년08월_여_40~49세,"23,713",421,430,"3,632","1,107","1,266","2,253","2,750",157,746,"1,802",216,181,"3,845","4,907"
2020년08월_여_50~59세,"20,847",658,606,"3,795","1,563","1,830","2,145","1,963",271,586,"1,501",313,325,"2,320","2,971"
2020년08월_여_60~69세,"17,409",694,527,"3,467","1,379","1,699","1,769","1,264",240,447,896,362,308,"1,855","2,502"
2020년08월_여_70~79세,"7,866",311,282,"1,726",610,786,896,447,131,183,273,205,140,748,"1,128"
2020년08월_여_80~89세,"3,602",181,130,680,252,371,395,258,70,107,108,122,86,357,485
2020년08월_여_90~99세,751,33,23,136,45,86,73,83,11,15,27,26,8,80,105
2020년08월_여_100세 이상,91,6,4,10,10,6,9,19,5,4,3,6,2,2,5
