카테고리,경기도 광주시,경기도 광주시 오포읍,경기도 광주시 초월읍,경기도 광주시 곤지암읍,경기도 광주시 도척면,경기도 광주시 퇴촌면,경기도 광주시 남종면,경기도 광주시 남한산성면,경기도 광주시 경안동,경기도 광주시 송정동,경기도 광주시 쌍령동,경기도 광주시 탄벌동,경기도 광주시 광남1동,경기도 광주시 광남2동
2021년05월_계_총인구수,"384,306","113,000","46,651","23,207","9,506","15,455","1,499","2,580","24,926","22,108","18,460","39,242","33,587","34,085"
2021년05월_계_연령구간인구수,"384,306","113,000","46,651","23,207","9,506","15,455","1,499","2,580","24,926","22,108","18,460","39,242","33,587","34,085"
2021년05월_계_0~9세,"34,193","11,001","3,672","1,377",464,"1,089",32,144,"1,931","1,617","1,939","3,012","2,613","5,302"
2021년05월_계_10~19세,"34,119","8,903","5,046","1,830",637,"1,224",68,197,"2,232","2,017","1,636","3,628","2,683","4,018"
2021년05월_계_20~29세,"45,226","13,461","5,544","2,835","1,027","1,201",111,180,"3,347","2,798","2,406","5,033","4,288","2,995"
2021년05월_계_30~39세,"56,596","19,546","6,146","2,790","1,011","1,482",93,214,"3,519","2,913","2,857","5,224","4,771","6,030"
2021년05월_계_40~49세,"67,299","20,406","8,178","3,548","1,333","2,487",149,351,"4,071","3,748","3,200","6,835","5,743","7,250"
2021년05월_계_50~59세,"64,104","17,507","8,021","4,587","1,846","2,584",257,478,"4,384","3,966","3,056","7,360","5,942","4,116"
2021년05월_계_60~69세,"50,340","13,509","6,059","3,657","1,844","3,041",403,523,"3,230","3,117","2,180","5,250","4,819","2,708"
2021년05월_계_70~79세,"22,373","6,074","2,682","1,656",827,"1,608",222,296,"1,524","1,366",863,"2,071","1,977","1,207"
2021년05월_계_80~89세,"8,730","2,236","1,134",822,447,630,143,165,610,495,275,732,648,393
2021년05월_계_90~99세,"1,274",343,165,102,65,105,21,30,76,67,44,92,100,64
2021년05월_계_100세 이상,52,14,4,3,5,4,0,2,2,4,4,5,3,2
2021년05월_남_총인구수,"196,393","57,183","24,285","12,383","5,235","7,876",781,"1,365","12,863","11,112","9,202","19,949","17,260","16,899"
2021년05월_남_연령구간인구수,"196,393","57,183","24,285","12,383","5,235","7,876",781,"1,365","12,863","11,112","9,202","19,949","17,260","16,899"
2021년05월_남_0~9세,"17,574","5,717","1,929",705,240,539,19,71,"1,027",785,"1,005","1,529","1,362","2,646"
2021년05월_남_10~19세,"17,446","4,566","2,564",978,334,661,33,102,"1,145",986,787,"1,827","1,384","2,079"
2021년05월_남_20~29세,"24,011","7,048","2,970","1,567",602,669,58,94,"1,800","1,472","1,249","2,656","2,296","1,530"
2021년05월_남_30~39세,"29,444","10,141","3,241","1,554",588,768,53,113,"1,861","1,550","1,440","2,808","2,490","2,837"
2021년05월_남_40~49세,"35,540","10,844","4,337","1,923",806,"1,358",81,198,"2,137","1,954","1,631","3,505","3,078","3,688"
2021년05월_남_50~59세,"32,737","8,534","4,312","2,550","1,038","1,334",145,269,"2,344","1,971","1,478","3,674","3,003","2,085"
2021년05월_남_60~69세,"25,225","6,532","3,183","1,953","1,019","1,474",217,292,"1,629","1,562","1,076","2,621","2,401","1,266"
2021년05월_남_70~79세,"10,795","2,868","1,292",815,427,797,108,146,695,643,409,"1,016",985,594
2021년05월_남_80~89세,"3,339",850,423,312,166,247,60,74,215,173,122,289,244,164
2021년05월_남_90~99세,271,78,33,25,14,27,7,6,9,16,5,24,17,10
2021년05월_남_100세 이상,11,5,1,1,1,2,0,0,1,0,0,0,0,0
2021년05월_여_총인구수,"187,913","55,817","22,366","10,824","4,271","7,579",718,"1,215","12,063","10,996","9,258","19,293","16,327","17,186"
2021년05월_여_연령구간인구수,"187,913","55,817","22,366","10,824","4,271","7,579",718,"1,215","12,063","10,996","9,258","19,293","16,327","17,186"
2021년05월_여_0~9세,"16,619","5,284","1,743",672,224,550,13,73,904,832,934,"1,483","1,251","2,656"
2021년05월_여_10~19세,"16,673","4,337","2,482",852,303,563,35,95,"1,087","1,031",849,"1,801","1,299","1,939"
2021년05월_여_20~29세,"21,215","6,413","2,574","1,268",425,532,53,86,"1,547","1,326","1,157","2,377","1,992","1,465"
2021년05월_여_30~39세,"27,152","9,405","2,905","1,236",423,714,40,101,"1,658","1,363","1,417","2,416","2,281","3,193"
2021년05월_여_40~49세,"31,759","9,562","3,841","1,625",527,"1,129",68,153,"1,934","1,794","1,569","3,330","2,665","3,562"
2021년05월_여_50~59세,"31,367","8,973","3,709","2,037",808,"1,250",112,209,"2,040","1,995","1,578","3,686","2,939","2,031"
2021년05월_여_60~69세,"25,115","6,977","2,876","1,704",825,"1,567",186,231,"1,601","1,555","1,104","2,629","2,418","1,442"
2021년05월_여_70~79세,"11,578","3,206","1,390",841,400,811,114,150,829,723,454,"1,055",992,613
2021년05월_여_80~89세,"5,391","1,386",711,510,281,383,83,91,395,322,153,443,404,229
2021년05월_여_90~99세,"1,003",265,132,77,51,78,14,24,67,51,39,68,83,54
2021년05월_여_100세 이상,41,9,3,2,4,2,0,2,1,4,4,5,3,2
