,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년07월_계_총인구수,"185,544","58,081","5,479","7,544","3,407","5,739","15,596","5,290","6,293","7,645","6,890","3,855","1,961","12,570","22,894","22,300"
2020년07월_계_연령구간인구수,"185,544","58,081","5,479","7,544","3,407","5,739","15,596","5,290","6,293","7,645","6,890","3,855","1,961","12,570","22,894","22,300"
2020년07월_계_0~9세,"14,436","6,090",191,449,87,242,"1,501",154,407,301,245,94,51,735,"2,142","1,747"
2020년07월_계_10~19세,"18,497","7,481",313,677,150,277,"1,166",280,409,510,393,503,84,"1,088","2,553","2,613"
2020년07월_계_20~29세,"22,037","6,604",521,727,300,531,"2,092",474,779,649,698,435,188,"1,611","3,153","3,275"
2020년07월_계_30~39세,"23,145","8,383",438,697,263,524,"2,715",400,885,633,572,290,151,"1,400","3,073","2,721"
2020년07월_계_40~49세,"30,144","11,881",574,"1,100",357,717,"2,554",575,902,857,800,347,192,"1,785","3,962","3,541"
2020년07월_계_50~59세,"31,117","8,415","1,077","1,342",700,"1,095","2,387","1,065","1,186","1,438","1,443",657,382,"2,260","3,720","3,950"
2020년07월_계_60~69세,"24,224","5,033","1,129","1,329",736,"1,156","1,766","1,151",932,"1,637","1,357",742,453,"1,928","2,438","2,437"
2020년07월_계_70~79세,"13,479","2,760",726,700,468,694,902,656,487,954,825,485,260,"1,093","1,193","1,276"
2020년07월_계_80~89세,"7,414","1,274",447,453,308,445,450,438,263,579,507,277,171,578,581,643
2020년07월_계_90~99세,995,154,58,67,36,53,59,93,40,82,45,24,28,85,77,94
2020년07월_계_100세 이상,56,6,5,3,2,5,4,4,3,5,5,1,1,7,2,3
2020년07월_남_총인구수,"95,575","29,240","2,897","3,793","1,796","3,107","8,681","2,777","3,534","3,993","3,647","2,030","1,016","6,325","11,549","11,190"
2020년07월_남_연령구간인구수,"95,575","29,240","2,897","3,793","1,796","3,107","8,681","2,777","3,534","3,993","3,647","2,030","1,016","6,325","11,549","11,190"
2020년07월_남_0~9세,"7,413","3,057",104,248,54,134,798,81,231,148,119,51,27,355,"1,102",904
2020년07월_남_10~19세,"9,651","3,886",181,340,84,147,590,130,238,304,201,247,47,555,"1,341","1,360"
2020년07월_남_20~29세,"12,162","3,493",307,394,186,335,"1,204",289,482,354,395,242,103,877,"1,689","1,812"
2020년07월_남_30~39세,"12,604","4,349",273,365,152,327,"1,580",235,543,389,345,195,92,765,"1,576","1,418"
2020년07월_남_40~49세,"16,115","6,077",340,594,215,448,"1,561",345,554,496,469,210,115,938,"2,052","1,701"
2020년07월_남_50~59세,"16,464","4,368",593,689,391,582,"1,383",604,642,774,820,360,200,"1,149","1,905","2,004"
2020년07월_남_60~69세,"12,188","2,347",604,686,378,628,936,614,505,834,719,387,229,941,"1,175","1,205"
2020년07월_남_70~79세,"6,140","1,206",323,303,212,336,445,314,235,464,386,232,132,500,513,539
2020년07월_남_80~89세,"2,627",423,163,163,116,159,173,152,90,212,182,102,66,224,175,227
2020년07월_남_90~99세,199,33,9,10,7,10,10,13,13,16,10,4,5,19,20,20
2020년07월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년07월_여_총인구수,"89,969","28,841","2,582","3,751","1,611","2,632","6,915","2,513","2,759","3,652","3,243","1,825",945,"6,245","11,345","11,110"
2020년07월_여_연령구간인구수,"89,969","28,841","2,582","3,751","1,611","2,632","6,915","2,513","2,759","3,652","3,243","1,825",945,"6,245","11,345","11,110"
2020년07월_여_0~9세,"7,023","3,033",87,201,33,108,703,73,176,153,126,43,24,380,"1,040",843
2020년07월_여_10~19세,"8,846","3,595",132,337,66,130,576,150,171,206,192,256,37,533,"1,212","1,253"
2020년07월_여_20~29세,"9,875","3,111",214,333,114,196,888,185,297,295,303,193,85,734,"1,464","1,463"
2020년07월_여_30~39세,"10,541","4,034",165,332,111,197,"1,135",165,342,244,227,95,59,635,"1,497","1,303"
2020년07월_여_40~49세,"14,029","5,804",234,506,142,269,993,230,348,361,331,137,77,847,"1,910","1,840"
2020년07월_여_50~59세,"14,653","4,047",484,653,309,513,"1,004",461,544,664,623,297,182,"1,111","1,815","1,946"
2020년07월_여_60~69세,"12,036","2,686",525,643,358,528,830,537,427,803,638,355,224,987,"1,263","1,232"
2020년07월_여_70~79세,"7,339","1,554",403,397,256,358,457,342,252,490,439,253,128,593,680,737
2020년07월_여_80~89세,"4,787",851,284,290,192,286,277,286,173,367,325,175,105,354,406,416
2020년07월_여_90~99세,796,121,49,57,29,43,49,80,27,66,35,20,23,66,57,74
2020년07월_여_100세 이상,44,5,5,2,1,4,3,4,2,3,4,1,1,5,1,3
