카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년01월_계_총인구수,"46,443","14,376","2,864","3,284","1,306","3,760","1,930","2,899","2,707","1,912","2,505","4,490","4,410"
2020년01월_계_연령구간인구수,"46,443","14,376","2,864","3,284","1,306","3,760","1,930","2,899","2,707","1,912","2,505","4,490","4,410"
2020년01월_계_0~9세,"2,401","1,092",136,123,49,147,65,78,92,75,115,226,203
2020년01월_계_10~19세,"3,101","1,266",105,190,46,219,111,158,137,90,128,325,326
2020년01월_계_20~29세,"5,055","1,726",261,288,110,359,183,632,232,172,218,441,433
2020년01월_계_30~39세,"3,825","1,532",227,261,88,260,127,168,204,137,192,312,317
2020년01월_계_40~49세,"5,457","1,941",332,347,122,406,191,242,275,192,271,578,560
2020년01월_계_50~59세,"8,221","2,273",528,641,263,740,399,438,468,357,472,814,828
2020년01월_계_60~69세,"7,799","2,011",548,634,253,686,363,457,528,387,464,770,698
2020년01월_계_70~79세,"6,291","1,566",438,505,210,546,286,408,430,317,402,573,610
2020년01월_계_80~89세,"3,693",825,250,249,138,355,172,274,286,160,216,387,381
2020년01월_계_90~99세,569,134,38,43,27,36,32,41,54,23,26,61,54
2020년01월_계_100세 이상,31,10,1,3,0,6,1,3,1,2,1,3,0
2020년01월_남_총인구수,"23,666","7,311","1,434","1,667",661,"1,932","1,000","1,662","1,353",943,"1,248","2,264","2,191"
2020년01월_남_연령구간인구수,"23,666","7,311","1,434","1,667",661,"1,932","1,000","1,662","1,353",943,"1,248","2,264","2,191"
2020년01월_남_0~9세,"1,206",545,67,64,25,78,40,34,46,42,52,118,95
2020년01월_남_10~19세,"1,633",667,50,92,20,117,62,107,69,46,62,181,160
2020년01월_남_20~29세,"2,976",979,131,161,61,208,98,536,126,79,113,245,239
2020년01월_남_30~39세,"2,034",799,126,142,48,145,68,94,114,64,98,173,163
2020년01월_남_40~49세,"3,183","1,078",207,206,71,246,109,145,186,118,170,320,327
2020년01월_남_50~59세,"4,560","1,231",291,351,153,409,222,241,254,195,272,465,476
2020년01월_남_60~69세,"4,006","1,000",271,351,135,360,212,232,259,196,228,392,370
2020년01월_남_70~79세,"2,746",693,203,211,89,236,122,181,189,142,187,245,248
2020년01월_남_80~89세,"1,195",290,79,81,50,124,61,83,99,55,62,107,104
2020년01월_남_90~99세,123,28,9,8,9,8,6,8,11,6,4,17,9
2020년01월_남_100세 이상,4,1,0,0,0,1,0,1,0,0,0,1,0
2020년01월_여_총인구수,"22,777","7,065","1,430","1,617",645,"1,828",930,"1,237","1,354",969,"1,257","2,226","2,219"
2020년01월_여_연령구간인구수,"22,777","7,065","1,430","1,617",645,"1,828",930,"1,237","1,354",969,"1,257","2,226","2,219"
2020년01월_여_0~9세,"1,195",547,69,59,24,69,25,44,46,33,63,108,108
2020년01월_여_10~19세,"1,468",599,55,98,26,102,49,51,68,44,66,144,166
2020년01월_여_20~29세,"2,079",747,130,127,49,151,85,96,106,93,105,196,194
2020년01월_여_30~39세,"1,791",733,101,119,40,115,59,74,90,73,94,139,154
2020년01월_여_40~49세,"2,274",863,125,141,51,160,82,97,89,74,101,258,233
2020년01월_여_50~59세,"3,661","1,042",237,290,110,331,177,197,214,162,200,349,352
2020년01월_여_60~69세,"3,793","1,011",277,283,118,326,151,225,269,191,236,378,328
2020년01월_여_70~79세,"3,545",873,235,294,121,310,164,227,241,175,215,328,362
2020년01월_여_80~89세,"2,498",535,171,168,88,231,111,191,187,105,154,280,277
2020년01월_여_90~99세,446,106,29,35,18,28,26,33,43,17,22,44,45
2020년01월_여_100세 이상,27,9,1,3,0,5,1,2,1,2,1,2,0
