,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년04월_계_총인구수,"429,159","4,966","6,800","4,877","3,205","7,902","12,048","38,439","19,440","12,189","13,014","23,651","10,606","5,890","21,033","16,202","15,930","7,870","16,199","13,682","14,236","30,216","14,060","11,171","12,681","2,616","22,568","37,932","29,736"
2021년04월_계_연령구간인구수,"429,159","4,966","6,800","4,877","3,205","7,902","12,048","38,439","19,440","12,189","13,014","23,651","10,606","5,890","21,033","16,202","15,930","7,870","16,199","13,682","14,236","30,216","14,060","11,171","12,681","2,616","22,568","37,932","29,736"
2021년04월_계_0~9세,"32,880",226,265,264,79,528,451,"2,619","1,717",548,914,"2,159",396,524,"1,662","1,095","1,064",280,867,449,968,"2,381","1,159",642,520,67,"2,675","3,901","4,460"
2021년04월_계_10~19세,"42,288",188,458,305,111,552,687,"3,767","2,286",884,"1,413","2,313",657,521,"1,660","1,884","1,432",629,"1,339",812,"1,655","4,599","1,744","1,027",796,127,"2,525","4,118","3,799"
2021년04월_계_20~29세,"61,955",958,"1,326",916,494,987,"2,304","7,167","2,499","1,736","1,878","3,069","1,324",710,"2,598","2,396","2,577","1,140","2,321","1,581","2,281","4,716","1,968","1,766","1,900",248,"2,750","5,143","3,202"
2021년04월_계_30~39세,"55,205",959,786,704,418,"1,104","1,773","4,730","2,254","1,333","1,470","3,568",979,798,"3,018","1,594","1,995",751,"1,758","1,279","1,683","2,955","1,695","1,266","1,477",219,"3,530","5,891","5,218"
2021년04월_계_40~49세,"67,113",617,864,721,385,"1,148","1,599","5,611","3,112","1,634","1,880","3,891","1,272",929,"3,018","2,460","2,350","1,026","2,199","1,586","2,415","5,640","2,282","1,635","1,576",230,"4,095","6,602","6,336"
2021년04월_계_50~59세,"71,512",673,983,658,559,"1,206","1,903","6,631","3,102","2,135","2,292","3,892","1,836",914,"3,480","3,001","2,591","1,383","2,900","2,606","2,650","5,625","2,447","2,139","2,431",523,"3,344","5,889","3,719"
2021년04월_계_60~69세,"54,368",682,984,647,568,"1,179","1,710","4,554","2,695","2,108","1,884","2,811","2,085",749,"3,036","2,206","2,113","1,320","2,659","2,808","1,519","2,410","1,601","1,569","2,194",578,"2,041","3,755","1,903"
2021년04월_계_70~79세,"29,557",455,757,457,381,851,"1,101","2,358","1,283","1,248",847,"1,378","1,387",505,"1,696","1,067","1,190",931,"1,517","1,626",734,"1,168",754,791,"1,135",370,"1,003","1,798",769
2021년04월_계_80~89세,"12,394",183,332,184,165,299,461,883,425,510,367,488,578,206,748,444,540,352,554,819,280,632,349,284,573,214,523,714,287
2021년04월_계_90~99세,"1,782",22,43,17,40,45,52,117,64,50,68,79,83,32,104,54,75,55,82,108,51,85,59,47,79,36,76,117,42
2021년04월_계_100세 이상,105,3,2,4,5,3,7,2,3,3,1,3,9,2,13,1,3,3,3,8,0,5,2,5,0,4,6,4,1
2021년04월_남_총인구수,"213,032","2,561","3,473","2,560","1,693","3,899","6,317","19,170","9,361","6,137","6,257","11,672","5,164","2,941","10,339","7,878","7,591","3,929","8,024","6,572","7,372","14,778","6,902","5,658","6,206","1,367","11,382","19,097","14,732"
2021년04월_남_연령구간인구수,"213,032","2,561","3,473","2,560","1,693","3,899","6,317","19,170","9,361","6,137","6,257","11,672","5,164","2,941","10,339","7,878","7,591","3,929","8,024","6,572","7,372","14,778","6,902","5,658","6,206","1,367","11,382","19,097","14,732"
2021년04월_남_0~9세,"16,836",109,136,142,44,280,225,"1,312",874,255,469,"1,106",203,262,827,520,541,162,436,226,525,"1,240",597,322,247,30,"1,390","2,049","2,307"
2021년04월_남_10~19세,"22,278",106,230,165,48,292,353,"2,007","1,158",452,757,"1,242",355,257,889,980,740,333,699,420,925,"2,504",956,542,441,81,"1,288","2,090","1,968"
2021년04월_남_20~29세,"32,653",417,684,473,236,494,"1,182","3,783","1,291",919,"1,024","1,613",691,395,"1,368","1,278","1,320",608,"1,226",812,"1,290","2,553","1,072",942,994,147,"1,476","2,712","1,653"
2021년04월_남_30~39세,"28,718",509,464,413,245,551,"1,025","2,532","1,073",767,730,"1,814",534,402,"1,577",819,"1,061",408,965,696,892,"1,391",834,677,807,130,"1,781","3,100","2,521"
2021년04월_남_40~49세,"33,662",376,459,416,239,617,944,"2,817","1,420",851,879,"1,981",687,499,"1,581","1,135","1,160",543,"1,117",839,"1,168","2,448","1,054",849,822,133,"2,072","3,343","3,213"
2021년04월_남_50~59세,"35,048",382,520,365,328,612,"1,034","3,146","1,458","1,108","1,012","1,827",929,483,"1,653","1,408","1,162",681,"1,430","1,296","1,368","2,761","1,119","1,084","1,142",293,"1,737","2,931","1,779"
2021년04월_남_60~69세,"25,843",366,482,313,300,521,850,"2,146","1,259",971,871,"1,253",951,334,"1,419","1,086",921,595,"1,210","1,368",763,"1,189",795,774,"1,080",312,"1,024","1,815",875
2021년04월_남_70~79세,"13,261",213,334,195,179,389,504,"1,075",643,589,381,647,602,237,754,486,473,442,712,661,336,467,342,366,500,159,452,803,320
2021년04월_남_80~89세,"4,372",73,146,73,64,135,188,325,171,215,124,168,197,69,247,156,193,144,216,235,97,204,124,94,163,75,154,233,89
2021년04월_남_90~99세,353,8,18,5,9,8,12,27,14,10,10,20,14,3,22,10,19,13,13,19,8,21,9,8,10,7,8,21,7
2021년04월_남_100세 이상,8,2,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"216,127","2,405","3,327","2,317","1,512","4,003","5,731","19,269","10,079","6,052","6,757","11,979","5,442","2,949","10,694","8,324","8,339","3,941","8,175","7,110","6,864","15,438","7,158","5,513","6,475","1,249","11,186","18,835","15,004"
2021년04월_여_연령구간인구수,"216,127","2,405","3,327","2,317","1,512","4,003","5,731","19,269","10,079","6,052","6,757","11,979","5,442","2,949","10,694","8,324","8,339","3,941","8,175","7,110","6,864","15,438","7,158","5,513","6,475","1,249","11,186","18,835","15,004"
2021년04월_여_0~9세,"16,044",117,129,122,35,248,226,"1,307",843,293,445,"1,053",193,262,835,575,523,118,431,223,443,"1,141",562,320,273,37,"1,285","1,852","2,153"
2021년04월_여_10~19세,"20,010",82,228,140,63,260,334,"1,760","1,128",432,656,"1,071",302,264,771,904,692,296,640,392,730,"2,095",788,485,355,46,"1,237","2,028","1,831"
2021년04월_여_20~29세,"29,302",541,642,443,258,493,"1,122","3,384","1,208",817,854,"1,456",633,315,"1,230","1,118","1,257",532,"1,095",769,991,"2,163",896,824,906,101,"1,274","2,431","1,549"
2021년04월_여_30~39세,"26,487",450,322,291,173,553,748,"2,198","1,181",566,740,"1,754",445,396,"1,441",775,934,343,793,583,791,"1,564",861,589,670,89,"1,749","2,791","2,697"
2021년04월_여_40~49세,"33,451",241,405,305,146,531,655,"2,794","1,692",783,"1,001","1,910",585,430,"1,437","1,325","1,190",483,"1,082",747,"1,247","3,192","1,228",786,754,97,"2,023","3,259","3,123"
2021년04월_여_50~59세,"36,464",291,463,293,231,594,869,"3,485","1,644","1,027","1,280","2,065",907,431,"1,827","1,593","1,429",702,"1,470","1,310","1,282","2,864","1,328","1,055","1,289",230,"1,607","2,958","1,940"
