,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 삼국유사면
2021년03월_계_총인구수,"23,094","8,129","2,293","3,756","2,044","1,988","2,369","1,178","1,337"
2021년03월_계_연령구간인구수,"23,094","8,129","2,293","3,756","2,044","1,988","2,369","1,178","1,337"
2021년03월_계_0~9세,656,409,40,86,39,16,38,14,14
2021년03월_계_10~19세,946,571,49,129,45,39,66,24,23
2021년03월_계_20~29세,"1,462",698,99,251,139,100,93,31,51
2021년03월_계_30~39세,"1,268",603,102,181,104,80,102,45,51
2021년03월_계_40~49세,"2,104","1,094",135,296,136,124,165,69,85
2021년03월_계_50~59세,"4,234","1,491",446,688,405,359,395,206,244
2021년03월_계_60~69세,"5,443","1,507",567,993,531,515,608,322,400
2021년03월_계_70~79세,"3,993","1,040",447,678,358,420,507,257,286
2021년03월_계_80~89세,"2,641",633,361,403,250,300,350,188,156
2021년03월_계_90~99세,334,77,45,50,37,33,43,22,27
2021년03월_계_100세 이상,13,6,2,1,0,2,2,0,0
2021년03월_남_총인구수,"11,810","4,207","1,176","1,931","1,051","1,004","1,147",594,700
2021년03월_남_연령구간인구수,"11,810","4,207","1,176","1,931","1,051","1,004","1,147",594,700
2021년03월_남_0~9세,354,225,20,50,22,6,13,9,9
2021년03월_남_10~19세,518,323,28,61,31,16,34,11,14
2021년03월_남_20~29세,899,418,61,155,91,64,52,23,35
2021년03월_남_30~39세,723,335,54,94,64,52,59,31,34
2021년03월_남_40~49세,"1,234",585,86,188,84,88,108,45,50
2021년03월_남_50~59세,"2,392",819,261,384,226,204,224,132,142
2021년03월_남_60~69세,"2,871",783,306,546,278,271,295,166,226
2021년03월_남_70~79세,"1,856",488,213,318,160,196,232,112,137
2021년03월_남_80~89세,894,212,136,128,87,99,120,60,52
2021년03월_남_90~99세,68,18,11,7,8,8,10,5,1
2021년03월_남_100세 이상,1,1,0,0,0,0,0,0,0
2021년03월_여_총인구수,"11,284","3,922","1,117","1,825",993,984,"1,222",584,637
2021년03월_여_연령구간인구수,"11,284","3,922","1,117","1,825",993,984,"1,222",584,637
2021년03월_여_0~9세,302,184,20,36,17,10,25,5,5
2021년03월_여_10~19세,428,248,21,68,14,23,32,13,9
2021년03월_여_20~29세,563,280,38,96,48,36,41,8,16
2021년03월_여_30~39세,545,268,48,87,40,28,43,14,17
2021년03월_여_40~49세,870,509,49,108,52,36,57,24,35
2021년03월_여_50~59세,"1,842",672,185,304,179,155,171,74,102
2021년03월_여_60~69세,"2,572",724,261,447,253,244,313,156,174
2021년03월_여_70~79세,"2,137",552,234,360,198,224,275,145,149
2021년03월_여_80~89세,"1,747",421,225,275,163,201,230,128,104
2021년03월_여_90~99세,266,59,34,43,29,25,33,17,26
2021년03월_여_100세 이상,12,5,2,1,0,2,2,0,0
