,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년08월_계_총인구수,"116,670","12,097","2,596","2,843","1,427","2,287","2,454","3,548","1,936","4,569","4,244","3,333","1,854","4,169","7,710","2,647","4,834","8,666","3,235","3,375","38,846"
2021년08월_계_연령구간인구수,"116,670","12,097","2,596","2,843","1,427","2,287","2,454","3,548","1,936","4,569","4,244","3,333","1,854","4,169","7,710","2,647","4,834","8,666","3,235","3,375","38,846"
2021년08월_계_0~9세,"10,036","1,089",41,54,19,73,49,61,32,87,108,72,29,98,591,133,212,676,106,109,"6,397"
2021년08월_계_10~19세,"9,655",798,144,123,49,126,73,155,53,161,212,134,57,182,813,191,351,891,236,197,"4,709"
2021년08월_계_20~29세,"12,302","1,151",185,242,91,138,165,233,111,323,367,274,99,290,"1,248",308,486,"1,259",253,386,"4,693"
2021년08월_계_30~39세,"14,510","1,599",121,152,68,113,111,181,92,258,297,229,91,213,925,262,369,867,212,278,"8,072"
2021년08월_계_40~49세,"16,712","1,680",214,242,120,218,192,302,149,356,432,345,137,345,"1,183",362,570,"1,336",311,405,"7,813"
2021년08월_계_50~59세,"17,290","1,962",456,504,249,349,367,588,325,867,731,647,371,720,"1,318",470,822,"1,444",572,599,"3,929"
2021년08월_계_60~69세,"16,779","1,994",580,634,313,517,580,840,448,"1,100",886,742,451,937,844,433,872,"1,092",655,671,"2,190"
2021년08월_계_70~79세,"11,423","1,135",478,471,280,421,505,652,370,757,748,508,346,809,480,288,728,699,526,457,765
2021년08월_계_80~89세,"6,888",602,324,368,203,296,360,467,309,555,397,337,235,502,275,169,364,346,309,232,238
2021년08월_계_90~99세,"1,042",86,51,51,35,32,52,66,44,103,63,45,36,69,31,31,59,55,55,39,39
2021년08월_계_100세 이상,33,1,2,2,0,4,0,3,3,2,3,0,2,4,2,0,1,1,0,2,1
2021년08월_남_총인구수,"58,844","6,071","1,306","1,486",705,"1,154","1,224","1,784",946,"2,359","2,226","1,745",958,"2,156","3,828","1,315","2,439","4,363","1,622","1,800","19,357"
2021년08월_남_연령구간인구수,"58,844","6,071","1,306","1,486",705,"1,154","1,224","1,784",946,"2,359","2,226","1,745",958,"2,156","3,828","1,315","2,439","4,363","1,622","1,800","19,357"
2021년08월_남_0~9세,"5,172",552,17,27,9,35,19,27,13,54,57,32,17,54,305,63,115,361,62,53,"3,300"
2021년08월_남_10~19세,"4,961",404,77,70,24,69,45,95,28,85,119,71,25,103,406,101,218,472,104,100,"2,345"
2021년08월_남_20~29세,"6,499",627,109,142,58,82,104,141,66,183,207,159,55,168,667,180,277,699,135,223,"2,217"
2021년08월_남_30~39세,"7,578",811,68,103,51,67,66,119,52,156,188,138,55,122,515,140,193,445,113,161,"4,015"
2021년08월_남_40~49세,"9,249",955,151,165,78,135,137,197,101,243,263,228,88,237,585,196,305,688,202,252,"4,043"
2021년08월_남_50~59세,"9,501","1,004",271,309,139,213,212,328,199,516,452,393,227,443,687,253,438,746,329,380,"1,962"
2021년08월_남_60~69세,"8,535","1,001",309,343,158,278,316,444,237,596,461,389,257,497,395,202,426,510,344,350,"1,022"
2021년08월_남_70~79세,"5,033",515,205,215,134,181,207,281,150,335,328,225,149,360,178,126,316,314,230,212,372
2021년08월_남_80~89세,"2,096",185,95,104,45,91,105,139,92,169,136,99,73,157,83,51,138,114,86,64,70
2021년08월_남_90~99세,214,17,4,8,9,3,13,12,8,22,14,11,11,13,7,3,13,14,17,5,10
2021년08월_남_100세 이상,6,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1
2021년08월_여_총인구수,"57,826","6,026","1,290","1,357",722,"1,133","1,230","1,764",990,"2,210","2,018","1,588",896,"2,013","3,882","1,332","2,395","4,303","1,613","1,575","19,489"
2021년08월_여_연령구간인구수,"57,826","6,026","1,290","1,357",722,"1,133","1,230","1,764",990,"2,210","2,018","1,588",896,"2,013","3,882","1,332","2,395","4,303","1,613","1,575","19,489"
2021년08월_여_0~9세,"4,864",537,24,27,10,38,30,34,19,33,51,40,12,44,286,70,97,315,44,56,"3,097"
2021년08월_여_10~19세,"4,694",394,67,53,25,57,28,60,25,76,93,63,32,79,407,90,133,419,132,97,"2,364"
2021년08월_여_20~29세,"5,803",524,76,100,33,56,61,92,45,140,160,115,44,122,581,128,209,560,118,163,"2,476"
2021년08월_여_30~39세,"6,932",788,53,49,17,46,45,62,40,102,109,91,36,91,410,122,176,422,99,117,"4,057"
2021년08월_여_40~49세,"7,463",725,63,77,42,83,55,105,48,113,169,117,49,108,598,166,265,648,109,153,"3,770"
2021년08월_여_50~59세,"7,789",958,185,195,110,136,155,260,126,351,279,254,144,277,631,217,384,698,243,219,"1,967"
2021년08월_여_60~69세,"8,244",993,271,291,155,239,264,396,211,504,425,353,194,440,449,231,446,582,311,321,"1,168"
2021년08월_여_70~79세,"6,390",620,273,256,146,240,298,371,220,422,420,283,197,449,302,162,412,385,296,245,393
2021년08월_여_80~89세,"4,792",417,229,264,158,205,255,328,217,386,261,238,162,345,192,118,226,232,223,168,168
2021년08월_여_90~99세,828,69,47,43,26,29,39,54,36,81,49,34,25,56,24,28,46,41,38,34,29
2021년08월_여_100세 이상,27,1,2,2,0,4,0,2,3,2,2,0,1,2,2,0,1,1,0,2,0
