카테고리,대구광역시 중구,대구광역시 중구 동인동,대구광역시 중구 삼덕동,대구광역시 중구 성내1동,대구광역시 중구 성내2동,대구광역시 중구 성내3동,대구광역시 중구 대신동,대구광역시 중구 남산1동,대구광역시 중구 남산2동,대구광역시 중구 남산3동,대구광역시 중구 남산4동,대구광역시 중구 대봉1동,대구광역시 중구 대봉2동
2020년06월_계_총인구수,"76,984","8,755","6,733","5,033","4,604","5,218","8,212","5,124","4,039","7,070","12,049","7,643","2,504"
2020년06월_계_연령구간인구수,"76,984","8,755","6,733","5,033","4,604","5,218","8,212","5,124","4,039","7,070","12,049","7,643","2,504"
2020년06월_계_0~9세,"5,342",346,503,169,134,570,914,279,210,613,970,556,78
2020년06월_계_10~19세,"5,097",495,380,240,197,235,564,313,265,531,"1,090",623,164
2020년06월_계_20~29세,"11,866","1,508","1,845","1,400",838,654,829,860,614,721,"1,344",996,257
2020년06월_계_30~39세,"11,041","1,180","1,243",769,535,"1,058","1,450",680,554,993,"1,422",941,216
2020년06월_계_40~49세,"10,813","1,151",884,565,498,697,"1,176",657,553,"1,136","1,941","1,175",380
2020년06월_계_50~59세,"11,432","1,351",711,635,758,736,"1,246",826,640,"1,085","1,823","1,206",415
2020년06월_계_60~69세,"10,126","1,261",574,571,796,659,"1,060",701,521,948,"1,685",945,405
2020년06월_계_70~79세,"7,373",961,374,441,566,409,654,541,433,697,"1,144",743,410
2020년06월_계_80~89세,"3,324",421,182,193,226,167,273,247,204,307,557,395,152
2020년06월_계_90~99세,469,68,30,43,41,28,35,18,31,35,64,55,21
2020년06월_계_100세 이상,101,13,7,7,15,5,11,2,14,4,9,8,6
2020년06월_남_총인구수,"37,036","4,341","3,186","2,394","2,328","2,611","3,986","2,465","1,941","3,277","5,684","3,598","1,225"
2020년06월_남_연령구간인구수,"37,036","4,341","3,186","2,394","2,328","2,611","3,986","2,465","1,941","3,277","5,684","3,598","1,225"
2020년06월_남_0~9세,"2,755",166,247,90,73,283,436,153,103,342,519,303,40
2020년06월_남_10~19세,"2,600",244,182,113,98,124,312,149,135,268,581,299,95
2020년06월_남_20~29세,"5,690",738,825,576,401,326,436,415,298,340,700,500,135
2020년06월_남_30~39세,"5,693",653,641,440,323,542,707,329,291,491,705,451,120
2020년06월_남_40~49세,"5,534",633,475,288,274,373,609,352,271,556,940,567,196
2020년06월_남_50~59세,"5,624",704,333,347,397,374,593,415,330,505,840,575,211
2020년06월_남_60~69세,"4,680",622,246,287,407,329,509,329,238,385,710,429,189
2020년06월_남_70~79세,"3,108",404,160,175,254,194,269,237,192,277,485,287,174
2020년06월_남_80~89세,"1,218",159,70,62,88,57,107,80,77,105,187,166,60
2020년06월_남_90~99세,112,16,6,12,9,8,7,5,3,8,14,19,5
2020년06월_남_100세 이상,22,2,1,4,4,1,1,1,3,0,3,2,0
2020년06월_여_총인구수,"39,948","4,414","3,547","2,639","2,276","2,607","4,226","2,659","2,098","3,793","6,365","4,045","1,279"
2020년06월_여_연령구간인구수,"39,948","4,414","3,547","2,639","2,276","2,607","4,226","2,659","2,098","3,793","6,365","4,045","1,279"
2020년06월_여_0~9세,"2,587",180,256,79,61,287,478,126,107,271,451,253,38
2020년06월_여_10~19세,"2,497",251,198,127,99,111,252,164,130,263,509,324,69
2020년06월_여_20~29세,"6,176",770,"1,020",824,437,328,393,445,316,381,644,496,122
2020년06월_여_30~39세,"5,348",527,602,329,212,516,743,351,263,502,717,490,96
2020년06월_여_40~49세,"5,279",518,409,277,224,324,567,305,282,580,"1,001",608,184
2020년06월_여_50~59세,"5,808",647,378,288,361,362,653,411,310,580,983,631,204
2020년06월_여_60~69세,"5,446",639,328,284,389,330,551,372,283,563,975,516,216
2020년06월_여_70~79세,"4,265",557,214,266,312,215,385,304,241,420,659,456,236
2020년06월_여_80~89세,"2,106",262,112,131,138,110,166,167,127,202,370,229,92
2020년06월_여_90~99세,357,52,24,31,32,20,28,13,28,27,50,36,16
2020년06월_여_100세 이상,79,11,6,3,11,4,10,1,11,4,6,6,6
