,전라남도 장성군,전라남도 장성군 장성읍,전라남도 장성군 진원면,전라남도 장성군 남면,전라남도 장성군 동화면,전라남도 장성군 삼서면,전라남도 장성군 삼계면,전라남도 장성군 황룡면,전라남도 장성군 서삼면,전라남도 장성군 북일면,전라남도 장성군 북이면,전라남도 장성군 북하면
2021년08월_계_총인구수,"43,715","13,408","3,637","3,720","1,807","3,165","5,955","4,037","1,550","1,381","2,860","2,195"
2021년08월_계_연령구간인구수,"43,715","13,408","3,637","3,720","1,807","3,165","5,955","4,037","1,550","1,381","2,860","2,195"
2021년08월_계_0~9세,"2,569",976,281,151,47,137,603,156,58,34,71,55
2021년08월_계_10~19세,"3,180","1,215",297,165,68,179,588,256,95,55,166,96
2021년08월_계_20~29세,"4,003","1,251",296,385,135,265,771,383,121,96,181,119
2021년08월_계_30~39세,"3,486","1,122",253,313,128,171,760,277,108,76,142,136
2021년08월_계_40~49세,"5,308","1,903",450,415,177,354,825,478,157,95,253,201
2021년08월_계_50~59세,"7,410","2,161",616,681,339,576,847,794,283,226,472,415
2021년08월_계_60~69세,"7,566","2,080",645,755,378,607,667,758,297,315,551,513
2021년08월_계_70~79세,"5,794","1,613",454,481,271,474,515,547,248,261,538,392
2021년08월_계_80~89세,"3,858",953,299,323,232,365,344,334,157,192,436,223
2021년08월_계_90~99세,524,130,42,50,31,36,34,54,26,30,48,43
2021년08월_계_100세 이상,17,4,4,1,1,1,1,0,0,1,2,2
2021년08월_남_총인구수,"22,394","6,646","1,853","2,014",955,"1,695","3,128","2,044",800,693,"1,431","1,135"
2021년08월_남_연령구간인구수,"22,394","6,646","1,853","2,014",955,"1,695","3,128","2,044",800,693,"1,431","1,135"
2021년08월_남_0~9세,"1,296",511,154,74,21,77,286,68,27,10,39,29
2021년08월_남_10~19세,"1,675",627,161,87,33,100,307,129,53,30,98,50
2021년08월_남_20~29세,"2,369",692,165,223,85,208,478,228,64,59,103,64
2021년08월_남_30~39세,"1,869",553,116,200,82,91,413,151,62,45,77,79
2021년08월_남_40~49세,"2,990","1,014",240,273,110,224,456,270,91,48,150,114
2021년08월_남_50~59세,"4,251","1,204",376,388,204,320,501,441,169,135,271,242
2021년08월_남_60~69세,"4,019","1,020",326,428,221,329,371,415,159,166,297,287
2021년08월_남_70~79세,"2,555",711,210,220,109,209,203,237,113,114,240,189
2021년08월_남_80~89세,"1,253",291,93,107,81,129,103,94,55,80,146,74
2021년08월_남_90~99세,116,23,11,14,9,8,10,11,7,6,10,7
2021년08월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2021년08월_여_총인구수,"21,321","6,762","1,784","1,706",852,"1,470","2,827","1,993",750,688,"1,429","1,060"
2021년08월_여_연령구간인구수,"21,321","6,762","1,784","1,706",852,"1,470","2,827","1,993",750,688,"1,429","1,060"
2021년08월_여_0~9세,"1,273",465,127,77,26,60,317,88,31,24,32,26
2021년08월_여_10~19세,"1,505",588,136,78,35,79,281,127,42,25,68,46
2021년08월_여_20~29세,"1,634",559,131,162,50,57,293,155,57,37,78,55
2021년08월_여_30~39세,"1,617",569,137,113,46,80,347,126,46,31,65,57
2021년08월_여_40~49세,"2,318",889,210,142,67,130,369,208,66,47,103,87
2021년08월_여_50~59세,"3,159",957,240,293,135,256,346,353,114,91,201,173
2021년08월_여_60~69세,"3,547","1,060",319,327,157,278,296,343,138,149,254,226
2021년08월_여_70~79세,"3,239",902,244,261,162,265,312,310,135,147,298,203
2021년08월_여_80~89세,"2,605",662,206,216,151,236,241,240,102,112,290,149
2021년08월_여_90~99세,408,107,31,36,22,28,24,43,19,24,38,36
2021년08월_여_100세 이상,16,4,3,1,1,1,1,0,0,1,2,2
