,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2021년01월_계_총인구수,"264,150","25,583","36,356","20,869","5,949","5,533","3,346","3,744","3,024","9,998","6,605","20,072","36,498","31,529","16,218","38,826"
2021년01월_계_연령구간인구수,"264,150","25,583","36,356","20,869","5,949","5,533","3,346","3,744","3,024","9,998","6,605","20,072","36,498","31,529","16,218","38,826"
2021년01월_계_0~9세,"20,310","1,631","2,394","2,303",174,133,77,112,101,572,226,"2,018","2,795","3,450","1,038","3,286"
2021년01월_계_10~19세,"22,726","2,748","3,549","1,170",284,248,106,156,106,608,397,"1,977","3,986","2,426",779,"4,186"
2021년01월_계_20~29세,"36,199","3,822","5,404","3,164",494,471,206,277,255,"1,564","1,004","2,069","4,469","4,008","3,698","5,294"
2021년01월_계_30~39세,"33,146","2,539","3,969","4,104",486,393,200,215,197,"1,176",696,"2,685","3,963","4,777","2,812","4,934"
2021년01월_계_40~49세,"41,517","4,046","6,380","3,017",621,605,270,381,284,"1,310",823,"3,532","6,332","4,858","2,214","6,844"
2021년01월_계_50~59세,"45,038","4,218","6,995","2,855","1,189","1,049",605,719,598,"1,893","1,283","3,015","6,261","5,364","2,466","6,528"
2021년01월_계_60~69세,"35,198","3,289","4,094","2,318","1,392","1,292",856,870,700,"1,742","1,136","2,562","4,824","3,763","1,871","4,489"
2021년01월_계_70~79세,"19,520","2,121","2,289","1,222",803,840,613,569,487,781,660,"1,516","2,566","1,998",893,"2,162"
2021년01월_계_80~89세,"9,322","1,055","1,161",639,443,445,360,375,246,315,341,609,"1,157",798,397,981
2021년01월_계_90~99세,"1,108",102,114,73,57,54,52,66,48,35,36,80,140,84,48,119
2021년01월_계_100세 이상,66,12,7,4,6,3,1,4,2,2,3,9,5,3,2,3
2021년01월_남_총인구수,"132,986","12,855","18,961","11,079","3,193","2,802","1,765","1,940","1,543","4,859","3,281","9,875","17,443","15,146","8,834","19,410"
2021년01월_남_연령구간인구수,"132,986","12,855","18,961","11,079","3,193","2,802","1,765","1,940","1,543","4,859","3,281","9,875","17,443","15,146","8,834","19,410"
2021년01월_남_0~9세,"10,354",863,"1,242","1,211",97,64,39,55,53,274,126,"1,029","1,357","1,701",543,"1,700"
2021년01월_남_10~19세,"11,795","1,442","1,788",619,154,134,52,84,59,321,222,"1,072","1,956","1,222",424,"2,246"
2021년01월_남_20~29세,"19,862","2,161","3,104","1,748",298,267,140,170,155,822,539,"1,099","2,299","2,121","2,049","2,890"
2021년01월_남_30~39세,"17,795","1,398","2,242","2,327",278,241,127,132,115,608,407,"1,378","1,937","2,349","1,709","2,547"
2021년01월_남_40~49세,"21,271","1,965","3,312","1,743",380,370,174,223,167,642,424,"1,754","3,082","2,351","1,287","3,397"
2021년01월_남_50~59세,"22,566","2,155","3,760","1,462",680,523,340,396,326,884,644,"1,474","2,985","2,448","1,292","3,197"
2021년01월_남_60~69세,"17,226","1,582","2,128","1,181",743,670,477,482,351,834,536,"1,166","2,279","1,715",930,"2,152"
2021년01월_남_70~79세,"8,671",890,971,558,396,384,289,273,229,365,267,660,"1,088",902,457,942
2021년01월_남_80~89세,"3,188",371,379,212,154,139,118,112,74,102,107,225,429,311,135,320
2021년01월_남_90~99세,247,26,35,18,10,10,9,13,12,7,9,16,31,25,7,19
2021년01월_남_100세 이상,11,2,0,0,3,0,0,0,2,0,0,2,0,1,1,0
2021년01월_여_총인구수,"131,164","12,728","17,395","9,790","2,756","2,731","1,581","1,804","1,481","5,139","3,324","10,197","19,055","16,383","7,384","19,416"
2021년01월_여_연령구간인구수,"131,164","12,728","17,395","9,790","2,756","2,731","1,581","1,804","1,481","5,139","3,324","10,197","19,055","16,383","7,384","19,416"
2021년01월_여_0~9세,"9,956",768,"1,152","1,092",77,69,38,57,48,298,100,989,"1,438","1,749",495,"1,586"
2021년01월_여_10~19세,"10,931","1,306","1,761",551,130,114,54,72,47,287,175,905,"2,030","1,204",355,"1,940"
2021년01월_여_20~29세,"16,337","1,661","2,300","1,416",196,204,66,107,100,742,465,970,"2,170","1,887","1,649","2,404"
2021년01월_여_30~39세,"15,351","1,141","1,727","1,777",208,152,73,83,82,568,289,"1,307","2,026","2,428","1,103","2,387"
2021년01월_여_40~49세,"20,246","2,081","3,068","1,274",241,235,96,158,117,668,399,"1,778","3,250","2,507",927,"3,447"
2021년01월_여_50~59세,"22,472","2,063","3,235","1,393",509,526,265,323,272,"1,009",639,"1,541","3,276","2,916","1,174","3,331"
2021년01월_여_60~69세,"17,972","1,707","1,966","1,137",649,622,379,388,349,908,600,"1,396","2,545","2,048",941,"2,337"
2021년01월_여_70~79세,"10,849","1,231","1,318",664,407,456,324,296,258,416,393,856,"1,478","1,096",436,"1,220"
2021년01월_여_80~89세,"6,134",684,782,427,289,306,242,263,172,213,234,384,728,487,262,661
2021년01월_여_90~99세,861,76,79,55,47,44,43,53,36,28,27,64,109,59,41,100
2021년01월_여_100세 이상,55,10,7,4,3,3,1,4,0,2,3,7,5,2,1,3
