카테고리,전라남도 여수시,전라남도 여수시 돌산읍,전라남도 여수시 돌산읍우두출장소,전라남도 여수시 돌산읍죽포출장소,전라남도 여수시 소라면,전라남도 여수시 율촌면,전라남도 여수시 화양면,전라남도 여수시 남면,전라남도 여수시 화정면,전라남도 여수시 화정면개도출장소,전라남도 여수시 삼산면,전라남도 여수시 동문동,전라남도 여수시 한려동,전라남도 여수시 중앙동,전라남도 여수시 충무동,전라남도 여수시 광림동,전라남도 여수시 서강동,전라남도 여수시 대교동,전라남도 여수시 국동,전라남도 여수시 월호동,전라남도 여수시 여서동,전라남도 여수시 문수동,전라남도 여수시 미평동,전라남도 여수시 둔덕동,전라남도 여수시 만덕동,전라남도 여수시 쌍봉동,전라남도 여수시 시전동,전라남도 여수시 여천동,전라남도 여수시 주삼동,전라남도 여수시 삼일동,전라남도 여수시 묘도동
2021년06월_계_총인구수,"278,481","2,665","8,586","1,931","20,408","6,290","6,443","2,764","1,331",808,"2,045","4,705","3,130","4,301","4,038","6,075","3,743","5,318","11,376","6,859","18,905","21,562","11,760","10,335","10,558","32,474","36,853","21,504","8,205","2,348","1,161"
2021년06월_계_연령구간인구수,"278,481","2,665","8,586","1,931","20,408","6,290","6,443","2,764","1,331",808,"2,045","4,705","3,130","4,301","4,038","6,075","3,743","5,318","11,376","6,859","18,905","21,562","11,760","10,335","10,558","32,474","36,853","21,504","8,205","2,348","1,161"
2021년06월_계_0~9세,"20,191",51,546,31,"2,029",259,131,59,14,17,58,237,109,144,105,201,146,163,680,414,"1,161","1,827",608,756,"1,031","2,650","4,586","1,132",967,59,20
2021년06월_계_10~19세,"25,983",84,666,72,"2,071",315,275,120,30,38,85,288,188,270,222,316,226,253,895,619,"1,860","2,311","1,070","1,182",954,"3,812","4,417","2,012","1,134",136,62
2021년06월_계_20~29세,"33,387",177,753,148,"2,182",458,560,122,60,51,142,478,368,414,350,650,428,447,"1,200",704,"2,518","2,699","1,783","1,412","1,099","5,154","4,492","3,289",897,245,107
2021년06월_계_30~39세,"30,192",126,788,85,"2,504",429,359,121,61,27,129,457,314,324,298,523,284,423,"1,071",628,"1,978","2,566","1,199","1,137","1,388","3,908","5,464","2,263","1,112",167,59
2021년06월_계_40~49세,"41,338",234,"1,269",147,"3,219",729,590,223,88,71,206,565,325,530,469,745,426,604,"1,542",931,"2,731","3,551","1,759","1,650","1,583","5,382","6,474","3,279","1,640",257,119
2021년06월_계_50~59세,"48,228",455,"1,405",312,"3,526","1,006","1,194",439,183,142,444,687,462,703,644,"1,021",595,870,"2,010","1,141","3,406","3,486","2,238","1,913","1,523","5,958","6,096","4,560","1,098",475,236
2021년06월_계_60~69세,"41,661",615,"1,605",461,"2,623","1,283","1,412",644,311,160,492,962,587,940,847,"1,268",789,"1,206","2,129","1,375","3,125","2,906","1,722","1,436","1,570","3,458","3,402","2,948",706,460,219
2021년06월_계_70~79세,"24,757",565,993,381,"1,380","1,059","1,121",619,326,176,304,739,534,712,769,971,572,951,"1,343",777,"1,416","1,491",939,618,983,"1,476","1,270","1,301",458,325,188
