카테고리,인천광역시 강화군,인천광역시 강화군 강화읍,인천광역시 강화군 선원면,인천광역시 강화군 불은면,인천광역시 강화군 길상면,인천광역시 강화군 화도면,인천광역시 강화군 양도면,인천광역시 강화군 내가면,인천광역시 강화군 하점면,인천광역시 강화군 양사면,인천광역시 강화군 송해면,인천광역시 강화군 교동면,인천광역시 강화군 삼산면,인천광역시 강화군 서도면,인천광역시 강화군 서도면볼음출장소
2020년01월_계_총인구수,"69,197","22,843","7,744","4,909","6,905","4,501","4,225","3,111","4,102","1,858","3,163","2,941","2,251",383,261
2020년01월_계_연령구간인구수,"69,197","22,843","7,744","4,909","6,905","4,501","4,225","3,111","4,102","1,858","3,163","2,941","2,251",383,261
2020년01월_계_0~9세,"3,329","1,495",538,183,305,167,151,69,109,56,112,67,65,6,6
2020년01월_계_10~19세,"4,789","2,259",681,223,402,194,253,133,169,75,146,127,110,14,3
2020년01월_계_20~29세,"5,608","2,366",703,317,547,305,274,201,249,91,222,191,119,15,8
2020년01월_계_30~39세,"5,491","2,247",681,332,614,321,243,194,243,86,203,160,140,18,9
2020년01월_계_40~49세,"7,985","3,316","1,096",467,740,386,453,297,365,145,286,212,187,24,11
2020년01월_계_50~59세,"12,291","3,812","1,376",896,"1,387",818,753,560,680,357,551,548,417,79,57
2020년01월_계_60~69세,"13,452","3,444","1,301","1,184","1,475","1,103",926,713,905,415,653,626,533,105,69
2020년01월_계_70~79세,"10,024","2,506",819,773,923,739,695,607,836,377,591,622,408,65,63
2020년01월_계_80~89세,"5,423","1,215",474,453,441,393,416,306,483,229,360,335,235,53,30
2020년01월_계_90~99세,765,169,74,78,68,71,59,29,59,26,36,50,37,4,5
2020년01월_계_100세 이상,40,14,1,3,3,4,2,2,4,1,3,3,0,0,0
2020년01월_남_총인구수,"34,682","11,273","3,866","2,477","3,508","2,275","2,127","1,538","2,087",922,"1,590","1,514","1,172",195,138
2020년01월_남_연령구간인구수,"34,682","11,273","3,866","2,477","3,508","2,275","2,127","1,538","2,087",922,"1,590","1,514","1,172",195,138
2020년01월_남_0~9세,"1,716",780,275,75,162,76,81,41,55,29,55,38,40,5,4
2020년01월_남_10~19세,"2,466","1,123",350,115,210,116,139,72,89,34,76,62,72,7,1
2020년01월_남_20~29세,"3,242","1,356",410,188,316,167,166,110,154,54,123,120,65,9,4
2020년01월_남_30~39세,"2,908","1,166",332,176,322,191,130,110,127,48,123,89,80,9,5
2020년01월_남_40~49세,"4,346","1,697",569,266,415,226,251,166,219,79,182,141,111,17,7
2020년01월_남_50~59세,"6,250","1,888",695,452,700,396,389,266,370,199,296,294,230,43,32
2020년01월_남_60~69세,"6,702","1,668",648,607,730,562,458,360,458,207,316,324,277,49,38
2020년01월_남_70~79세,"4,720","1,099",390,395,476,357,329,280,401,171,277,288,191,37,29
2020년01월_남_80~89세,"2,128",448,178,184,163,163,165,122,203,97,133,142,97,17,16
2020년01월_남_90~99세,192,42,19,19,12,21,18,9,11,4,9,15,9,2,2
2020년01월_남_100세 이상,12,6,0,0,2,0,1,2,0,0,0,1,0,0,0
2020년01월_여_총인구수,"34,515","11,570","3,878","2,432","3,397","2,226","2,098","1,573","2,015",936,"1,573","1,427","1,079",188,123
2020년01월_여_연령구간인구수,"34,515","11,570","3,878","2,432","3,397","2,226","2,098","1,573","2,015",936,"1,573","1,427","1,079",188,123
2020년01월_여_0~9세,"1,613",715,263,108,143,91,70,28,54,27,57,29,25,1,2
2020년01월_여_10~19세,"2,323","1,136",331,108,192,78,114,61,80,41,70,65,38,7,2
2020년01월_여_20~29세,"2,366","1,010",293,129,231,138,108,91,95,37,99,71,54,6,4
2020년01월_여_30~39세,"2,583","1,081",349,156,292,130,113,84,116,38,80,71,60,9,4
2020년01월_여_40~49세,"3,639","1,619",527,201,325,160,202,131,146,66,104,71,76,7,4
2020년01월_여_50~59세,"6,041","1,924",681,444,687,422,364,294,310,158,255,254,187,36,25
2020년01월_여_60~69세,"6,750","1,776",653,577,745,541,468,353,447,208,337,302,256,56,31
2020년01월_여_70~79세,"5,304","1,407",429,378,447,382,366,327,435,206,314,334,217,28,34
2020년01월_여_80~89세,"3,295",767,296,269,278,230,251,184,280,132,227,193,138,36,14
2020년01월_여_90~99세,573,127,55,59,56,50,41,20,48,22,27,35,28,2,3
2020년01월_여_100세 이상,28,8,1,3,1,4,1,0,4,1,3,2,0,0,0
