,서울특별시 서대문구,서울특별시 서대문구 천연동,서울특별시 서대문구 북아현동,서울특별시 서대문구 충현동,서울특별시 서대문구 신촌동,서울특별시 서대문구 연희동,서울특별시 서대문구 홍제제1동,서울특별시 서대문구 홍제제3동,서울특별시 서대문구 홍제제2동,서울특별시 서대문구 홍은제1동,서울특별시 서대문구 홍은제2동,서울특별시 서대문구 남가좌제1동,서울특별시 서대문구 남가좌제2동,서울특별시 서대문구 북가좌제1동,서울특별시 서대문구 북가좌제2동
2020년12월_계_총인구수,"312,173","17,784","16,637","20,807","19,264","36,311","24,340","15,819","14,228","23,013","26,992","15,894","30,054","18,440","32,590"
2020년12월_계_연령구간인구수,"312,173","17,784","16,637","20,807","19,264","36,311","24,340","15,819","14,228","23,013","26,992","15,894","30,054","18,440","32,590"
2020년12월_계_0~9세,"20,175","1,262","1,438","1,235",727,"1,678","1,560",761,834,"1,485","1,276","2,149","2,655","1,426","1,689"
2020년12월_계_10~19세,"23,622","1,467","1,086","1,370",869,"2,469","1,890","1,138","1,076","1,788","2,188","1,456","2,432","1,966","2,427"
2020년12월_계_20~29세,"50,356","2,277","2,379","3,436","7,412","7,704","3,166","2,123","1,859","2,926","4,244","1,553","4,300","2,169","4,808"
2020년12월_계_30~39세,"45,109","2,420","2,899","3,273","3,278","5,621","3,449","1,971","1,922","3,000","3,488","2,483","4,602","2,402","4,301"
2020년12월_계_40~49세,"47,487","2,809","2,681","3,057","1,983","5,114","3,796","2,205","2,048","3,462","4,004","3,085","4,925","3,278","5,040"
2020년12월_계_50~59세,"49,367","3,009","2,775","3,356","2,002","5,256","4,096","2,714","2,569","3,980","4,595","2,132","4,427","3,019","5,437"
2020년12월_계_60~69세,"38,558","2,191","1,805","2,699","1,403","4,102","3,285","2,327","1,995","3,283","3,744","1,558","3,367","2,180","4,619"
2020년12월_계_70~79세,"24,304","1,441","1,024","1,473",984,"2,813","2,013","1,636","1,251","1,977","2,224",975,"2,209","1,334","2,950"
2020년12월_계_80~89세,"11,246",772,442,728,496,"1,317",938,837,582,954,"1,061",429,958,573,"1,159"
2020년12월_계_90~99세,"1,651",107,80,139,86,206,133,85,88,138,143,58,154,84,150
2020년12월_계_100세 이상,298,29,28,41,24,31,14,22,4,20,25,16,25,9,10
2020년12월_남_총인구수,"149,360","8,434","7,943","10,016","8,589","17,448","11,439","7,663","6,773","11,118","13,038","7,651","14,496","8,895","15,857"
2020년12월_남_연령구간인구수,"149,360","8,434","7,943","10,016","8,589","17,448","11,439","7,663","6,773","11,118","13,038","7,651","14,496","8,895","15,857"
2020년12월_남_0~9세,"10,267",636,750,618,393,846,781,379,445,752,645,"1,079","1,326",732,885
2020년12월_남_10~19세,"11,870",725,530,675,416,"1,254",924,611,546,897,"1,119",693,"1,205","1,038","1,237"
2020년12월_남_20~29세,"24,073","1,109","1,074","1,649","2,872","3,884","1,559","1,064",926,"1,470","2,139",753,"2,091","1,050","2,433"
2020년12월_남_30~39세,"22,383","1,178","1,418","1,621","1,640","2,815","1,665","1,027",958,"1,522","1,825","1,100","2,268","1,125","2,221"
2020년12월_남_40~49세,"23,456","1,363","1,350","1,541",971,"2,445","1,828","1,101",973,"1,693","1,973","1,627","2,488","1,638","2,465"
2020년12월_남_50~59세,"23,979","1,491","1,375","1,663",999,"2,495","1,905","1,370","1,224","1,958","2,198","1,045","2,185","1,445","2,626"
2020년12월_남_60~69세,"18,100","1,045",842,"1,292",642,"1,916","1,513","1,077",955,"1,577","1,706",729,"1,573","1,035","2,198"
2020년12월_남_70~79세,"10,358",573,426,639,423,"1,173",864,680,502,855,983,422,948,576,"1,294"
2020년12월_남_80~89세,"4,329",273,149,273,202,533,361,315,216,349,413,182,368,237,458
2020년12월_남_90~99세,464,32,26,31,24,78,37,29,26,40,32,17,39,17,36
2020년12월_남_100세 이상,81,9,3,14,7,9,2,10,2,5,5,4,5,2,4
2020년12월_여_총인구수,"162,813","9,350","8,694","10,791","10,675","18,863","12,901","8,156","7,455","11,895","13,954","8,243","15,558","9,545","16,733"
2020년12월_여_연령구간인구수,"162,813","9,350","8,694","10,791","10,675","18,863","12,901","8,156","7,455","11,895","13,954","8,243","15,558","9,545","16,733"
2020년12월_여_0~9세,"9,908",626,688,617,334,832,779,382,389,733,631,"1,070","1,329",694,804
2020년12월_여_10~19세,"11,752",742,556,695,453,"1,215",966,527,530,891,"1,069",763,"1,227",928,"1,190"
2020년12월_여_20~29세,"26,283","1,168","1,305","1,787","4,540","3,820","1,607","1,059",933,"1,456","2,105",800,"2,209","1,119","2,375"
2020년12월_여_30~39세,"22,726","1,242","1,481","1,652","1,638","2,806","1,784",944,964,"1,478","1,663","1,383","2,334","1,277","2,080"
2020년12월_여_40~49세,"24,031","1,446","1,331","1,516","1,012","2,669","1,968","1,104","1,075","1,769","2,031","1,458","2,437","1,640","2,575"
2020년12월_여_50~59세,"25,388","1,518","1,400","1,693","1,003","2,761","2,191","1,344","1,345","2,022","2,397","1,087","2,242","1,574","2,811"
2020년12월_여_60~69세,"20,458","1,146",963,"1,407",761,"2,186","1,772","1,250","1,040","1,706","2,038",829,"1,794","1,145","2,421"
2020년12월_여_70~79세,"13,946",868,598,834,561,"1,640","1,149",956,749,"1,122","1,241",553,"1,261",758,"1,656"
2020년12월_여_80~89세,"6,917",499,293,455,294,784,577,522,366,605,648,247,590,336,701
2020년12월_여_90~99세,"1,187",75,54,108,62,128,96,56,62,98,111,41,115,67,114
2020년12월_여_100세 이상,217,20,25,27,17,22,12,12,2,15,20,12,20,7,6
