카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년04월_계_총인구수,"38,741","4,218",242,"5,762",235,225,"1,468",313,"3,206","2,276","3,517","2,499",217,"2,240",451,218,483,320,"1,741","1,543","1,567","2,693",281,984,"2,042"
2021년04월_계_연령구간인구수,"38,741","4,218",242,"5,762",235,225,"1,468",313,"3,206","2,276","3,517","2,499",217,"2,240",451,218,483,320,"1,741","1,543","1,567","2,693",281,984,"2,042"
2021년04월_계_0~9세,"1,532",145,5,214,8,15,41,8,166,73,145,105,8,77,11,12,23,10,70,71,79,114,12,23,97
2021년04월_계_10~19세,"2,013",228,6,290,4,5,45,10,234,102,200,204,6,117,21,17,26,21,103,102,66,95,8,31,72
2021년04월_계_20~29세,"2,698",271,13,473,9,7,98,19,226,139,212,166,8,194,56,17,46,31,116,134,82,193,19,49,120
2021년04월_계_30~39세,"2,640",249,15,418,17,13,88,17,215,133,228,171,14,182,53,15,52,24,117,121,105,174,31,64,124
2021년04월_계_40~49세,"4,286",442,17,628,21,21,186,36,413,215,402,266,28,301,81,25,87,42,193,210,160,222,27,84,179
2021년04월_계_50~59세,"6,948",750,49,"1,088",34,33,291,68,575,433,620,384,61,424,97,42,108,64,310,270,239,449,44,144,371
2021년04월_계_60~69세,"7,754",889,55,"1,262",62,47,247,67,604,480,700,461,44,373,69,44,70,63,326,288,334,552,66,218,433
2021년04월_계_70~79세,"6,291",715,42,822,54,55,274,58,503,408,610,405,31,319,39,23,40,40,288,204,281,480,44,212,344
2021년04월_계_80~89세,"4,060",468,38,493,24,27,180,29,251,269,349,308,15,206,23,22,30,19,195,126,197,354,27,138,272
2021년04월_계_90~99세,508,61,2,73,2,2,18,1,19,23,51,28,2,44,1,1,1,6,23,15,22,59,3,21,30
2021년04월_계_100세 이상,11,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021년04월_남_총인구수,"20,679","2,203",128,"3,110",116,129,801,181,"1,705","1,197","1,860","1,280",124,"1,245",292,123,282,189,928,838,829,"1,400",154,491,"1,074"
2021년04월_남_연령구간인구수,"20,679","2,203",128,"3,110",116,129,801,181,"1,705","1,197","1,860","1,280",124,"1,245",292,123,282,189,928,838,829,"1,400",154,491,"1,074"
2021년04월_남_0~9세,776,82,2,112,3,11,19,3,75,41,79,50,6,33,7,6,10,4,33,32,42,57,7,11,51
2021년04월_남_10~19세,"1,035",113,2,135,1,3,24,9,124,53,96,95,3,70,12,10,17,11,56,54,28,51,6,18,44
