카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2021년11월_계_총인구수,"50,558","24,057","1,764","1,833","2,676","1,584","1,639",855,"1,418","1,096","1,019","3,539","1,725","3,041","4,312"
2021년11월_계_연령구간인구수,"50,558","24,057","1,764","1,833","2,676","1,584","1,639",855,"1,418","1,096","1,019","3,539","1,725","3,041","4,312"
2021년11월_계_0~9세,"2,298","1,646",40,23,97,20,34,11,40,22,24,139,17,53,132
2021년11월_계_10~19세,"4,112","2,664",82,101,175,67,60,29,56,69,31,317,48,140,273
2021년11월_계_20~29세,"3,672","2,178",74,91,211,68,66,42,88,54,48,229,72,167,284
2021년11월_계_30~39세,"3,458","2,152",88,81,166,67,63,31,69,38,40,213,58,140,252
2021년11월_계_40~49세,"6,038","3,604",169,133,288,122,119,51,116,76,66,359,159,254,522
2021년11월_계_50~59세,"8,967","4,326",285,285,466,271,284,106,244,160,168,637,342,564,829
2021년11월_계_60~69세,"10,170","3,915",466,456,605,388,430,214,339,285,262,799,411,728,872
2021년11월_계_70~79세,"6,746","2,254",320,389,380,315,287,191,222,173,194,514,331,553,623
2021년11월_계_80~89세,"4,387","1,144",210,239,245,223,244,158,202,184,155,290,246,382,465
2021년11월_계_90~99세,694,170,29,35,42,42,52,22,41,34,29,42,39,59,58
2021년11월_계_100세 이상,16,4,1,0,1,1,0,0,1,1,2,0,2,1,2
2021년11월_남_총인구수,"25,327","12,052",907,898,"1,371",786,832,382,696,538,515,"1,714",856,"1,569","2,211"
2021년11월_남_연령구간인구수,"25,327","12,052",907,898,"1,371",786,832,382,696,538,515,"1,714",856,"1,569","2,211"
2021년11월_남_0~9세,"1,153",840,19,12,49,11,17,7,14,12,9,64,8,24,67
2021년11월_남_10~19세,"2,245","1,472",48,57,90,38,32,14,29,36,17,160,22,81,149
2021년11월_남_20~29세,"2,165","1,261",52,56,130,46,34,21,60,33,31,122,44,102,173
2021년11월_남_30~39세,"1,906","1,116",61,45,100,37,47,16,41,23,26,112,37,89,156
2021년11월_남_40~49세,"3,336","1,876",101,86,172,73,68,26,72,50,40,185,89,182,316
2021년11월_남_50~59세,"4,909","2,269",165,165,238,145,169,62,139,89,101,335,202,341,489
2021년11월_남_60~69세,"5,088","1,853",244,218,313,208,239,104,178,150,156,399,222,372,432
2021년11월_남_70~79세,"3,037",977,151,177,183,143,135,84,99,78,79,241,150,262,278
2021년11월_남_80~89세,"1,367",359,61,74,88,76,75,46,58,60,50,91,77,110,142
2021년11월_남_90~99세,119,28,5,8,8,9,16,2,6,7,5,5,5,6,9
2021년11월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2021년11월_여_총인구수,"25,231","12,005",857,935,"1,305",798,807,473,722,558,504,"1,825",869,"1,472","2,101"
2021년11월_여_연령구간인구수,"25,231","12,005",857,935,"1,305",798,807,473,722,558,504,"1,825",869,"1,472","2,101"
2021년11월_여_0~9세,"1,145",806,21,11,48,9,17,4,26,10,15,75,9,29,65
2021년11월_여_10~19세,"1,867","1,192",34,44,85,29,28,15,27,33,14,157,26,59,124
2021년11월_여_20~29세,"1,507",917,22,35,81,22,32,21,28,21,17,107,28,65,111
2021년11월_여_30~39세,"1,552","1,036",27,36,66,30,16,15,28,15,14,101,21,51,96
2021년11월_여_40~49세,"2,702","1,728",68,47,116,49,51,25,44,26,26,174,70,72,206
2021년11월_여_50~59세,"4,058","2,057",120,120,228,126,115,44,105,71,67,302,140,223,340
2021년11월_여_60~69세,"5,082","2,062",222,238,292,180,191,110,161,135,106,400,189,356,440
2021년11월_여_70~79세,"3,709","1,277",169,212,197,172,152,107,123,95,115,273,181,291,345
2021년11월_여_80~89세,"3,020",785,149,165,157,147,169,112,144,124,105,199,169,272,323
2021년11월_여_90~99세,575,142,24,27,34,33,36,20,35,27,24,37,34,53,49
2021년11월_여_100세 이상,14,3,1,0,1,1,0,0,1,1,1,0,2,1,2
