,서울특별시 서초구,서울특별시 서초구 서초1동,서울특별시 서초구 서초2동,서울특별시 서초구 서초3동,서울특별시 서초구 서초4동,서울특별시 서초구 잠원동,서울특별시 서초구 반포본동,서울특별시 서초구 반포1동,서울특별시 서초구 반포2동,서울특별시 서초구 반포3동,서울특별시 서초구 반포4동,서울특별시 서초구 방배본동,서울특별시 서초구 방배1동,서울특별시 서초구 방배2동,서울특별시 서초구 방배3동,서울특별시 서초구 방배4동,서울특별시 서초구 양재1동,서울특별시 서초구 양재2동,서울특별시 서초구 내곡동
2020년11월_계_총인구수,"425,431","21,034","20,971","31,897","31,464","28,513","12,011","32,409","16,134","22,308","19,451","21,143","17,349","20,350","21,417","23,767","44,611","22,444","18,158"
2020년11월_계_연령구간인구수,"425,431","21,034","20,971","31,897","31,464","28,513","12,011","32,409","16,134","22,308","19,451","21,143","17,349","20,350","21,417","23,767","44,611","22,444","18,158"
2020년11월_계_0~9세,"34,016","1,519","1,725","1,790","2,986","2,180",598,"3,096","1,856","1,992","1,725","1,518","1,184","1,188","1,351","1,677","4,117","1,457","2,057"
2020년11월_계_10~19세,"45,318","1,964","1,868","2,785","4,223","3,480","1,916","3,526","2,788","2,956","2,171","2,768","1,347","1,641","2,014","2,623","4,310","1,639","1,299"
2020년11월_계_20~29세,"55,230","2,849","2,965","5,271","3,584","3,725","1,502","4,264","1,374","2,502","2,345","2,691","2,514","2,891","2,807","3,213","5,423","3,352","1,958"
2020년11월_계_30~39세,"63,451","3,631","4,158","5,376","3,774","3,907",900,"5,558","1,558","2,616","2,672","2,444","3,006","3,191","2,951","3,644","6,800","4,514","2,751"
2020년11월_계_40~49세,"77,452","3,777","3,776","5,032","6,392","5,576","2,288","6,617","3,741","4,578","3,590","3,972","2,817","3,105","3,264","4,316","7,777","3,759","3,075"
2020년11월_계_50~59세,"63,166","2,994","2,787","4,882","4,766","4,652","2,164","4,132","2,137","3,496","2,859","3,431","2,478","3,181","3,548","3,542","6,288","3,330","2,499"
2020년11월_계_60~69세,"47,671","2,400","2,069","3,660","3,052","2,849","1,258","2,969","1,334","2,238","2,330","2,264","2,126","2,863","3,159","2,393","5,640","2,618","2,449"
2020년11월_계_70~79세,"27,358","1,332","1,178","2,152","1,855","1,420",996,"1,627",933,"1,307","1,240","1,319","1,334","1,654","1,625","1,633","2,994","1,304","1,455"
2020년11월_계_80~89세,"9,726",471,351,799,690,583,336,503,327,510,416,627,453,530,583,628,"1,028",374,517
2020년11월_계_90~99세,"1,813",94,76,133,123,121,40,98,60,99,97,101,77,92,112,86,229,89,86
2020년11월_계_100세 이상,230,3,18,17,19,20,13,19,26,14,6,8,13,14,3,12,5,8,12
2020년11월_남_총인구수,"203,493","10,111","9,992","15,535","15,295","13,642","5,669","15,643","7,683","10,557","9,195","9,802","8,142","9,556","10,344","10,872","21,331","11,288","8,836"
2020년11월_남_연령구간인구수,"203,493","10,111","9,992","15,535","15,295","13,642","5,669","15,643","7,683","10,557","9,195","9,802","8,142","9,556","10,344","10,872","21,331","11,288","8,836"
2020년11월_남_0~9세,"17,606",798,852,940,"1,578","1,142",313,"1,545",978,"1,042",914,772,600,600,703,850,"2,136",805,"1,038"
2020년11월_남_10~19세,"23,077","1,011",987,"1,610","2,187","1,772",973,"1,811","1,366","1,501","1,122","1,289",717,843,"1,023","1,193","2,184",830,658
2020년11월_남_20~29세,"26,519","1,354","1,333","2,468","1,729","1,777",725,"1,941",669,"1,240","1,121","1,260","1,202","1,435","1,468","1,417","2,660","1,697","1,023"
2020년11월_남_30~39세,"29,217","1,665","1,910","2,557","1,628","1,782",402,"2,509",618,"1,145","1,179","1,078","1,363","1,473","1,407","1,612","3,252","2,361","1,276"
2020년11월_남_40~49세,"36,417","1,821","1,803","2,393","2,982","2,558",941,"3,326","1,695","2,049","1,626","1,756","1,303","1,454","1,497","1,936","3,787","1,925","1,565"
2020년11월_남_50~59세,"31,081","1,454","1,392","2,394","2,485","2,324","1,104","2,138","1,158","1,769","1,372","1,703","1,158","1,446","1,656","1,714","3,002","1,644","1,168"
2020년11월_남_60~69세,"21,979","1,129",961,"1,718","1,435","1,360",599,"1,392",613,"1,011","1,062","1,073",949,"1,260","1,490","1,086","2,468","1,222","1,151"
2020년11월_남_70~79세,"12,818",658,550,"1,038",897,643,432,741,410,568,585,578,619,780,813,746,"1,412",622,726
2020년11월_남_80~89세,"4,216",190,177,371,330,242,166,211,153,205,180,261,196,237,254,297,383,160,203
2020년11월_남_90~99세,501,30,25,41,38,32,12,25,14,26,31,32,29,26,33,19,46,17,25
2020년11월_남_100세 이상,62,1,2,5,6,10,2,4,9,1,3,0,6,2,0,2,1,5,3
2020년11월_여_총인구수,"221,938","10,923","10,979","16,362","16,169","14,871","6,342","16,766","8,451","11,751","10,256","11,341","9,207","10,794","11,073","12,895","23,280","11,156","9,322"
2020년11월_여_연령구간인구수,"221,938","10,923","10,979","16,362","16,169","14,871","6,342","16,766","8,451","11,751","10,256","11,341","9,207","10,794","11,073","12,895","23,280","11,156","9,322"
2020년11월_여_0~9세,"16,410",721,873,850,"1,408","1,038",285,"1,551",878,950,811,746,584,588,648,827,"1,981",652,"1,019"
2020년11월_여_10~19세,"22,241",953,881,"1,175","2,036","1,708",943,"1,715","1,422","1,455","1,049","1,479",630,798,991,"1,430","2,126",809,641
2020년11월_여_20~29세,"28,711","1,495","1,632","2,803","1,855","1,948",777,"2,323",705,"1,262","1,224","1,431","1,312","1,456","1,339","1,796","2,763","1,655",935
2020년11월_여_30~39세,"34,234","1,966","2,248","2,819","2,146","2,125",498,"3,049",940,"1,471","1,493","1,366","1,643","1,718","1,544","2,032","3,548","2,153","1,475"
2020년11월_여_40~49세,"41,035","1,956","1,973","2,639","3,410","3,018","1,347","3,291","2,046","2,529","1,964","2,216","1,514","1,651","1,767","2,380","3,990","1,834","1,510"
2020년11월_여_50~59세,"32,085","1,540","1,395","2,488","2,281","2,328","1,060","1,994",979,"1,727","1,487","1,728","1,320","1,735","1,892","1,828","3,286","1,686","1,331"
2020년11월_여_60~69세,"25,692","1,271","1,108","1,942","1,617","1,489",659,"1,577",721,"1,227","1,268","1,191","1,177","1,603","1,669","1,307","3,172","1,396","1,298"
2020년11월_여_70~79세,"14,540",674,628,"1,114",958,777,564,886,523,739,655,741,715,874,812,887,"1,582",682,729
2020년11월_여_80~89세,"5,510",281,174,428,360,341,170,292,174,305,236,366,257,293,329,331,645,214,314
2020년11월_여_90~99세,"1,312",64,51,92,85,89,28,73,46,73,66,69,48,66,79,67,183,72,61
2020년11월_여_100세 이상,168,2,16,12,13,10,11,15,17,13,3,8,7,12,3,10,4,3,9
