카테고리,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020년12월_계_총인구수,"46,280","14,667","2,797","3,171","1,264","3,704","1,935","2,795","2,654","1,870","2,470","4,547","4,406"
2020년12월_계_연령구간인구수,"46,280","14,667","2,797","3,171","1,264","3,704","1,935","2,795","2,654","1,870","2,470","4,547","4,406"
2020년12월_계_0~9세,"2,345","1,105",119,120,30,148,66,69,92,73,105,219,199
2020년12월_계_10~19세,"3,029","1,230",108,166,52,241,109,117,119,85,121,327,354
2020년12월_계_20~29세,"4,834","1,726",228,280,102,312,178,578,220,160,203,433,414
2020년12월_계_30~39세,"3,644","1,523",208,225,74,250,124,148,188,128,193,283,300
2020년12월_계_40~49세,"5,187","1,937",301,321,112,360,177,220,255,174,243,563,524
2020년12월_계_50~59세,"8,146","2,343",504,601,246,706,392,432,464,343,448,859,808
2020년12월_계_60~69세,"8,281","2,160",590,664,282,701,383,497,535,395,503,825,746
2020년12월_계_70~79세,"6,346","1,613",445,497,202,572,297,400,431,319,402,576,592
2020년12월_계_80~89세,"3,835",868,250,252,138,371,178,293,300,165,225,386,409
2020년12월_계_90~99세,598,151,43,42,25,38,29,40,46,26,25,73,60
2020년12월_계_100세 이상,35,11,1,3,1,5,2,1,4,2,2,3,0
2020년12월_남_총인구수,"23,502","7,422","1,422","1,592",643,"1,883",998,"1,566","1,349",928,"1,239","2,276","2,184"
2020년12월_남_연령구간인구수,"23,502","7,422","1,422","1,592",643,"1,883",998,"1,566","1,349",928,"1,239","2,276","2,184"
2020년12월_남_0~9세,"1,177",531,60,57,12,84,40,32,49,43,48,119,102
2020년12월_남_10~19세,"1,586",665,56,84,26,119,61,65,60,42,61,179,168
2020년12월_남_20~29세,"2,856",978,125,144,59,180,96,490,125,78,108,231,242
2020년12월_남_30~39세,"1,891",782,110,128,38,131,71,79,108,60,90,145,149
2020년12월_남_40~49세,"3,027","1,082",198,185,64,220,100,133,171,108,156,313,297
2020년12월_남_50~59세,"4,485","1,240",282,326,141,392,211,241,263,187,256,480,466
2020년12월_남_60~69세,"4,268","1,078",297,358,156,375,223,246,266,197,255,425,392
2020년12월_남_70~79세,"2,825",730,194,216,91,244,130,181,198,149,195,256,241
2020년12월_남_80~89세,"1,244",301,89,83,49,128,60,89,100,55,67,105,118
2020년12월_남_90~99세,139,33,11,11,7,9,6,10,9,9,3,22,9
2020년12월_남_100세 이상,4,2,0,0,0,1,0,0,0,0,0,1,0
2020년12월_여_총인구수,"22,778","7,245","1,375","1,579",621,"1,821",937,"1,229","1,305",942,"1,231","2,271","2,222"
2020년12월_여_연령구간인구수,"22,778","7,245","1,375","1,579",621,"1,821",937,"1,229","1,305",942,"1,231","2,271","2,222"
2020년12월_여_0~9세,"1,168",574,59,63,18,64,26,37,43,30,57,100,97
2020년12월_여_10~19세,"1,443",565,52,82,26,122,48,52,59,43,60,148,186
2020년12월_여_20~29세,"1,978",748,103,136,43,132,82,88,95,82,95,202,172
2020년12월_여_30~39세,"1,753",741,98,97,36,119,53,69,80,68,103,138,151
2020년12월_여_40~49세,"2,160",855,103,136,48,140,77,87,84,66,87,250,227
2020년12월_여_50~59세,"3,661","1,103",222,275,105,314,181,191,201,156,192,379,342
2020년12월_여_60~69세,"4,013","1,082",293,306,126,326,160,251,269,198,248,400,354
2020년12월_여_70~79세,"3,521",883,251,281,111,328,167,219,233,170,207,320,351
2020년12월_여_80~89세,"2,591",567,161,169,89,243,118,204,200,110,158,281,291
2020년12월_여_90~99세,459,118,32,31,18,29,23,30,37,17,22,51,51
2020년12월_여_100세 이상,31,9,1,3,1,4,2,1,4,2,2,2,0
