카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년06월_계_총인구수,"61,309","10,384","11,002","10,413","11,673","9,826","8,011"
2020년06월_계_연령구간인구수,"61,309","10,384","11,002","10,413","11,673","9,826","8,011"
2020년06월_계_0~9세,"4,958",788,"1,264",646,941,682,637
2020년06월_계_10~19세,"6,330",933,"1,490","1,133","1,219",648,907
2020년06월_계_20~29세,"8,450","1,522","1,222","1,664","1,714","1,319","1,009"
2020년06월_계_30~39세,"8,420","1,369","1,373","1,181","1,750","1,731","1,016"
2020년06월_계_40~49세,"9,449","1,369","2,126","1,433","1,718","1,489","1,314"
2020년06월_계_50~59세,"10,778","1,943","1,710","2,048","2,124","1,594","1,359"
2020년06월_계_60~69세,"7,075","1,405",980,"1,217","1,211","1,354",908
2020년06월_계_70~79세,"3,620",603,550,615,574,705,573
2020년06월_계_80~89세,"1,813",356,244,378,351,258,226
2020년06월_계_90~99세,364,81,39,87,66,43,48
2020년06월_계_100세 이상,52,15,4,11,5,3,14
2020년06월_남_총인구수,"30,125","5,032","5,366","4,945","5,741","5,123","3,918"
2020년06월_남_연령구간인구수,"30,125","5,032","5,366","4,945","5,741","5,123","3,918"
2020년06월_남_0~9세,"2,586",414,640,328,519,337,348
2020년06월_남_10~19세,"3,285",467,756,601,644,350,467
2020년06월_남_20~29세,"4,444",792,652,835,885,733,547
2020년06월_남_30~39세,"4,242",674,595,566,899,986,522
2020년06월_남_40~49세,"4,529",632,"1,037",633,796,801,630
2020년06월_남_50~59세,"5,253",900,869,996,"1,012",791,685
2020년06월_남_60~69세,"3,458",727,488,575,606,668,394
2020년06월_남_70~79세,"1,588",276,222,255,251,344,240
2020년06월_남_80~89세,645,131,96,132,114,99,73
2020년06월_남_90~99세,86,17,11,21,14,14,9
2020년06월_남_100세 이상,9,2,0,3,1,0,3
2020년06월_여_총인구수,"31,184","5,352","5,636","5,468","5,932","4,703","4,093"
2020년06월_여_연령구간인구수,"31,184","5,352","5,636","5,468","5,932","4,703","4,093"
2020년06월_여_0~9세,"2,372",374,624,318,422,345,289
2020년06월_여_10~19세,"3,045",466,734,532,575,298,440
2020년06월_여_20~29세,"4,006",730,570,829,829,586,462
2020년06월_여_30~39세,"4,178",695,778,615,851,745,494
2020년06월_여_40~49세,"4,920",737,"1,089",800,922,688,684
2020년06월_여_50~59세,"5,525","1,043",841,"1,052","1,112",803,674
2020년06월_여_60~69세,"3,617",678,492,642,605,686,514
2020년06월_여_70~79세,"2,032",327,328,360,323,361,333
2020년06월_여_80~89세,"1,168",225,148,246,237,159,153
2020년06월_여_90~99세,278,64,28,66,52,29,39
2020년06월_여_100세 이상,43,13,4,8,4,3,11
