카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2020년01월_계_총인구수,"116,447","10,842","4,198","9,111","9,538","7,424","5,460","7,056","18,927","29,492","3,600","10,799"
2020년01월_계_연령구간인구수,"116,447","10,842","4,198","9,111","9,538","7,424","5,460","7,056","18,927","29,492","3,600","10,799"
2020년01월_계_0~9세,"5,707",407,211,440,255,389,163,410,"1,135","1,682",193,422
2020년01월_계_10~19세,"7,935",556,275,634,533,445,303,486,"1,487","2,419",211,586
2020년01월_계_20~29세,"12,479","1,084",455,922,844,749,522,653,"2,068","3,556",603,"1,023"
2020년01월_계_30~39세,"11,523","1,053",414,844,734,823,460,731,"2,007","3,069",363,"1,025"
2020년01월_계_40~49세,"15,917","1,414",538,"1,178","1,210","1,001",721,"1,066","2,801","4,214",456,"1,318"
2020년01월_계_50~59세,"20,576","2,014",754,"1,624","1,796","1,241",981,"1,132","3,303","5,300",487,"1,944"
2020년01월_계_60~69세,"21,536","2,133",804,"1,686","1,871","1,409","1,055","1,240","3,309","5,031",666,"2,332"
2020년01월_계_70~79세,"14,407","1,488",522,"1,218","1,569",875,908,931,"1,975","2,970",442,"1,509"
2020년01월_계_80~89세,"5,521",605,191,476,625,411,308,341,735,"1,110",152,567
2020년01월_계_90~99세,718,80,24,76,88,53,32,54,92,127,25,67
2020년01월_계_100세 이상,128,8,10,13,13,28,7,12,15,14,2,6
2020년01월_남_총인구수,"57,482","5,425","2,030","4,458","4,792","3,648","2,733","3,445","9,379","14,424","1,882","5,266"
2020년01월_남_연령구간인구수,"57,482","5,425","2,030","4,458","4,792","3,648","2,733","3,445","9,379","14,424","1,882","5,266"
2020년01월_남_0~9세,"2,873",205,114,223,136,189,79,217,558,842,102,208
2020년01월_남_10~19세,"4,123",288,147,350,284,230,155,244,795,"1,222",110,298
2020년01월_남_20~29세,"6,812",571,240,500,451,401,302,335,"1,105","1,959",370,578
2020년01월_남_30~39세,"6,212",570,226,447,434,447,282,376,"1,080","1,588",203,559
2020년01월_남_40~49세,"8,385",794,265,594,707,547,405,567,"1,429","2,084",262,731
2020년01월_남_50~59세,"10,412","1,102",370,803,987,640,518,576,"1,670","2,541",252,953
2020년01월_남_60~69세,"10,316","1,034",360,809,901,655,476,596,"1,555","2,444",327,"1,159"
2020년01월_남_70~79세,"6,225",631,231,521,639,384,378,407,910,"1,330",190,604
2020년01월_남_80~89세,"1,956",221,68,190,236,136,124,112,256,390,54,169
2020년01월_남_90~99세,134,7,5,18,11,15,10,12,15,24,11,6
2020년01월_남_100세 이상,34,2,4,3,6,4,4,3,6,0,1,1
2020년01월_여_총인구수,"58,965","5,417","2,168","4,653","4,746","3,776","2,727","3,611","9,548","15,068","1,718","5,533"
2020년01월_여_연령구간인구수,"58,965","5,417","2,168","4,653","4,746","3,776","2,727","3,611","9,548","15,068","1,718","5,533"
2020년01월_여_0~9세,"2,834",202,97,217,119,200,84,193,577,840,91,214
2020년01월_여_10~19세,"3,812",268,128,284,249,215,148,242,692,"1,197",101,288
2020년01월_여_20~29세,"5,667",513,215,422,393,348,220,318,963,"1,597",233,445
2020년01월_여_30~39세,"5,311",483,188,397,300,376,178,355,927,"1,481",160,466
2020년01월_여_40~49세,"7,532",620,273,584,503,454,316,499,"1,372","2,130",194,587
2020년01월_여_50~59세,"10,164",912,384,821,809,601,463,556,"1,633","2,759",235,991
2020년01월_여_60~69세,"11,220","1,099",444,877,970,754,579,644,"1,754","2,587",339,"1,173"
2020년01월_여_70~79세,"8,182",857,291,697,930,491,530,524,"1,065","1,640",252,905
2020년01월_여_80~89세,"3,565",384,123,286,389,275,184,229,479,720,98,398
2020년01월_여_90~99세,584,73,19,58,77,38,22,42,77,103,14,61
2020년01월_여_100세 이상,94,6,6,10,7,24,3,9,9,14,1,5
