,서울특별시 중구,서울특별시 중구 소공동,서울특별시 중구 회현동,서울특별시 중구 명동,서울특별시 중구 필동,서울특별시 중구 장충동,서울특별시 중구 광희동,서울특별시 중구 을지로동,서울특별시 중구 신당동,서울특별시 중구 다산동,서울특별시 중구 약수동,서울특별시 중구 청구동,서울특별시 중구 신당제5동,서울특별시 중구 동화동,서울특별시 중구 황학동,서울특별시 중구 중림동
2021년12월_계_총인구수,"122,499","2,250","4,784","2,884","4,023","4,590","5,255","1,738","7,673","13,798","16,676","13,588","10,363","10,266","12,576","12,035"
2021년12월_계_연령구간인구수,"122,499","2,250","4,784","2,884","4,023","4,590","5,255","1,738","7,673","13,798","16,676","13,588","10,363","10,266","12,576","12,035"
2021년12월_계_0~9세,"6,299",172,176,83,170,170,132,32,255,504,992,712,539,650,721,991
2021년12월_계_10~19세,"6,474",122,213,126,193,247,179,36,270,774,935,836,523,811,477,732
2021년12월_계_20~29세,"18,309",251,492,384,727,"1,223","1,060",232,"1,373","2,268","1,992","1,852","1,650","1,332","2,134","1,339"
2021년12월_계_30~39세,"19,886",501,520,403,675,654,896,312,"1,351","2,195","2,323","2,129","1,691","1,299","2,822","2,115"
2021년12월_계_40~49세,"17,379",504,648,406,459,561,623,184,"1,037","1,899","2,379","1,831","1,527","1,487","1,807","2,027"
2021년12월_계_50~59세,"20,043",305,891,489,590,602,800,281,"1,318","2,265","2,763","2,306","1,846","1,914","1,777","1,896"
2021년12월_계_60~69세,"18,083",243,"1,031",519,609,542,848,391,"1,108","2,015","2,720","2,069","1,372","1,512","1,560","1,544"
2021년12월_계_70~79세,"10,221",102,525,306,350,362,502,175,641,"1,223","1,572","1,134",810,746,874,899
2021년12월_계_80~89세,"4,967",41,234,139,199,199,188,78,267,567,851,632,358,450,342,422
2021년12월_계_90~99세,812,8,52,28,51,30,26,17,50,86,146,85,45,65,60,63
2021년12월_계_100세 이상,26,1,2,1,0,0,1,0,3,2,3,2,2,0,2,7
2021년12월_남_총인구수,"59,630","1,077","2,488","1,262","2,045","2,351","2,688","1,048","3,782","6,712","7,750","6,438","5,051","4,956","5,997","5,985"
2021년12월_남_연령구간인구수,"59,630","1,077","2,488","1,262","2,045","2,351","2,688","1,048","3,782","6,712","7,750","6,438","5,051","4,956","5,997","5,985"
2021년12월_남_0~9세,"3,265",88,93,50,90,87,67,15,108,263,494,374,274,369,379,514
2021년12월_남_10~19세,"3,206",38,95,57,97,127,82,16,119,414,475,414,251,399,234,388
2021년12월_남_20~29세,"8,477",88,228,170,345,650,445,103,604,"1,093",941,894,747,648,875,646
2021년12월_남_30~39세,"9,909",230,233,214,354,349,506,175,669,"1,150","1,092","1,065",850,624,"1,405",993
2021년12월_남_40~49세,"8,898",266,348,179,254,296,341,120,569,975,"1,166",898,784,718,904,"1,080"
2021년12월_남_50~59세,"10,166",154,506,212,340,315,450,205,713,"1,091","1,304","1,097",979,931,894,975
2021년12월_남_60~69세,"9,023",142,603,221,306,274,460,267,579,936,"1,247",992,678,759,759,800
2021년12월_남_70~79세,"4,633",53,268,115,169,168,255,103,304,558,691,450,342,339,409,409
2021년12월_남_80~89세,"1,821",15,102,38,74,73,72,37,103,209,301,233,130,150,123,161
2021년12월_남_90~99세,221,3,11,5,16,12,9,7,11,23,38,20,16,19,15,16
2021년12월_남_100세 이상,11,0,1,1,0,0,1,0,3,0,1,1,0,0,0,3
2021년12월_여_총인구수,"62,869","1,173","2,296","1,622","1,978","2,239","2,567",690,"3,891","7,086","8,926","7,150","5,312","5,310","6,579","6,050"
2021년12월_여_연령구간인구수,"62,869","1,173","2,296","1,622","1,978","2,239","2,567",690,"3,891","7,086","8,926","7,150","5,312","5,310","6,579","6,050"
2021년12월_여_0~9세,"3,034",84,83,33,80,83,65,17,147,241,498,338,265,281,342,477
2021년12월_여_10~19세,"3,268",84,118,69,96,120,97,20,151,360,460,422,272,412,243,344
2021년12월_여_20~29세,"9,832",163,264,214,382,573,615,129,769,"1,175","1,051",958,903,684,"1,259",693
2021년12월_여_30~39세,"9,977",271,287,189,321,305,390,137,682,"1,045","1,231","1,064",841,675,"1,417","1,122"
2021년12월_여_40~49세,"8,481",238,300,227,205,265,282,64,468,924,"1,213",933,743,769,903,947
2021년12월_여_50~59세,"9,877",151,385,277,250,287,350,76,605,"1,174","1,459","1,209",867,983,883,921
2021년12월_여_60~69세,"9,060",101,428,298,303,268,388,124,529,"1,079","1,473","1,077",694,753,801,744
2021년12월_여_70~79세,"5,588",49,257,191,181,194,247,72,337,665,881,684,468,407,465,490
2021년12월_여_80~89세,"3,146",26,132,101,125,126,116,41,164,358,550,399,228,300,219,261
2021년12월_여_90~99세,591,5,41,23,35,18,17,10,39,63,108,65,29,46,45,47
2021년12월_여_100세 이상,15,1,1,0,0,0,0,0,0,2,2,1,2,0,2,4
