카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년01월_계_총인구수,"437,789","26,624","27,089","26,038","9,800","5,556","8,216","51,039","37,659","23,163","61,714","41,612","39,461","30,478","49,340"
2020년01월_계_연령구간인구수,"437,789","26,624","27,089","26,038","9,800","5,556","8,216","51,039","37,659","23,163","61,714","41,612","39,461","30,478","49,340"
2020년01월_계_0~9세,"51,846","1,827","2,638","2,063",348,148,279,"3,996","5,166","1,759","7,401","6,421","6,672","5,093","8,035"
2020년01월_계_10~19세,"44,875","2,345","2,707","2,246",568,274,479,"5,957","5,285","2,224","7,087","4,954","3,352","2,371","5,026"
2020년01월_계_20~29세,"47,539","3,229","2,814","2,713",915,525,825,"7,036","3,611","3,289","7,144","3,772","4,506","2,677","4,483"
2020년01월_계_30~39세,"70,651","2,984","3,732","3,394",872,420,669,"5,701","5,788","3,116","9,570","7,267","9,830","7,401","9,907"
2020년01월_계_40~49세,"80,818","4,172","4,718","4,374","1,340",621,951,"8,775","8,090","3,935","11,707","8,965","7,297","5,452","10,421"
2020년01월_계_50~59세,"62,860","5,196","4,260","4,530","2,280","1,221","1,772","9,465","4,560","4,220","8,762","4,741","3,541","2,926","5,386"
2020년01월_계_60~69세,"44,154","3,795","3,628","3,726","1,881","1,216","1,608","5,438","2,834","2,554","5,575","3,156","2,605","2,561","3,577"
2020년01월_계_70~79세,"23,995","1,954","1,778","2,019","1,030",689,"1,026","3,111","1,629","1,407","3,136","1,688","1,223","1,500","1,805"
2020년01월_계_80~89세,"9,618",997,690,816,486,367,535,"1,359",618,584,"1,185",575,380,430,596
2020년01월_계_90~99세,"1,367",121,110,148,78,70,67,187,77,71,141,73,55,65,104
2020년01월_계_100세 이상,66,4,14,9,2,5,5,14,1,4,6,0,0,2,0
2020년01월_남_총인구수,"219,805","14,152","13,608","13,875","5,713","3,063","4,502","25,272","18,424","11,657","30,310","20,410","19,484","15,119","24,216"
2020년01월_남_연령구간인구수,"219,805","14,152","13,608","13,875","5,713","3,063","4,502","25,272","18,424","11,657","30,310","20,410","19,484","15,119","24,216"
2020년01월_남_0~9세,"26,542",952,"1,401","1,059",182,70,166,"1,996","2,604",935,"3,804","3,289","3,359","2,619","4,106"
2020년01월_남_10~19세,"22,898","1,250","1,410","1,178",322,138,262,"3,088","2,697","1,165","3,623","2,412","1,622","1,181","2,550"
2020년01월_남_20~29세,"24,771","1,896","1,450","1,533",572,318,510,"3,762","1,794","1,781","3,578","1,956","2,144","1,287","2,190"
2020년01월_남_30~39세,"34,625","1,667","1,827","1,906",543,244,389,"2,769","2,639","1,561","4,543","3,360","4,887","3,724","4,566"
2020년01월_남_40~49세,"42,127","2,321","2,432","2,492",873,391,587,"4,224","4,064","1,996","5,796","4,638","3,932","2,958","5,423"
2020년01월_남_50~59세,"32,228","2,816","2,134","2,502","1,430",700,"1,006","4,782","2,317","2,120","4,369","2,373","1,660","1,377","2,642"
2020년01월_남_60~69세,"21,454","1,979","1,803","1,919","1,070",673,861,"2,735","1,291","1,237","2,619","1,407","1,158","1,083","1,619"
2020년01월_남_70~79세,"11,219",884,868,951,507,372,487,"1,353",764,631,"1,485",769,565,718,865
2020년01월_남_80~89세,"3,592",352,251,304,194,143,207,505,238,220,453,192,144,152,237
2020년01월_남_90~99세,331,33,29,27,20,13,25,54,15,11,40,14,13,19,18
2020년01월_남_100세 이상,18,2,3,4,0,1,2,4,1,0,0,0,0,1,0
2020년01월_여_총인구수,"217,984","12,472","13,481","12,163","4,087","2,493","3,714","25,767","19,235","11,506","31,404","21,202","19,977","15,359","25,124"
2020년01월_여_연령구간인구수,"217,984","12,472","13,481","12,163","4,087","2,493","3,714","25,767","19,235","11,506","31,404","21,202","19,977","15,359","25,124"
2020년01월_여_0~9세,"25,304",875,"1,237","1,004",166,78,113,"2,000","2,562",824,"3,597","3,132","3,313","2,474","3,929"
2020년01월_여_10~19세,"21,977","1,095","1,297","1,068",246,136,217,"2,869","2,588","1,059","3,464","2,542","1,730","1,190","2,476"
2020년01월_여_20~29세,"22,768","1,333","1,364","1,180",343,207,315,"3,274","1,817","1,508","3,566","1,816","2,362","1,390","2,293"
2020년01월_여_30~39세,"36,026","1,317","1,905","1,488",329,176,280,"2,932","3,149","1,555","5,027","3,907","4,943","3,677","5,341"
2020년01월_여_40~49세,"38,691","1,851","2,286","1,882",467,230,364,"4,551","4,026","1,939","5,911","4,327","3,365","2,494","4,998"
2020년01월_여_50~59세,"30,632","2,380","2,126","2,028",850,521,766,"4,683","2,243","2,100","4,393","2,368","1,881","1,549","2,744"
2020년01월_여_60~69세,"22,700","1,816","1,825","1,807",811,543,747,"2,703","1,543","1,317","2,956","1,749","1,447","1,478","1,958"
2020년01월_여_70~79세,"12,776","1,070",910,"1,068",523,317,539,"1,758",865,776,"1,651",919,658,782,940
2020년01월_여_80~89세,"6,026",645,439,512,292,224,328,854,380,364,732,383,236,278,359
2020년01월_여_90~99세,"1,036",88,81,121,58,57,42,133,62,60,101,59,42,46,86
2020년01월_여_100세 이상,48,2,11,5,2,4,3,10,0,4,6,0,0,1,0
