카테고리,서울특별시 영등포구,서울특별시 영등포구 영등포본동,서울특별시 영등포구 영등포동,서울특별시 영등포구 여의동,서울특별시 영등포구 당산제1동,서울특별시 영등포구 당산제2동,서울특별시 영등포구 도림동,서울특별시 영등포구 문래동,서울특별시 영등포구 양평제1동,서울특별시 영등포구 양평제2동,서울특별시 영등포구 신길제1동,서울특별시 영등포구 신길제3동,서울특별시 영등포구 신길제4동,서울특별시 영등포구 신길제5동,서울특별시 영등포구 신길제6동,서울특별시 영등포구 신길제7동,서울특별시 영등포구 대림제1동,서울특별시 영등포구 대림제2동,서울특별시 영등포구 대림제3동
2020년09월_계_총인구수,"375,630","21,624","27,381","34,307","20,911","37,564","18,416","32,591","17,365","22,392","17,546","17,010","8,855","11,206","17,863","20,352","14,750","12,369","23,128"
2020년09월_계_연령구간인구수,"375,630","21,624","27,381","34,307","20,911","37,564","18,416","32,591","17,365","22,392","17,546","17,010","8,855","11,206","17,863","20,352","14,750","12,369","23,128"
2020년09월_계_0~9세,"25,570","1,481","1,191","3,001","1,189","2,836","1,039","3,248","1,259","1,686",610,"1,194",317,836,"1,001","2,132",849,484,"1,217"
2020년09월_계_10~19세,"24,377","1,324",864,"2,927","1,004","2,315",976,"2,934","1,021","1,623",909,"1,169",605,755,"1,111","1,768",928,616,"1,528"
2020년09월_계_20~29세,"58,459","2,826","6,440","3,897","3,623","7,390","2,762","3,775","2,653","3,690","3,391","2,189","1,258","1,426","3,073","2,839","2,166","1,860","3,201"
2020년09월_계_30~39세,"68,214","3,343","6,648","5,347","4,258","8,212","3,291","6,085","4,252","5,121","2,973","2,543","1,098","1,629","2,902","3,501","1,988","1,683","3,340"
2020년09월_계_40~49세,"56,029","3,207","3,453","5,540","2,946","5,246","2,810","5,869","2,817","3,413","2,462","2,542","1,184","1,648","2,452","3,333","2,121","1,721","3,265"
2020년09월_계_50~59세,"56,576","3,665","3,596","5,148","3,099","4,805","2,998","4,135","2,074","3,045","2,609","2,933","1,630","1,953","2,777","3,121","2,509","2,198","4,281"
2020년09월_계_60~69세,"46,276","3,175","2,969","4,112","2,616","3,743","2,314","3,508","1,703","2,166","2,273","2,437","1,482","1,665","2,509","2,100","2,160","1,834","3,510"
2020년09월_계_70~79세,"27,162","1,810","1,532","2,677","1,449","1,983","1,501","2,070","1,076","1,098","1,555","1,420",861,903,"1,384","1,050","1,442","1,410","1,941"
2020년09월_계_80~89세,"11,121",668,568,"1,430",634,865,620,813,430,472,653,507,358,328,565,444,504,503,759
2020년09월_계_90~99세,"1,567",111,96,205,78,135,88,128,71,72,90,68,47,47,76,51,68,54,82
2020년09월_계_100세 이상,279,14,24,23,15,34,17,26,9,6,21,8,15,16,13,13,15,6,4
