,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2020년04월_계_총인구수,"37,320","35,394","1,926"
2020년04월_계_연령구간인구수,"37,320","35,394","1,926"
2020년04월_계_0~9세,"3,486","3,449",37
2020년04월_계_10~19세,"3,466","3,371",95
2020년04월_계_20~29세,"4,560","4,428",132
2020년04월_계_30~39세,"4,888","4,804",84
2020년04월_계_40~49세,"5,729","5,510",219
2020년04월_계_50~59세,"6,130","5,772",358
2020년04월_계_60~69세,"4,761","4,299",462
2020년04월_계_70~79세,"2,667","2,365",302
2020년04월_계_80~89세,"1,457","1,248",209
2020년04월_계_90~99세,164,138,26
2020년04월_계_100세 이상,12,10,2
2020년04월_남_총인구수,"19,357","18,338","1,019"
2020년04월_남_연령구간인구수,"19,357","18,338","1,019"
2020년04월_남_0~9세,"1,784","1,760",24
2020년04월_남_10~19세,"1,797","1,750",47
2020년04월_남_20~29세,"2,636","2,559",77
2020년04월_남_30~39세,"2,693","2,641",52
2020년04월_남_40~49세,"3,104","2,963",141
2020년04월_남_50~59세,"3,220","3,017",203
2020년04월_남_60~69세,"2,414","2,157",257
2020년04월_남_70~79세,"1,181","1,042",139
2020년04월_남_80~89세,483,414,69
2020년04월_남_90~99세,42,32,10
2020년04월_남_100세 이상,3,3,0
2020년04월_여_총인구수,"17,963","17,056",907
2020년04월_여_연령구간인구수,"17,963","17,056",907
2020년04월_여_0~9세,"1,702","1,689",13
2020년04월_여_10~19세,"1,669","1,621",48
2020년04월_여_20~29세,"1,924","1,869",55
2020년04월_여_30~39세,"2,195","2,163",32
2020년04월_여_40~49세,"2,625","2,547",78
2020년04월_여_50~59세,"2,910","2,755",155
2020년04월_여_60~69세,"2,347","2,142",205
2020년04월_여_70~79세,"1,486","1,323",163
2020년04월_여_80~89세,974,834,140
2020년04월_여_90~99세,122,106,16
2020년04월_여_100세 이상,9,7,2
