,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년12월_계_총인구수,"189,534","60,103","5,327","7,301","3,299","5,854","15,403","5,245","6,531","7,479","6,915","3,591","1,932","12,311","25,832","22,411"
2021년12월_계_연령구간인구수,"189,534","60,103","5,327","7,301","3,299","5,854","15,403","5,245","6,531","7,479","6,915","3,591","1,932","12,311","25,832","22,411"
2021년12월_계_0~9세,"13,123","5,506",160,341,79,185,"1,230",132,373,255,215,73,47,671,"2,133","1,723"
2021년12월_계_10~19세,"17,717","7,514",279,601,140,263,"1,086",263,379,409,416,199,79,999,"2,645","2,445"
2021년12월_계_20~29세,"23,111","7,037",489,725,269,550,"2,116",443,774,646,680,448,190,"1,542","3,947","3,255"
2021년12월_계_30~39세,"22,791","8,172",402,596,240,520,"2,450",374,953,584,514,254,139,"1,314","3,644","2,635"
2021년12월_계_40~49세,"30,184","12,009",519,961,328,722,"2,643",542,933,802,758,333,174,"1,684","4,294","3,482"
2021년12월_계_50~59세,"31,990","9,291","1,000","1,328",645,"1,074","2,375","1,010","1,239","1,306","1,406",660,372,"2,196","4,105","3,983"
2021년12월_계_60~69세,"27,745","5,950","1,261","1,508",785,"1,310","2,044","1,279","1,084","1,815","1,535",811,491,"2,073","3,026","2,773"
2021년12월_계_70~79세,"13,840","2,980",683,689,447,702,916,641,501,975,813,471,239,"1,112","1,330","1,341"
2021년12월_계_80~89세,"7,869","1,450",456,477,323,458,476,456,249,587,518,307,168,622,630,692
2021년12월_계_90~99세,"1,132",188,76,74,42,67,66,100,46,95,58,34,30,97,78,81
2021년12월_계_100세 이상,32,6,2,1,1,3,1,5,0,5,2,1,3,1,0,1
2021년12월_남_총인구수,"97,895","30,349","2,828","3,642","1,744","3,202","8,671","2,743","3,667","3,911","3,692","1,857","1,007","6,167","13,148","11,267"
2021년12월_남_연령구간인구수,"97,895","30,349","2,828","3,642","1,744","3,202","8,671","2,743","3,667","3,911","3,692","1,857","1,007","6,167","13,148","11,267"
2021년12월_남_0~9세,"6,769","2,817",85,183,45,91,665,71,213,131,109,31,23,323,"1,113",869
2021년12월_남_10~19세,"9,199","3,861",172,299,75,142,567,131,204,225,219,90,44,500,"1,383","1,287"
2021년12월_남_20~29세,"12,809","3,803",286,405,167,347,"1,216",253,462,361,375,237,113,846,"2,126","1,812"
2021년12월_남_30~39세,"12,521","4,246",247,312,143,334,"1,474",214,590,356,327,166,83,712,"1,942","1,375"
2021년12월_남_40~49세,"16,151","6,110",305,502,200,442,"1,613",320,575,481,446,206,103,886,"2,234","1,728"
2021년12월_남_50~59세,"16,965","4,847",550,708,364,597,"1,387",573,681,709,810,355,198,"1,126","2,073","1,987"
2021년12월_남_60~69세,"14,043","2,819",690,756,407,728,"1,089",695,588,920,826,426,253,"1,011","1,478","1,357"
2021년12월_남_70~79세,"6,385","1,322",318,290,215,338,456,306,252,489,374,226,118,503,583,595
2021년12월_남_80~89세,"2,809",484,163,174,116,167,193,159,86,219,191,114,68,240,197,238
2021년12월_남_90~99세,240,38,12,13,12,15,11,21,16,19,15,6,4,20,19,19
2021년12월_남_100세 이상,4,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2021년12월_여_총인구수,"91,639","29,754","2,499","3,659","1,555","2,652","6,732","2,502","2,864","3,568","3,223","1,734",925,"6,144","12,684","11,144"
2021년12월_여_연령구간인구수,"91,639","29,754","2,499","3,659","1,555","2,652","6,732","2,502","2,864","3,568","3,223","1,734",925,"6,144","12,684","11,144"
2021년12월_여_0~9세,"6,354","2,689",75,158,34,94,565,61,160,124,106,42,24,348,"1,020",854
2021년12월_여_10~19세,"8,518","3,653",107,302,65,121,519,132,175,184,197,109,35,499,"1,262","1,158"
2021년12월_여_20~29세,"10,302","3,234",203,320,102,203,900,190,312,285,305,211,77,696,"1,821","1,443"
2021년12월_여_30~39세,"10,270","3,926",155,284,97,186,976,160,363,228,187,88,56,602,"1,702","1,260"
2021년12월_여_40~49세,"14,033","5,899",214,459,128,280,"1,030",222,358,321,312,127,71,798,"2,060","1,754"
2021년12월_여_50~59세,"15,025","4,444",450,620,281,477,988,437,558,597,596,305,174,"1,070","2,032","1,996"
2021년12월_여_60~69세,"13,702","3,131",571,752,378,582,955,584,496,895,709,385,238,"1,062","1,548","1,416"
2021년12월_여_70~79세,"7,455","1,658",365,399,232,364,460,335,249,486,439,245,121,609,747,746
2021년12월_여_80~89세,"5,060",966,293,303,207,291,283,297,163,368,327,193,100,382,433,454
2021년12월_여_90~99세,892,150,64,61,30,52,55,79,30,76,43,28,26,77,59,62
2021년12월_여_100세 이상,28,4,2,1,1,2,1,5,0,4,2,1,3,1,0,1
