,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년03월_계_총인구수,"38,719","4,206",243,"5,757",236,231,"1,470",310,"3,198","2,272","3,530","2,511",217,"2,246",448,218,486,320,"1,739","1,533","1,559","2,694",277,975,"2,043"
2021년03월_계_연령구간인구수,"38,719","4,206",243,"5,757",236,231,"1,470",310,"3,198","2,272","3,530","2,511",217,"2,246",448,218,486,320,"1,739","1,533","1,559","2,694",277,975,"2,043"
2021년03월_계_0~9세,"1,540",142,5,210,8,15,42,7,172,77,148,106,8,75,11,14,27,11,71,70,78,113,12,22,96
2021년03월_계_10~19세,"2,016",227,6,295,4,6,44,9,230,102,201,207,6,117,23,15,28,20,103,105,62,96,8,31,71
2021년03월_계_20~29세,"2,706",268,13,480,9,7,101,19,228,140,215,169,8,198,53,16,44,31,116,132,83,192,18,45,121
2021년03월_계_30~39세,"2,653",250,15,410,17,12,90,16,212,135,232,175,13,185,56,14,53,27,117,119,106,177,30,64,128
2021년03월_계_40~49세,"4,288",444,17,629,20,22,186,36,410,214,406,262,28,302,80,25,87,42,192,208,162,225,26,87,178
2021년03월_계_50~59세,"6,955",747,52,"1,094",34,34,293,67,577,429,622,389,61,429,94,43,108,62,306,272,236,449,46,140,371
2021년03월_계_60~69세,"7,710",882,54,"1,250",65,50,245,68,598,470,698,458,46,370,68,44,68,64,329,285,336,553,64,216,429
2021년03월_계_70~79세,"6,302",723,41,821,54,55,275,57,503,415,616,408,30,315,40,23,40,40,286,200,278,479,44,213,346
2021년03월_계_80~89세,"4,032",461,38,495,23,28,176,30,249,267,344,307,15,208,23,22,30,17,196,126,193,350,26,137,271
2021년03월_계_90~99세,506,62,2,72,2,2,18,1,19,22,48,29,2,44,0,2,1,6,23,14,23,59,3,20,32
2021년03월_계_100세 이상,11,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,2,2,1,0,0,0
2021년03월_남_총인구수,"20,664","2,197",128,"3,114",117,131,801,180,"1,701","1,198","1,867","1,285",125,"1,249",290,121,282,189,926,833,821,"1,399",153,488,"1,069"
2021년03월_남_연령구간인구수,"20,664","2,197",128,"3,114",117,131,801,180,"1,701","1,198","1,867","1,285",125,"1,249",290,121,282,189,926,833,821,"1,399",153,488,"1,069"
2021년03월_남_0~9세,779,80,2,111,3,11,19,3,76,43,80,51,6,31,7,7,12,5,34,31,41,56,7,11,52
2021년03월_남_10~19세,"1,041",112,2,138,1,4,24,8,125,55,97,95,3,70,14,9,18,10,56,55,26,53,6,17,43
2021년03월_남_20~29세,"1,626",169,10,280,5,5,59,10,139,80,111,105,3,120,36,9,22,19,73,75,50,116,13,39,78
2021년03월_남_30~39세,"1,700",150,9,269,12,9,66,14,124,95,152,116,6,120,47,10,39,16,68,70,67,107,20,36,78
2021년03월_남_40~49세,"2,872",289,12,406,14,16,137,27,276,136,257,158,22,218,60,20,63,34,127,142,112,154,16,57,119
2021년03월_남_50~59세,"4,238",449,37,633,19,21,194,45,353,246,392,228,41,276,65,27,68,44,193,166,154,278,23,75,211
