,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2021년09월_계_총인구수,"63,864","9,701","3,231","1,700","5,093","1,296",713,"1,820",679,664,"7,519","14,478","8,978","7,992"
2021년09월_계_연령구간인구수,"63,864","9,701","3,231","1,700","5,093","1,296",713,"1,820",679,664,"7,519","14,478","8,978","7,992"
2021년09월_계_0~9세,"3,602",300,76,43,104,20,8,36,10,12,251,"1,617",618,507
2021년09월_계_10~19세,"5,074",839,130,62,200,36,10,63,26,12,477,"1,683",801,735
2021년09월_계_20~29세,"6,906","1,727",228,123,324,62,31,80,28,23,699,"1,830",994,757
2021년09월_계_30~39세,"5,329",485,201,81,266,68,21,76,18,32,561,"1,942",886,692
2021년09월_계_40~49세,"8,526","1,007",352,183,468,119,55,187,70,66,926,"2,500","1,434","1,159"
2021년09월_계_50~59세,"10,968","1,560",605,332,950,274,132,330,126,130,"1,366","2,292","1,554","1,317"
2021년09월_계_60~69세,"11,730","1,900",742,392,"1,251",397,206,467,184,177,"1,651","1,537","1,368","1,458"
2021년09월_계_70~79세,"7,025","1,208",501,294,798,177,133,318,126,114,"1,018",688,834,816
2021년09월_계_80~89세,"4,067",604,339,165,612,127,92,227,78,89,504,329,415,486
2021년09월_계_90~99세,611,68,50,25,115,16,25,36,13,9,63,58,69,64
2021년09월_계_100세 이상,26,3,7,0,5,0,0,0,0,0,3,2,5,1
2021년09월_남_총인구수,"32,278","4,814","1,697",853,"2,627",704,389,949,345,362,"3,696","7,359","4,548","3,935"
2021년09월_남_연령구간인구수,"32,278","4,814","1,697",853,"2,627",704,389,949,345,362,"3,696","7,359","4,548","3,935"
2021년09월_남_0~9세,"1,833",147,39,21,54,13,4,19,9,6,136,828,300,257
2021년09월_남_10~19세,"2,602",387,65,33,117,19,4,43,12,6,246,862,432,376
2021년09월_남_20~29세,"3,864",904,158,72,207,30,21,54,16,14,391,"1,019",557,421
2021년09월_남_30~39세,"2,878",264,131,52,166,47,13,39,8,19,324,995,457,363
2021년09월_남_40~49세,"4,662",568,227,111,301,91,41,132,43,51,503,"1,236",765,593
2021년09월_남_50~59세,"5,943",843,361,182,578,144,85,191,77,80,668,"1,198",866,670
2021년09월_남_60~69세,"5,915",980,399,204,639,219,122,255,90,98,776,771,661,701
2021년09월_남_70~79세,"3,103",525,203,116,352,84,59,146,57,53,459,309,365,375
2021년09월_남_80~89세,"1,350",181,103,55,196,54,33,65,30,34,175,126,131,167
2021년09월_남_90~99세,125,15,9,7,17,3,7,5,3,1,18,15,13,12
2021년09월_남_100세 이상,3,0,2,0,0,0,0,0,0,0,0,0,1,0
2021년09월_여_총인구수,"31,586","4,887","1,534",847,"2,466",592,324,871,334,302,"3,823","7,119","4,430","4,057"
2021년09월_여_연령구간인구수,"31,586","4,887","1,534",847,"2,466",592,324,871,334,302,"3,823","7,119","4,430","4,057"
2021년09월_여_0~9세,"1,769",153,37,22,50,7,4,17,1,6,115,789,318,250
2021년09월_여_10~19세,"2,472",452,65,29,83,17,6,20,14,6,231,821,369,359
2021년09월_여_20~29세,"3,042",823,70,51,117,32,10,26,12,9,308,811,437,336
2021년09월_여_30~39세,"2,451",221,70,29,100,21,8,37,10,13,237,947,429,329
2021년09월_여_40~49세,"3,864",439,125,72,167,28,14,55,27,15,423,"1,264",669,566
2021년09월_여_50~59세,"5,025",717,244,150,372,130,47,139,49,50,698,"1,094",688,647
2021년09월_여_60~69세,"5,815",920,343,188,612,178,84,212,94,79,875,766,707,757
2021년09월_여_70~79세,"3,922",683,298,178,446,93,74,172,69,61,559,379,469,441
2021년09월_여_80~89세,"2,717",423,236,110,416,73,59,162,48,55,329,203,284,319
2021년09월_여_90~99세,486,53,41,18,98,13,18,31,10,8,45,43,56,52
2021년09월_여_100세 이상,23,3,5,0,5,0,0,0,0,0,3,2,4,1
