,광주광역시,광주광역시 동구,광주광역시 서구,광주광역시 남구,광주광역시 북구,광주광역시 광산구
2021년07월_계_총인구수,"1,442,482","103,185","292,724","214,111","428,040","404,422"
2021년07월_계_연령구간인구수,"1,442,482","103,185","292,724","214,111","428,040","404,422"
2021년07월_계_0~9세,"116,003","7,294","20,678","17,032","32,600","38,399"
2021년07월_계_10~19세,"153,869","7,301","30,433","22,609","41,953","51,573"
2021년07월_계_20~29세,"207,814","14,823","44,905","27,629","61,723","58,734"
2021년07월_계_30~39세,"182,548","13,473","35,544","25,149","54,840","53,542"
2021년07월_계_40~49세,"237,460","14,043","47,456","33,982","66,381","75,598"
2021년07월_계_50~59세,"233,995","15,478","49,304","32,792","71,252","65,169"
2021년07월_계_60~69세,"169,107","14,983","35,345","28,688","55,122","34,969"
2021년07월_계_70~79세,"94,071","10,256","19,401","17,463","29,753","17,198"
2021년07월_계_80~89세,"41,385","4,825","8,397","7,575","12,588","8,000"
2021년07월_계_90~99세,"5,997",675,"1,214","1,152","1,764","1,192"
2021년07월_계_100세 이상,233,34,47,40,64,48
2021년07월_남_총인구수,"713,626","50,938","143,459","102,933","212,537","203,759"
2021년07월_남_연령구간인구수,"713,626","50,938","143,459","102,933","212,537","203,759"
2021년07월_남_0~9세,"59,483","3,767","10,718","8,664","16,665","19,669"
2021년07월_남_10~19세,"79,726","3,740","16,041","11,295","22,132","26,518"
2021년07월_남_20~29세,"108,441","7,604","22,964","14,206","32,479","31,188"
2021년07월_남_30~39세,"93,380","6,975","18,091","12,494","28,587","27,233"
2021년07월_남_40~49세,"117,951","7,341","22,920","16,738","33,299","37,653"
2021년07월_남_50~59세,"116,206","7,667","24,185","15,567","34,965","33,822"
2021년07월_남_60~69세,"80,573","7,084","16,570","13,123","26,206","17,590"
2021년07월_남_70~79세,"41,768","4,543","8,647","7,776","13,334","7,468"
2021년07월_남_80~89세,"14,782","2,018","3,048","2,821","4,502","2,393"
2021년07월_남_90~99세,"1,288",191,271,243,363,220
2021년07월_남_100세 이상,28,8,4,6,5,5
2021년07월_여_총인구수,"728,856","52,247","149,265","111,178","215,503","200,663"
2021년07월_여_연령구간인구수,"728,856","52,247","149,265","111,178","215,503","200,663"
2021년07월_여_0~9세,"56,520","3,527","9,960","8,368","15,935","18,730"
2021년07월_여_10~19세,"74,143","3,561","14,392","11,314","19,821","25,055"
2021년07월_여_20~29세,"99,373","7,219","21,941","13,423","29,244","27,546"
2021년07월_여_30~39세,"89,168","6,498","17,453","12,655","26,253","26,309"
2021년07월_여_40~49세,"119,509","6,702","24,536","17,244","33,082","37,945"
2021년07월_여_50~59세,"117,789","7,811","25,119","17,225","36,287","31,347"
2021년07월_여_60~69세,"88,534","7,899","18,775","15,565","28,916","17,379"
2021년07월_여_70~79세,"52,303","5,713","10,754","9,687","16,419","9,730"
2021년07월_여_80~89세,"26,603","2,807","5,349","4,754","8,086","5,607"
2021년07월_여_90~99세,"4,709",484,943,909,"1,401",972
2021년07월_여_100세 이상,205,26,43,34,59,43
