,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2021년11월_계_총인구수,"262,906","47,249","4,764","13,217","51,110","38,485","29,613","25,292","23,020","7,784","3,606","18,766"
2021년11월_계_연령구간인구수,"262,906","47,249","4,764","13,217","51,110","38,485","29,613","25,292","23,020","7,784","3,606","18,766"
2021년11월_계_0~9세,"28,792","3,040",291,725,"5,613","6,025","5,030","2,539","2,350",389,90,"2,700"
2021년11월_계_10~19세,"24,454","4,300",177,"1,292","6,080","3,606","3,613","1,773","1,732",476,125,"1,280"
2021년11월_계_20~29세,"28,561","6,158",463,"1,774","5,598","3,750","2,362","2,495","3,123",639,258,"1,941"
2021년11월_계_30~39세,"40,720","4,995",608,"1,288","6,968","7,910","5,803","3,848","4,205",596,255,"4,244"
2021년11월_계_40~49세,"44,701","6,759",560,"2,335","9,672","7,396","6,211","3,743","3,622",890,300,"3,213"
2021년11월_계_50~59세,"41,132","9,556",919,"2,997","8,027","4,968","3,069","4,212","3,119","1,323",776,"2,166"
2021년11월_계_60~69세,"32,422","7,505",927,"1,738","5,679","3,249","2,227","3,985","2,732","1,686",880,"1,814"
2021년11월_계_70~79세,"14,581","3,343",495,662,"2,465","1,159",866,"1,827","1,383","1,047",507,827
2021년11월_계_80~89세,"6,673","1,415",281,362,890,374,374,781,680,630,364,522
2021년11월_계_90~99세,851,176,41,42,117,46,56,89,72,103,50,59
2021년11월_계_100세 이상,19,2,2,2,1,2,2,0,2,5,1,0
2021년11월_남_총인구수,"133,417","23,463","2,573","7,019","25,240","19,567","15,015","12,764","12,114","3,865","1,944","9,853"
2021년11월_남_연령구간인구수,"133,417","23,463","2,573","7,019","25,240","19,567","15,015","12,764","12,114","3,865","1,944","9,853"
2021년11월_남_0~9세,"14,679","1,569",149,357,"2,853","3,049","2,566","1,335","1,198",204,42,"1,357"
2021년11월_남_10~19세,"12,707","2,206",88,694,"3,158","1,870","1,872",929,904,255,65,666
2021년11월_남_20~29세,"15,782","3,397",276,"1,060","2,970","1,947","1,319","1,322","1,834",379,162,"1,116"
2021년11월_남_30~39세,"21,289","2,692",350,710,"3,450","3,993","2,860","1,999","2,411",302,156,"2,366"
2021년11월_남_40~49세,"23,326","3,240",350,"1,259","4,757","4,012","3,206","2,004","2,037",465,190,"1,806"
2021년11월_남_50~59세,"20,450","4,605",498,"1,626","3,797","2,443","1,566","2,061","1,582",707,460,"1,105"
2021년11월_남_60~69세,"16,089","3,692",528,921,"2,729","1,611","1,080","1,973","1,342",817,510,886
2021년11월_남_70~79세,"6,735","1,518",228,279,"1,187",533,415,845,591,514,244,381
2021년11월_남_80~89세,"2,185",511,96,103,320,102,114,275,200,200,105,159
2021년11월_남_90~99세,170,33,10,10,19,7,17,21,14,19,9,11
2021년11월_남_100세 이상,5,0,0,0,0,0,0,0,1,3,1,0
2021년11월_여_총인구수,"129,489","23,786","2,191","6,198","25,870","18,918","14,598","12,528","10,906","3,919","1,662","8,913"
2021년11월_여_연령구간인구수,"129,489","23,786","2,191","6,198","25,870","18,918","14,598","12,528","10,906","3,919","1,662","8,913"
2021년11월_여_0~9세,"14,113","1,471",142,368,"2,760","2,976","2,464","1,204","1,152",185,48,"1,343"
2021년11월_여_10~19세,"11,747","2,094",89,598,"2,922","1,736","1,741",844,828,221,60,614
2021년11월_여_20~29세,"12,779","2,761",187,714,"2,628","1,803","1,043","1,173","1,289",260,96,825
2021년11월_여_30~39세,"19,431","2,303",258,578,"3,518","3,917","2,943","1,849","1,794",294,99,"1,878"
2021년11월_여_40~49세,"21,375","3,519",210,"1,076","4,915","3,384","3,005","1,739","1,585",425,110,"1,407"
2021년11월_여_50~59세,"20,682","4,951",421,"1,371","4,230","2,525","1,503","2,151","1,537",616,316,"1,061"
2021년11월_여_60~69세,"16,333","3,813",399,817,"2,950","1,638","1,147","2,012","1,390",869,370,928
2021년11월_여_70~79세,"7,846","1,825",267,383,"1,278",626,451,982,792,533,263,446
2021년11월_여_80~89세,"4,488",904,185,259,570,272,260,506,480,430,259,363
2021년11월_여_90~99세,681,143,31,32,98,39,39,68,58,84,41,48
2021년11월_여_100세 이상,14,2,2,2,1,2,2,0,1,2,0,0
