카테고리,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2020년04월_계_총인구수,"166,136","9,283","30,403","5,524","9,671","2,439","3,729","3,596","5,169","5,190","16,000","12,089","23,749","20,593","18,701"
2020년04월_계_연령구간인구수,"166,136","9,283","30,403","5,524","9,671","2,439","3,729","3,596","5,169","5,190","16,000","12,089","23,749","20,593","18,701"
2020년04월_계_0~9세,"16,221",364,"4,173",202,479,60,112,113,190,209,"1,614","1,296","2,578","2,520","2,311"
2020년04월_계_10~19세,"15,670",576,"2,512",291,505,99,196,185,332,362,"1,808","1,016","2,471","2,502","2,815"
2020년04월_계_20~29세,"16,280",748,"2,458",394,965,144,309,282,392,398,"1,476","1,087","3,320","2,164","2,143"
2020년04월_계_30~39세,"23,523",761,"5,849",335,"1,150",131,232,237,299,332,"1,828","2,100","4,383","3,125","2,761"
2020년04월_계_40~49세,"26,504","1,144","5,272",579,"1,343",226,340,378,575,585,"2,608","2,016","4,069","3,687","3,682"
2020년04월_계_50~59세,"25,718","1,622","4,371",984,"1,934",372,643,674,979,906,"2,534","1,791","3,228","3,007","2,673"
2020년04월_계_60~69세,"20,204","1,849","3,067","1,166","1,594",597,823,759,"1,024","1,019","1,965","1,297","1,991","1,871","1,182"
2020년04월_계_70~79세,"12,985","1,298","1,622",843,"1,010",473,600,542,759,799,"1,300",868,"1,134","1,050",687
2020년04월_계_80~89세,"7,879",794,951,637,606,305,409,362,530,507,759,545,504,584,386
2020년04월_계_90~99세,"1,084",112,121,90,80,29,63,62,84,71,100,70,70,72,60
2020년04월_계_100세 이상,68,15,7,3,5,3,2,2,5,2,8,3,1,11,1
2020년04월_남_총인구수,"87,969","4,897","16,826","2,807","5,571","1,227","1,906","1,848","2,623","2,616","8,163","6,860","12,534","10,482","9,609"
2020년04월_남_연령구간인구수,"87,969","4,897","16,826","2,807","5,571","1,227","1,906","1,848","2,623","2,616","8,163","6,860","12,534","10,482","9,609"
2020년04월_남_0~9세,"8,291",206,"2,168",104,252,34,52,56,96,102,794,646,"1,297","1,297","1,187"
2020년04월_남_10~19세,"8,207",317,"1,340",145,269,55,100,95,175,203,934,513,"1,266","1,297","1,498"
2020년04월_남_20~29세,"9,500",457,"1,399",230,633,86,192,173,230,228,856,701,"1,902","1,203","1,210"
2020년04월_남_30~39세,"13,326",457,"3,307",186,788,84,128,141,173,194,950,"1,335","2,555","1,606","1,422"
2020년04월_남_40~49세,"14,903",699,"3,228",339,910,139,197,235,338,334,"1,397","1,277","2,135","1,887","1,788"
2020년04월_남_50~59세,"14,354",920,"2,598",570,"1,161",188,354,360,540,494,"1,384","1,077","1,687","1,576","1,445"
2020년04월_남_60~69세,"10,229",901,"1,629",573,836,299,424,375,495,506,964,703,"1,000",930,594
2020년04월_남_70~79세,"6,061",600,798,404,476,232,289,273,367,342,593,398,492,477,320
2020년04월_남_80~89세,"2,818",310,322,236,220,103,161,120,184,190,269,194,183,194,132
2020년04월_남_90~99세,266,28,37,20,24,6,9,18,24,22,20,16,17,13,12
2020년04월_남_100세 이상,14,2,0,0,2,1,0,2,1,1,2,0,0,2,1
2020년04월_여_총인구수,"78,167","4,386","13,577","2,717","4,100","1,212","1,823","1,748","2,546","2,574","7,837","5,229","11,215","10,111","9,092"
2020년04월_여_연령구간인구수,"78,167","4,386","13,577","2,717","4,100","1,212","1,823","1,748","2,546","2,574","7,837","5,229","11,215","10,111","9,092"
2020년04월_여_0~9세,"7,930",158,"2,005",98,227,26,60,57,94,107,820,650,"1,281","1,223","1,124"
2020년04월_여_10~19세,"7,463",259,"1,172",146,236,44,96,90,157,159,874,503,"1,205","1,205","1,317"
2020년04월_여_20~29세,"6,780",291,"1,059",164,332,58,117,109,162,170,620,386,"1,418",961,933
2020년04월_여_30~39세,"10,197",304,"2,542",149,362,47,104,96,126,138,878,765,"1,828","1,519","1,339"
2020년04월_여_40~49세,"11,601",445,"2,044",240,433,87,143,143,237,251,"1,211",739,"1,934","1,800","1,894"
2020년04월_여_50~59세,"11,364",702,"1,773",414,773,184,289,314,439,412,"1,150",714,"1,541","1,431","1,228"
2020년04월_여_60~69세,"9,975",948,"1,438",593,758,298,399,384,529,513,"1,001",594,991,941,588
2020년04월_여_70~79세,"6,924",698,824,439,534,241,311,269,392,457,707,470,642,573,367
2020년04월_여_80~89세,"5,061",484,629,401,386,202,248,242,346,317,490,351,321,390,254
2020년04월_여_90~99세,818,84,84,70,56,23,54,44,60,49,80,54,53,59,48
2020년04월_여_100세 이상,54,13,7,3,3,2,2,0,4,1,6,3,1,9,0
