카테고리,경기도 시흥시,경기도 시흥시 대야동,경기도 시흥시 신천동,경기도 시흥시 신현동,경기도 시흥시 은행동,경기도 시흥시 매화동,경기도 시흥시 목감동,경기도 시흥시 군자동,경기도 시흥시 월곶동,경기도 시흥시 정왕본동,경기도 시흥시 정왕1동,경기도 시흥시 정왕2동,경기도 시흥시 정왕3동,경기도 시흥시 정왕4동,경기도 시흥시 배곧1동,경기도 시흥시 배곧2동,경기도 시흥시 과림동,경기도 시흥시 연성동,경기도 시흥시 장곡동,경기도 시흥시 능곡동
2021년08월_계_총인구수,"511,807","44,995","36,204","9,969","56,305","12,139","42,235","21,951","16,162","20,401","22,402","32,216","23,002","21,160","35,688","35,464","1,948","23,848","31,636","24,082"
2021년08월_계_연령구간인구수,"511,807","44,995","36,204","9,969","56,305","12,139","42,235","21,951","16,162","20,401","22,402","32,216","23,002","21,160","35,688","35,464","1,948","23,848","31,636","24,082"
2021년08월_계_0~9세,"48,477","3,510","1,574",414,"7,276",649,"5,715","1,476","1,357","1,116","1,252","2,316","1,681","1,609","5,857","4,733",44,"1,702","3,715","2,481"
2021년08월_계_10~19세,"50,370","3,485","3,124",723,"5,776","1,154","3,421","2,197","1,495","1,109","1,914","3,512","2,096","2,615","4,341","3,871",51,"2,777","3,989","2,720"
2021년08월_계_20~29세,"69,860","6,672","5,845","1,392","6,661","1,681","4,133","2,817","1,919","3,217","3,709","5,171","3,029","3,534","3,458","5,543",156,"3,694","3,982","3,247"
2021년08월_계_30~39세,"78,448","7,035","3,949",984,"9,755","1,089","8,131","2,564","2,385","4,029","3,342","4,349","3,135","2,394","6,807","7,325",182,"2,604","4,740","3,649"
2021년08월_계_40~49세,"92,219","6,558","5,055","1,273","9,951","1,871","7,604","3,818","3,159","4,213","4,513","6,164","4,571","3,737","7,713","7,329",166,"4,061","6,252","4,211"
2021년08월_계_50~59세,"89,402","8,613","8,060","2,189","8,690","2,526","5,747","4,098","2,740","3,761","4,317","6,281","4,611","4,352","4,462","4,256",446,"4,934","5,211","4,108"
2021년08월_계_60~69세,"51,991","5,806","5,386","1,797","5,308","1,750","4,710","2,939","1,828","1,982","2,206","2,740","2,504","1,730","2,195","1,743",568,"2,325","2,320","2,154"
2021년08월_계_70~79세,"20,000","2,076","2,104",756,"1,889",887,"1,849","1,317",857,653,752,"1,034",876,716,599,462,226,"1,078",927,942
2021년08월_계_80~89세,"9,474","1,060",961,376,849,462,775,627,367,276,342,573,416,426,221,168,85,585,428,477
2021년08월_계_90~99세,"1,460",171,123,56,145,67,135,87,52,42,51,73,81,46,34,34,20,82,70,91
2021년08월_계_100세 이상,106,9,23,9,5,3,15,11,3,3,4,3,2,1,1,0,4,6,2,2
2021년08월_남_총인구수,"267,236","22,823","18,690","5,247","28,111","6,365","21,356","11,509","8,412","12,870","13,240","17,493","12,962","10,473","17,747","18,666","1,199","12,144","15,974","11,955"
2021년08월_남_연령구간인구수,"267,236","22,823","18,690","5,247","28,111","6,365","21,356","11,509","8,412","12,870","13,240","17,493","12,962","10,473","17,747","18,666","1,199","12,144","15,974","11,955"
2021년08월_남_0~9세,"24,585","1,796",822,211,"3,655",316,"2,873",769,676,561,625,"1,157",853,847,"2,930","2,421",23,881,"1,893","1,276"
2021년08월_남_10~19세,"25,855","1,787","1,645",375,"2,941",608,"1,750","1,139",770,567,985,"1,816","1,096","1,325","2,204","1,917",28,"1,441","2,082","1,379"
2021년08월_남_20~29세,"37,889","3,520","3,179",777,"3,418",973,"2,101","1,559","1,032","2,109","2,358","3,010","1,746","1,810","1,683","3,001",101,"1,950","1,998","1,564"
2021년08월_남_30~39세,"41,999","3,661","2,206",562,"4,785",587,"4,061","1,446","1,273","2,761","2,126","2,571","1,847","1,200","3,240","3,957",125,"1,364","2,335","1,892"
2021년08월_남_40~49세,"49,754","3,409","2,634",666,"5,145",997,"4,110","2,121","1,739","2,867","2,820","3,437","2,794","1,762","4,020","3,947",113,"1,999","3,130","2,044"
2021년08월_남_50~59세,"47,000","4,239","4,119","1,158","4,307","1,390","2,917","2,155","1,493","2,383","2,607","3,332","2,630","2,168","2,202","2,210",283,"2,575","2,737","2,095"
2021년08월_남_60~69세,"27,593","3,092","2,863",980,"2,687",929,"2,371","1,487",881,"1,180","1,264","1,518","1,434",927,"1,129",928,351,"1,234","1,229","1,109"
2021년08월_남_70~79세,"9,136",956,924,362,893,401,901,591,398,344,333,434,402,274,263,222,132,475,414,417
2021년08월_남_80~89세,"3,100",331,269,130,253,145,240,225,139,91,113,198,148,147,68,59,35,210,141,158
2021년08월_남_90~99세,297,31,27,21,26,18,28,14,10,6,7,20,11,13,8,4,6,13,14,20
2021년08월_남_100세 이상,28,1,2,5,1,1,4,3,1,1,2,0,1,0,0,0,2,2,1,1
2021년08월_여_총인구수,"244,571","22,172","17,514","4,722","28,194","5,774","20,879","10,442","7,750","7,531","9,162","14,723","10,040","10,687","17,941","16,798",749,"11,704","15,662","12,127"
2021년08월_여_연령구간인구수,"244,571","22,172","17,514","4,722","28,194","5,774","20,879","10,442","7,750","7,531","9,162","14,723","10,040","10,687","17,941","16,798",749,"11,704","15,662","12,127"
2021년08월_여_0~9세,"23,892","1,714",752,203,"3,621",333,"2,842",707,681,555,627,"1,159",828,762,"2,927","2,312",21,821,"1,822","1,205"
2021년08월_여_10~19세,"24,515","1,698","1,479",348,"2,835",546,"1,671","1,058",725,542,929,"1,696","1,000","1,290","2,137","1,954",23,"1,336","1,907","1,341"
2021년08월_여_20~29세,"31,971","3,152","2,666",615,"3,243",708,"2,032","1,258",887,"1,108","1,351","2,161","1,283","1,724","1,775","2,542",55,"1,744","1,984","1,683"
2021년08월_여_30~39세,"36,449","3,374","1,743",422,"4,970",502,"4,070","1,118","1,112","1,268","1,216","1,778","1,288","1,194","3,567","3,368",57,"1,240","2,405","1,757"
2021년08월_여_40~49세,"42,465","3,149","2,421",607,"4,806",874,"3,494","1,697","1,420","1,346","1,693","2,727","1,777","1,975","3,693","3,382",53,"2,062","3,122","2,167"
2021년08월_여_50~59세,"42,402","4,374","3,941","1,031","4,383","1,136","2,830","1,943","1,247","1,378","1,710","2,949","1,981","2,184","2,260","2,046",163,"2,359","2,474","2,013"
2021년08월_여_60~69세,"24,398","2,714","2,523",817,"2,621",821,"2,339","1,452",947,802,942,"1,222","1,070",803,"1,066",815,217,"1,091","1,091","1,045"
2021년08월_여_70~79세,"10,864","1,120","1,180",394,996,486,948,726,459,309,419,600,474,442,336,240,94,603,513,525
2021년08월_여_80~89세,"6,374",729,692,246,596,317,535,402,228,185,229,375,268,279,153,109,50,375,287,319
2021년08월_여_90~99세,"1,163",140,96,35,119,49,107,73,42,36,44,53,70,33,26,30,14,69,56,71
2021년08월_여_100세 이상,78,8,21,4,4,2,11,8,2,2,2,3,1,1,1,0,2,4,1,1
