,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년06월_계_총인구수,"117,696","8,512","13,890","4,190","4,345","3,048","3,639","3,613","6,154","2,480","6,433","3,503","4,015","2,296","34,915","16,663"
2020년06월_계_연령구간인구수,"117,696","8,512","13,890","4,190","4,345","3,048","3,639","3,613","6,154","2,480","6,433","3,503","4,015","2,296","34,915","16,663"
2020년06월_계_0~9세,"7,470",379,924,111,121,123,80,86,198,61,415,64,107,57,"3,403","1,341"
2020년06월_계_10~19세,"9,998",699,"1,125",184,246,149,172,172,326,106,427,138,217,148,"3,965","1,924"
2020년06월_계_20~29세,"11,594",741,"1,341",306,309,205,234,275,398,115,463,239,439,146,"4,514","1,869"
2020년06월_계_30~39세,"11,097",594,"1,328",244,262,233,221,215,353,125,565,177,255,135,"4,704","1,686"
2020년06월_계_40~49세,"15,741","1,013","1,724",380,435,314,418,371,589,247,683,317,453,220,"5,879","2,698"
2020년06월_계_50~59세,"20,035","1,538","2,277",708,800,484,696,712,"1,227",445,"1,096",603,760,381,"5,392","2,916"
2020년06월_계_60~69세,"19,553","1,635","2,343",931,952,645,826,799,"1,431",610,"1,160",873,799,525,"3,838","2,186"
2020년06월_계_70~79세,"12,904","1,144","1,603",726,693,496,552,558,942,441,900,619,535,379,"2,038","1,278"
2020년06월_계_80~89세,"8,051",640,"1,059",540,480,348,386,368,590,274,626,405,382,255,"1,022",676
2020년06월_계_90~99세,"1,166",113,157,59,45,47,49,53,94,50,93,64,63,47,147,85
2020년06월_계_100세 이상,87,16,9,1,2,4,5,4,6,6,5,4,5,3,13,4
2020년06월_남_총인구수,"58,862","4,133","6,932","2,111","2,212","1,547","1,817","1,856","3,214","1,262","3,268","1,779","2,126","1,102","17,395","8,108"
2020년06월_남_연령구간인구수,"58,862","4,133","6,932","2,111","2,212","1,547","1,817","1,856","3,214","1,262","3,268","1,779","2,126","1,102","17,395","8,108"
2020년06월_남_0~9세,"3,839",191,465,59,60,68,44,45,110,27,228,40,51,27,"1,737",687
2020년06월_남_10~19세,"5,163",357,579,95,125,77,92,80,181,59,246,74,106,67,"2,044",981
2020년06월_남_20~29세,"6,526",420,772,175,174,119,123,162,243,65,267,143,271,84,"2,460","1,048"
2020년06월_남_30~39세,"5,844",307,725,156,162,137,116,132,197,78,291,101,164,75,"2,391",812
2020년06월_남_40~49세,"8,379",537,968,240,263,178,229,232,340,156,378,184,292,122,"2,922","1,338"
2020년06월_남_50~59세,"10,493",771,"1,185",377,442,282,388,400,682,244,582,321,437,206,"2,711","1,465"
2020년06월_남_60~69세,"9,833",791,"1,165",480,501,326,432,419,764,318,607,468,418,273,"1,851","1,020"
2020년06월_남_70~79세,"5,680",488,694,297,314,233,250,253,451,211,406,287,242,150,890,514
2020년06월_남_80~89세,"2,783",235,341,211,159,113,127,124,222,87,236,139,134,82,345,228
2020년06월_남_90~99세,300,29,37,21,11,13,16,9,23,16,26,21,10,16,39,13
2020년06월_남_100세 이상,22,7,1,0,1,1,0,0,1,1,1,1,1,0,5,2
2020년06월_여_총인구수,"58,834","4,379","6,958","2,079","2,133","1,501","1,822","1,757","2,940","1,218","3,165","1,724","1,889","1,194","17,520","8,555"
2020년06월_여_연령구간인구수,"58,834","4,379","6,958","2,079","2,133","1,501","1,822","1,757","2,940","1,218","3,165","1,724","1,889","1,194","17,520","8,555"
2020년06월_여_0~9세,"3,631",188,459,52,61,55,36,41,88,34,187,24,56,30,"1,666",654
2020년06월_여_10~19세,"4,835",342,546,89,121,72,80,92,145,47,181,64,111,81,"1,921",943
2020년06월_여_20~29세,"5,068",321,569,131,135,86,111,113,155,50,196,96,168,62,"2,054",821
2020년06월_여_30~39세,"5,253",287,603,88,100,96,105,83,156,47,274,76,91,60,"2,313",874
2020년06월_여_40~49세,"7,362",476,756,140,172,136,189,139,249,91,305,133,161,98,"2,957","1,360"
2020년06월_여_50~59세,"9,542",767,"1,092",331,358,202,308,312,545,201,514,282,323,175,"2,681","1,451"
2020년06월_여_60~69세,"9,720",844,"1,178",451,451,319,394,380,667,292,553,405,381,252,"1,987","1,166"
2020년06월_여_70~79세,"7,224",656,909,429,379,263,302,305,491,230,494,332,293,229,"1,148",764
2020년06월_여_80~89세,"5,268",405,718,329,321,235,259,244,368,187,390,266,248,173,677,448
2020년06월_여_90~99세,866,84,120,38,34,34,33,44,71,34,67,43,53,31,108,72
2020년06월_여_100세 이상,65,9,8,1,1,3,5,4,5,5,4,3,4,3,8,2
