카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년03월_계_총인구수,"46,399","20,663","4,520","3,172","5,885","2,395","2,386","3,505","2,128","1,745"
2021년03월_계_연령구간인구수,"46,399","20,663","4,520","3,172","5,885","2,395","2,386","3,505","2,128","1,745"
2021년03월_계_0~9세,"2,125","1,436",126,70,250,36,29,78,68,32
2021년03월_계_10~19세,"3,571","1,974",212,593,387,82,71,115,67,70
2021년03월_계_20~29세,"3,788","2,254",372,135,387,130,115,200,115,80
2021년03월_계_30~39세,"3,375","1,999",257,125,423,109,85,173,129,75
2021년03월_계_40~49세,"5,052","2,927",414,187,646,161,162,272,154,129
2021년03월_계_50~59세,"8,634","3,659",878,552,"1,177",451,495,691,385,346
2021년03월_계_60~69세,"10,450","3,341","1,168",799,"1,419",744,757,"1,019",655,548
2021년03월_계_70~79세,"5,543","1,793",657,424,707,396,399,539,313,315
2021년03월_계_80~89세,"3,319","1,076",380,244,432,246,233,354,212,142
2021년03월_계_90~99세,516,193,54,40,53,37,39,64,28,8
2021년03월_계_100세 이상,26,11,2,3,4,3,1,0,2,0
2021년03월_남_총인구수,"23,812","10,411","2,375","1,625","3,071","1,238","1,211","1,834","1,129",918
2021년03월_남_연령구간인구수,"23,812","10,411","2,375","1,625","3,071","1,238","1,211","1,834","1,129",918
2021년03월_남_0~9세,"1,128",759,67,40,131,18,11,42,42,18
2021년03월_남_10~19세,"1,866","1,012",113,311,211,38,39,60,34,48
2021년03월_남_20~29세,"2,161","1,238",241,85,217,70,68,123,70,49
2021년03월_남_30~39세,"1,761","1,000",137,63,240,58,46,102,75,40
2021년03월_남_40~49세,"2,813","1,583",239,98,367,92,94,174,91,75
2021년03월_남_50~59세,"4,595","1,912",476,292,642,239,264,371,212,187
2021년03월_남_60~69세,"5,448","1,687",614,425,740,403,409,538,353,279
2021년03월_남_70~79세,"2,693",783,337,212,349,210,199,279,164,160
2021년03월_남_80~89세,"1,227",388,136,94,165,102,73,131,78,60
2021년03월_남_90~99세,116,48,15,5,9,6,8,14,9,2
2021년03월_남_100세 이상,4,1,0,0,0,2,0,0,1,0
2021년03월_여_총인구수,"22,587","10,252","2,145","1,547","2,814","1,157","1,175","1,671",999,827
2021년03월_여_연령구간인구수,"22,587","10,252","2,145","1,547","2,814","1,157","1,175","1,671",999,827
2021년03월_여_0~9세,997,677,59,30,119,18,18,36,26,14
2021년03월_여_10~19세,"1,705",962,99,282,176,44,32,55,33,22
2021년03월_여_20~29세,"1,627","1,016",131,50,170,60,47,77,45,31
2021년03월_여_30~39세,"1,614",999,120,62,183,51,39,71,54,35
2021년03월_여_40~49세,"2,239","1,344",175,89,279,69,68,98,63,54
2021년03월_여_50~59세,"4,039","1,747",402,260,535,212,231,320,173,159
2021년03월_여_60~69세,"5,002","1,654",554,374,679,341,348,481,302,269
2021년03월_여_70~79세,"2,850","1,010",320,212,358,186,200,260,149,155
2021년03월_여_80~89세,"2,092",688,244,150,267,144,160,223,134,82
2021년03월_여_90~99세,400,145,39,35,44,31,31,50,19,6
2021년03월_여_100세 이상,22,10,2,3,4,1,1,0,1,0
