,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2021년02월_계_총인구수,"43,234","13,650","6,158","3,708","3,116","2,011","1,204","2,459","3,065","4,485","3,378"
2021년02월_계_연령구간인구수,"43,234","13,650","6,158","3,708","3,116","2,011","1,204","2,459","3,065","4,485","3,378"
2021년02월_계_0~9세,"1,904",926,195,115,82,56,27,76,108,181,138
2021년02월_계_10~19세,"2,249","1,283",187,106,99,38,38,101,82,205,110
2021년02월_계_20~29세,"3,417","1,437",469,227,163,119,68,185,184,315,250
2021년02월_계_30~39세,"3,255","1,340",477,251,180,119,61,128,173,299,227
2021년02월_계_40~49세,"4,721","2,042",599,347,228,163,97,242,268,435,300
2021년02월_계_50~59세,"8,385","2,427","1,357",774,601,406,236,442,569,898,675
2021년02월_계_60~69세,"9,408","2,135","1,476",985,784,528,287,560,826,"1,020",807
2021년02월_계_70~79세,"5,838","1,279",882,512,512,306,208,424,524,667,524
2021년02월_계_80~89세,"3,524",681,438,337,392,242,163,267,278,416,310
2021년02월_계_90~99세,506,97,72,53,69,32,18,34,50,46,35
2021년02월_계_100세 이상,27,3,6,1,6,2,1,0,3,3,2
2021년02월_남_총인구수,"22,375","6,928","3,373","2,021","1,543",998,623,"1,239","1,580","2,286","1,784"
2021년02월_남_연령구간인구수,"22,375","6,928","3,373","2,021","1,543",998,623,"1,239","1,580","2,286","1,784"
2021년02월_남_0~9세,966,441,110,56,48,28,18,38,54,96,77
2021년02월_남_10~19세,"1,250",718,105,66,46,18,23,55,44,116,59
2021년02월_남_20~29세,"2,044",830,309,140,105,72,38,99,113,186,152
2021년02월_남_30~39세,"1,774",693,279,160,99,80,39,68,86,156,114
2021년02월_남_40~49세,"2,822","1,085",422,227,131,107,66,154,182,261,187
2021년02월_남_50~59세,"4,598","1,279",760,452,312,206,135,252,313,507,382
2021년02월_남_60~69세,"4,943","1,076",797,559,423,262,150,281,434,519,442
2021년02월_남_70~79세,"2,723",565,433,250,240,139,99,191,255,297,254
2021년02월_남_80~89세,"1,132",219,140,100,120,80,50,91,86,138,108
2021년02월_남_90~99세,117,21,16,11,18,6,4,10,12,10,9
2021년02월_남_100세 이상,6,1,2,0,1,0,1,0,1,0,0
2021년02월_여_총인구수,"20,859","6,722","2,785","1,687","1,573","1,013",581,"1,220","1,485","2,199","1,594"
2021년02월_여_연령구간인구수,"20,859","6,722","2,785","1,687","1,573","1,013",581,"1,220","1,485","2,199","1,594"
2021년02월_여_0~9세,938,485,85,59,34,28,9,38,54,85,61
2021년02월_여_10~19세,999,565,82,40,53,20,15,46,38,89,51
2021년02월_여_20~29세,"1,373",607,160,87,58,47,30,86,71,129,98
2021년02월_여_30~39세,"1,481",647,198,91,81,39,22,60,87,143,113
2021년02월_여_40~49세,"1,899",957,177,120,97,56,31,88,86,174,113
2021년02월_여_50~59세,"3,787","1,148",597,322,289,200,101,190,256,391,293
2021년02월_여_60~69세,"4,465","1,059",679,426,361,266,137,279,392,501,365
2021년02월_여_70~79세,"3,115",714,449,262,272,167,109,233,269,370,270
2021년02월_여_80~89세,"2,392",462,298,237,272,162,113,176,192,278,202
2021년02월_여_90~99세,389,76,56,42,51,26,14,24,38,36,26
2021년02월_여_100세 이상,21,2,4,1,5,2,0,0,2,3,2
