,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2021년07월_계_총인구수,"267,994","32,809","9,753","24,901","19,788","14,853","38,704","10,676","27,715","17,440","14,743","27,390","14,295","14,927"
2021년07월_계_연령구간인구수,"267,994","32,809","9,753","24,901","19,788","14,853","38,704","10,676","27,715","17,440","14,743","27,390","14,295","14,927"
2021년07월_계_0~9세,"19,030","2,558",324,"2,572","1,022",812,"2,539",799,"2,528","1,484",785,"1,803",985,819
2021년07월_계_10~19세,"24,663","2,792",609,"3,292","1,125","1,401","2,839","1,005","4,022","1,789",958,"2,789","1,031","1,011"
2021년07월_계_20~29세,"31,898","3,849","1,048","2,458","3,194","1,725","5,371","1,242","3,113","1,815","1,651","3,092","1,561","1,779"
2021년07월_계_30~39세,"32,099","4,256",854,"2,957","3,295","1,351","5,252","1,334","2,656","1,880","1,675","3,010","1,728","1,851"
2021년07월_계_40~49세,"42,678","5,048","1,178","5,070","3,020","2,078","5,610","1,765","5,581","3,176","1,997","4,299","1,946","1,910"
2021년07월_계_50~59세,"43,517","5,270","1,706","3,645","3,023","2,436","6,546","1,657","4,524","2,573","2,501","4,707","2,387","2,542"
2021년07월_계_60~69세,"41,808","5,099","2,032","2,700","2,685","2,606","6,126","1,503","3,297","2,573","2,901","4,560","2,661","3,065"
2021년07월_계_70~79세,"22,492","2,737","1,311","1,508","1,621","1,577","3,139",916,"1,445","1,562","1,611","2,215","1,428","1,422"
2021년07월_계_80~89세,"8,670","1,063",586,616,720,744,"1,145",408,482,529,588,809,511,469
2021년07월_계_90~99세,"1,069",134,83,82,75,116,131,45,66,59,70,98,53,57
2021년07월_계_100세 이상,70,3,22,1,8,7,6,2,1,0,6,8,4,2
2021년07월_남_총인구수,"130,335","15,936","4,735","12,228","9,383","7,149","18,943","5,119","13,389","8,638","7,267","13,339","6,931","7,278"
2021년07월_남_연령구간인구수,"130,335","15,936","4,735","12,228","9,383","7,149","18,943","5,119","13,389","8,638","7,267","13,339","6,931","7,278"
2021년07월_남_0~9세,"9,839","1,289",166,"1,353",511,396,"1,308",409,"1,286",844,423,928,497,429
2021년07월_남_10~19세,"12,817","1,496",327,"1,806",565,727,"1,490",476,"1,944",999,512,"1,449",485,541
2021년07월_남_20~29세,"16,644","2,043",564,"1,267","1,425",944,"2,729",658,"1,695",953,875,"1,678",838,975
2021년07월_남_30~39세,"16,146","2,126",481,"1,375","1,659",708,"2,729",660,"1,250",891,889,"1,521",871,986
2021년07월_남_40~49세,"20,907","2,521",626,"2,430","1,460",994,"2,782",855,"2,570","1,602","1,031","2,061","1,013",962
2021년07월_남_50~59세,"20,713","2,443",833,"1,788","1,483","1,142","3,069",819,"2,226","1,273","1,206","2,204","1,102","1,125"
2021년07월_남_60~69세,"19,366","2,329",958,"1,261","1,268","1,211","2,871",657,"1,580","1,168","1,334","2,122","1,229","1,378"
2021년07월_남_70~79세,"10,350","1,256",548,685,708,703,"1,448",410,681,699,753,"1,060",690,709
2021년07월_남_80~89세,"3,304",399,213,247,282,294,475,166,153,204,230,290,193,158
2021년07월_남_90~99세,235,33,19,16,20,26,41,8,4,5,12,25,11,15
2021년07월_남_100세 이상,14,1,0,0,2,4,1,1,0,0,2,1,2,0
2021년07월_여_총인구수,"137,659","16,873","5,018","12,673","10,405","7,704","19,761","5,557","14,326","8,802","7,476","14,051","7,364","7,649"
2021년07월_여_연령구간인구수,"137,659","16,873","5,018","12,673","10,405","7,704","19,761","5,557","14,326","8,802","7,476","14,051","7,364","7,649"
2021년07월_여_0~9세,"9,191","1,269",158,"1,219",511,416,"1,231",390,"1,242",640,362,875,488,390
2021년07월_여_10~19세,"11,846","1,296",282,"1,486",560,674,"1,349",529,"2,078",790,446,"1,340",546,470
2021년07월_여_20~29세,"15,254","1,806",484,"1,191","1,769",781,"2,642",584,"1,418",862,776,"1,414",723,804
2021년07월_여_30~39세,"15,953","2,130",373,"1,582","1,636",643,"2,523",674,"1,406",989,786,"1,489",857,865
2021년07월_여_40~49세,"21,771","2,527",552,"2,640","1,560","1,084","2,828",910,"3,011","1,574",966,"2,238",933,948
2021년07월_여_50~59세,"22,804","2,827",873,"1,857","1,540","1,294","3,477",838,"2,298","1,300","1,295","2,503","1,285","1,417"
2021년07월_여_60~69세,"22,442","2,770","1,074","1,439","1,417","1,395","3,255",846,"1,717","1,405","1,567","2,438","1,432","1,687"
2021년07월_여_70~79세,"12,142","1,481",763,823,913,874,"1,691",506,764,863,858,"1,155",738,713
2021년07월_여_80~89세,"5,366",664,373,369,438,450,670,242,329,325,358,519,318,311
2021년07월_여_90~99세,834,101,64,66,55,90,90,37,62,54,58,73,42,42
2021년07월_여_100세 이상,56,2,22,1,6,3,5,1,1,0,4,7,2,2
