카테고리,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년05월_계_총인구수,"308,036","19,788","14,081","12,647","12,426","26,784","21,476","25,302","17,258","15,837","10,894","27,731","39,343","27,794","11,585","18,966","6,124"
2021년05월_계_연령구간인구수,"308,036","19,788","14,081","12,647","12,426","26,784","21,476","25,302","17,258","15,837","10,894","27,731","39,343","27,794","11,585","18,966","6,124"
2021년05월_계_0~9세,"19,122","1,050",851,510,727,"1,587","1,170","1,374","1,111","1,057",925,"1,884","2,928","1,643","1,267",907,131
2021년05월_계_10~19세,"24,881","1,554","1,090",752,943,"2,252","1,661","2,010","1,117","1,316",953,"2,427","3,934","2,406",838,"1,387",241
2021년05월_계_20~29세,"39,111","2,298","1,535","1,436","1,485","3,423","3,500","5,129","1,886","2,092","1,062","3,466","4,452","3,333","1,292","2,183",539
2021년05월_계_30~39세,"35,840","2,211","1,467","1,477","1,318","2,974","2,804","3,148","2,110","2,136","1,436","3,628","4,262","2,658","2,000","1,790",421
2021년05월_계_40~49세,"45,226","2,684","2,158","1,629","1,797","3,826","2,952","3,469","2,537","2,398","1,949","4,412","6,386","3,979","1,784","2,549",717
2021년05월_계_50~59세,"53,865","3,397","2,259","2,141","2,051","4,724","3,612","4,061","3,132","2,874","1,757","4,864","7,127","5,289","1,845","3,565","1,167"
2021년05월_계_60~69세,"52,298","3,508","2,604","2,580","2,323","4,739","3,435","3,630","3,108","2,529","1,617","4,431","5,985","5,020","1,625","3,837","1,327"
2021년05월_계_70~79세,"26,399","2,057","1,523","1,490","1,259","2,310","1,623","1,767","1,609","1,018",889,"1,957","2,916","2,298",689,"1,954","1,040"
2021년05월_계_80~89세,"9,923",893,526,566,462,835,640,637,573,361,282,585,"1,181","1,005",200,699,478
2021년05월_계_90~99세,"1,330",133,65,66,59,111,77,73,73,56,22,74,169,158,44,92,58
2021년05월_계_100세 이상,41,3,3,0,2,3,2,4,2,0,2,3,3,5,1,3,5
2021년05월_남_총인구수,"153,413","9,537","6,897","6,101","6,014","13,133","10,724","12,603","8,901","7,900","5,645","14,112","19,735","13,684","5,918","9,356","3,153"
2021년05월_남_연령구간인구수,"153,413","9,537","6,897","6,101","6,014","13,133","10,724","12,603","8,901","7,900","5,645","14,112","19,735","13,684","5,918","9,356","3,153"
2021년05월_남_0~9세,"9,818",552,437,281,396,814,582,720,580,543,464,995,"1,456",827,664,453,54
2021년05월_남_10~19세,"12,896",829,539,389,452,"1,175",850,978,590,696,507,"1,275","2,101","1,235",449,708,123
2021년05월_남_20~29세,"20,948","1,185",806,745,800,"1,815","1,839","2,807","1,044","1,039",585,"1,836","2,468","1,859",674,"1,131",315
2021년05월_남_30~39세,"19,067","1,181",777,819,676,"1,553","1,563","1,719","1,186","1,147",746,"1,969","2,148","1,353","1,030",950,250
2021년05월_남_40~49세,"23,201","1,312","1,124",866,884,"1,896","1,482","1,773","1,379","1,216","1,084","2,299","3,156","1,942",964,"1,376",448
2021년05월_남_50~59세,"26,443","1,567","1,124","1,011",965,"2,155","1,737","1,906","1,652","1,391",983,"2,436","3,607","2,585",928,"1,710",686
2021년05월_남_60~69세,"25,155","1,610","1,180","1,148","1,045","2,263","1,665","1,659","1,551","1,215",787,"2,167","3,050","2,511",792,"1,841",671
2021년05월_남_70~79세,"12,133",966,716,634,603,"1,129",747,779,709,501,396,914,"1,317","1,021",342,919,440
2021년05월_남_80~89세,"3,492",309,185,192,181,306,250,247,192,138,89,212,391,323,69,251,157
2021년05월_남_90~99세,250,26,9,16,12,26,7,13,17,14,3,8,41,27,6,17,8
2021년05월_남_100세 이상,10,0,0,0,0,1,2,2,1,0,1,1,0,1,0,0,1
2021년05월_여_총인구수,"154,623","10,251","7,184","6,546","6,412","13,651","10,752","12,699","8,357","7,937","5,249","13,619","19,608","14,110","5,667","9,610","2,971"
2021년05월_여_연령구간인구수,"154,623","10,251","7,184","6,546","6,412","13,651","10,752","12,699","8,357","7,937","5,249","13,619","19,608","14,110","5,667","9,610","2,971"
2021년05월_여_0~9세,"9,304",498,414,229,331,773,588,654,531,514,461,889,"1,472",816,603,454,77
2021년05월_여_10~19세,"11,985",725,551,363,491,"1,077",811,"1,032",527,620,446,"1,152","1,833","1,171",389,679,118
2021년05월_여_20~29세,"18,163","1,113",729,691,685,"1,608","1,661","2,322",842,"1,053",477,"1,630","1,984","1,474",618,"1,052",224
2021년05월_여_30~39세,"16,773","1,030",690,658,642,"1,421","1,241","1,429",924,989,690,"1,659","2,114","1,305",970,840,171
2021년05월_여_40~49세,"22,025","1,372","1,034",763,913,"1,930","1,470","1,696","1,158","1,182",865,"2,113","3,230","2,037",820,"1,173",269
2021년05월_여_50~59세,"27,422","1,830","1,135","1,130","1,086","2,569","1,875","2,155","1,480","1,483",774,"2,428","3,520","2,704",917,"1,855",481
2021년05월_여_60~69세,"27,143","1,898","1,424","1,432","1,278","2,476","1,770","1,971","1,557","1,314",830,"2,264","2,935","2,509",833,"1,996",656
2021년05월_여_70~79세,"14,266","1,091",807,856,656,"1,181",876,988,900,517,493,"1,043","1,599","1,277",347,"1,035",600
2021년05월_여_80~89세,"6,431",584,341,374,281,529,390,390,381,223,193,373,790,682,131,448,321
2021년05월_여_90~99세,"1,080",107,56,50,47,85,70,60,56,42,19,66,128,131,38,75,50
2021년05월_여_100세 이상,31,3,3,0,2,2,0,2,1,0,1,2,3,4,1,3,4
