카테고리,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년02월_계_총인구수,"34,788","6,860","1,400","1,071","2,031","2,884","1,829","4,156","5,590","5,697","1,174","2,096"
2021년02월_계_연령구간인구수,"34,788","6,860","1,400","1,071","2,031","2,884","1,829","4,156","5,590","5,697","1,174","2,096"
2021년02월_계_0~9세,"1,301",375,43,41,52,84,33,124,158,321,34,36
2021년02월_계_10~19세,"2,066",538,38,45,96,158,73,286,203,482,44,103
2021년02월_계_20~29세,"2,422",633,65,42,100,160,108,307,359,499,52,97
2021년02월_계_30~39세,"2,097",618,55,45,84,182,66,209,289,420,52,77
2021년02월_계_40~49세,"3,486",832,111,91,134,263,148,455,523,660,97,172
2021년02월_계_50~59세,"6,474","1,163",230,170,322,527,394,882,"1,146","1,091",176,373
2021년02월_계_60~69세,"7,403","1,186",337,213,446,593,440,920,"1,367","1,106",308,487
2021년02월_계_70~79세,"5,258",850,262,205,430,504,326,571,892,598,223,397
2021년02월_계_80~89세,"3,700",557,225,189,321,348,214,346,568,460,160,312
2021년02월_계_90~99세,561,103,34,29,44,63,26,54,81,59,28,40
2021년02월_계_100세 이상,20,5,0,1,2,2,1,2,4,1,0,2
2021년02월_남_총인구수,"17,082","3,314",688,513,978,"1,424",905,"2,055","2,816","2,793",559,"1,037"
2021년02월_남_연령구간인구수,"17,082","3,314",688,513,978,"1,424",905,"2,055","2,816","2,793",559,"1,037"
2021년02월_남_0~9세,684,193,22,19,35,47,24,59,98,157,15,15
2021년02월_남_10~19세,"1,108",279,25,28,60,87,44,158,109,235,21,62
2021년02월_남_20~29세,"1,386",371,36,20,59,85,64,164,209,294,29,55
2021년02월_남_30~39세,"1,125",309,34,21,49,104,42,106,166,221,30,43
2021년02월_남_40~49세,"1,927",423,66,57,90,158,81,241,308,336,60,107
2021년02월_남_50~59세,"3,503",601,143,104,188,292,209,473,608,551,110,224
2021년02월_남_60~69세,"3,827",593,174,112,225,308,225,449,722,597,160,262
2021년02월_남_70~79세,"2,319",369,117,83,172,213,139,267,427,260,92,180
2021년02월_남_80~89세,"1,093",157,62,63,93,115,73,122,161,132,37,78
2021년02월_남_90~99세,108,19,9,6,6,15,4,15,8,10,5,11
2021년02월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년02월_여_총인구수,"17,706","3,546",712,558,"1,053","1,460",924,"2,101","2,774","2,904",615,"1,059"
2021년02월_여_연령구간인구수,"17,706","3,546",712,558,"1,053","1,460",924,"2,101","2,774","2,904",615,"1,059"
2021년02월_여_0~9세,617,182,21,22,17,37,9,65,60,164,19,21
2021년02월_여_10~19세,958,259,13,17,36,71,29,128,94,247,23,41
2021년02월_여_20~29세,"1,036",262,29,22,41,75,44,143,150,205,23,42
2021년02월_여_30~39세,972,309,21,24,35,78,24,103,123,199,22,34
2021년02월_여_40~49세,"1,559",409,45,34,44,105,67,214,215,324,37,65
2021년02월_여_50~59세,"2,971",562,87,66,134,235,185,409,538,540,66,149
2021년02월_여_60~69세,"3,576",593,163,101,221,285,215,471,645,509,148,225
2021년02월_여_70~79세,"2,939",481,145,122,258,291,187,304,465,338,131,217
2021년02월_여_80~89세,"2,607",400,163,126,228,233,141,224,407,328,123,234
2021년02월_여_90~99세,453,84,25,23,38,48,22,39,73,49,23,29
2021년02월_여_100세 이상,18,5,0,1,1,2,1,1,4,1,0,2
