,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2020년08월_계_총인구수,"139,154","6,362","5,277","13,387","4,113","3,402","5,999","2,921","4,570","15,619","43,158","30,194","4,152"
2020년08월_계_연령구간인구수,"139,154","6,362","5,277","13,387","4,113","3,402","5,999","2,921","4,570","15,619","43,158","30,194","4,152"
2020년08월_계_0~9세,"12,114",255,247,880,147,118,209,90,210,959,"7,160","1,744",95
2020년08월_계_10~19세,"12,535",376,365,"1,131",298,210,294,152,334,"1,224","4,636","3,392",123
2020년08월_계_20~29세,"19,291",629,556,"1,630",446,374,639,303,521,"2,145","4,070","7,696",282
2020년08월_계_30~39세,"21,331",630,516,"1,650",406,311,667,250,467,"2,244","9,157","4,743",290
2020년08월_계_40~49세,"24,430",880,825,"2,070",583,495,799,407,615,"2,549","9,144","5,539",524
2020년08월_계_50~59세,"20,242","1,333",906,"2,295",747,640,"1,140",529,850,"2,786","4,410","3,674",932
2020년08월_계_60~69세,"15,640","1,271",832,"1,967",734,620,"1,104",561,781,"2,213","2,761","1,750","1,046"
2020년08월_계_70~79세,"9,232",642,641,"1,199",524,436,730,423,530,993,"1,322","1,183",609
2020년08월_계_80~89세,"3,649",282,323,482,188,162,338,168,215,415,439,432,205
2020년08월_계_90~99세,612,60,60,77,37,32,66,29,35,78,57,40,41
2020년08월_계_100세 이상,78,4,6,6,3,4,13,9,12,13,2,1,5
2020년08월_남_총인구수,"72,058","3,438","2,651","6,793","2,087","1,752","3,160","1,516","2,255","8,669","21,692","15,714","2,331"
2020년08월_남_연령구간인구수,"72,058","3,438","2,651","6,793","2,087","1,752","3,160","1,516","2,255","8,669","21,692","15,714","2,331"
2020년08월_남_0~9세,"6,223",134,138,437,62,70,93,61,106,497,"3,686",897,42
2020년08월_남_10~19세,"6,502",182,188,585,169,99,156,76,165,646,"2,369","1,806",61
2020년08월_남_20~29세,"9,761",376,299,864,245,205,354,174,280,"1,233","1,979","3,570",182
2020년08월_남_30~39세,"11,530",371,280,878,228,180,385,151,262,"1,344","4,453","2,814",184
2020년08월_남_40~49세,"13,379",529,446,"1,096",323,273,481,220,340,"1,507","4,866","2,950",348
2020년08월_남_50~59세,"11,096",765,486,"1,222",393,360,661,300,438,"1,578","2,252","2,091",550
2020년08월_남_60~69세,"7,793",655,393,984,347,308,560,278,354,"1,196","1,270",888,560
2020년08월_남_70~79세,"4,292",307,285,530,238,201,341,180,227,503,650,509,321
2020년08월_남_80~89세,"1,306",101,118,180,69,52,108,61,67,143,154,178,75
2020년08월_남_90~99세,151,17,17,14,13,4,17,13,9,17,12,10,8
2020년08월_남_100세 이상,25,1,1,3,0,0,4,2,7,5,1,1,0
2020년08월_여_총인구수,"67,096","2,924","2,626","6,594","2,026","1,650","2,839","1,405","2,315","6,950","21,466","14,480","1,821"
2020년08월_여_연령구간인구수,"67,096","2,924","2,626","6,594","2,026","1,650","2,839","1,405","2,315","6,950","21,466","14,480","1,821"
2020년08월_여_0~9세,"5,891",121,109,443,85,48,116,29,104,462,"3,474",847,53
2020년08월_여_10~19세,"6,033",194,177,546,129,111,138,76,169,578,"2,267","1,586",62
2020년08월_여_20~29세,"9,530",253,257,766,201,169,285,129,241,912,"2,091","4,126",100
2020년08월_여_30~39세,"9,801",259,236,772,178,131,282,99,205,900,"4,704","1,929",106
2020년08월_여_40~49세,"11,051",351,379,974,260,222,318,187,275,"1,042","4,278","2,589",176
2020년08월_여_50~59세,"9,146",568,420,"1,073",354,280,479,229,412,"1,208","2,158","1,583",382
2020년08월_여_60~69세,"7,847",616,439,983,387,312,544,283,427,"1,017","1,491",862,486
2020년08월_여_70~79세,"4,940",335,356,669,286,235,389,243,303,490,672,674,288
2020년08월_여_80~89세,"2,343",181,205,302,119,110,230,107,148,272,285,254,130
2020년08월_여_90~99세,461,43,43,63,24,28,49,16,26,61,45,30,33
2020년08월_여_100세 이상,53,3,5,3,3,4,9,7,5,8,1,0,5
