,경상북도,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 북구,경상북도 경주시,경상북도 김천시,경상북도 안동시,경상북도 구미시,경상북도 영주시,경상북도 영천시,경상북도 상주시,경상북도 문경시,경상북도 경산시,경상북도 군위군,경상북도 의성군,경상북도 청송군,경상북도 영양군,경상북도 영덕군,경상북도 청도군,경상북도 고령군,경상북도 성주군,경상북도 칠곡군,경상북도 예천군,경상북도 봉화군,경상북도 울진군,경상북도 울릉군
2021년04월_계_총인구수,"2,635,896","504,103","231,264","272,839","252,869","140,665","158,210","414,730","102,703","102,529","96,793","71,800","264,722","23,063","51,380","24,904","16,516","35,962","42,085","31,133","43,118","114,297","55,716","31,236","48,327","9,035"
2021년04월_계_연령구간인구수,"2,635,896","504,103","231,264","272,839","252,869","140,665","158,210","414,730","102,703","102,529","96,793","71,800","264,722","23,063","51,380","24,904","16,516","35,962","42,085","31,133","43,118","114,297","55,716","31,236","48,327","9,035"
2021년04월_계_0~9세,"185,360","38,829","17,106","21,723","15,976","10,199","10,421","40,337","5,944","5,689","5,090","3,983","20,069",650,"1,870",959,715,"1,567","1,462","1,383","1,885","9,222","4,564","1,330","2,824",392
2021년04월_계_10~19세,"224,452","46,513","21,163","25,350","20,589","12,441","13,564","44,394","8,779","6,744","7,503","5,636","22,705",936,"2,227","1,177",920,"2,056","2,258","1,982","2,209","11,439","4,414","1,857","3,664",445
2021년04월_계_20~29세,"281,555","56,854","26,668","30,186","26,372","14,551","16,544","55,856","9,591","10,157","7,863","6,326","36,206","1,449","3,063","1,655","1,121","2,342","2,745","2,451","3,369","11,825","4,097","1,911","4,383",824
2021년04월_계_30~39세,"286,646","58,849","26,601","32,248","25,061","14,871","15,345","64,745","8,384","9,374","7,285","5,647","32,901","1,262","3,129","1,661","1,011","2,337","2,692","2,192","3,220","14,361","5,413","1,874","4,181",851
2021년04월_계_40~49세,"381,057","77,102","35,699","41,403","36,451","19,329","21,956","72,787","13,692","12,582","11,328","8,727","41,514","2,093","4,616","2,340","1,658","3,794","4,361","3,746","4,651","20,641","7,160","3,163","6,110","1,256"
2021년04월_계_50~59세,"456,550","89,531","41,115","48,416","46,652","23,647","26,083","69,882","17,601","18,239","16,576","11,986","45,023","4,209","8,520","4,668","2,908","6,083","7,166","5,828","8,298","19,701","7,971","5,657","8,510","1,811"
2021년04월_계_60~69세,"420,500","80,732","37,498","43,234","42,083","22,704","26,279","41,166","18,803","19,161","18,747","13,756","35,958","5,490","12,027","5,595","3,540","7,524","9,764","6,412","9,603","14,286","9,637","6,959","8,485","1,789"
2021년04월_계_70~79세,"241,463","37,543","17,489","20,054","24,634","13,332","16,523","16,079","11,797","12,645","12,483","9,169","19,668","3,979","8,841","3,981","2,633","5,819","6,678","4,114","5,849","7,663","6,701","4,667","5,606","1,059"
2021년04월_계_80~89세,"138,128","15,860","6,975","8,885","13,223","8,287","9,929","8,250","7,003","7,095","8,537","5,681","9,482","2,647","6,231","2,532","1,727","3,887","4,323","2,688","3,520","4,504","5,062","3,268","3,879",513
2021년04월_계_90~99세,"19,467","2,216",909,"1,307","1,762","1,274","1,502","1,194","1,057",818,"1,340",829,"1,164",336,826,320,265,531,625,329,503,635,673,519,668,81
2021년04월_계_100세 이상,718,74,41,33,66,30,64,40,52,25,41,60,32,12,30,16,18,22,11,8,11,20,24,31,17,14
