카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년12월_계_총인구수,"97,228","6,564","1,414","3,853","3,070",992,"2,673","3,956","1,668","1,960","2,570","1,753",754,"1,993","2,784","1,233",332,"2,730","1,146",380,"2,145","2,060",827,"12,259","9,143","7,935","8,340","3,670","9,024"
2020년12월_계_연령구간인구수,"97,228","6,564","1,414","3,853","3,070",992,"2,673","3,956","1,668","1,960","2,570","1,753",754,"1,993","2,784","1,233",332,"2,730","1,146",380,"2,145","2,060",827,"12,259","9,143","7,935","8,340","3,670","9,024"
2020년12월_계_0~9세,"5,200",278,43,101,96,29,84,88,61,56,95,58,25,64,140,31,5,85,19,7,37,64,26,921,713,576,563,186,749
2020년12월_계_10~19세,"7,541",500,60,166,158,35,108,202,69,87,152,69,38,106,149,64,11,155,47,19,93,91,35,"1,307",865,817,815,349,974
2020년12월_계_20~29세,"8,163",424,69,196,168,53,152,206,82,106,156,106,32,104,158,71,15,119,47,12,101,98,48,"1,320",972,747,851,317,"1,433"
2020년12월_계_30~39세,"7,445",464,74,211,130,34,157,192,87,98,126,82,47,103,182,72,10,145,32,8,103,70,31,"1,251","1,085",748,766,276,861
2020년12월_계_40~49세,"11,490",735,106,336,261,72,215,302,124,136,243,171,55,170,256,115,25,291,85,26,166,191,64,"1,797","1,364","1,151","1,194",491,"1,348"
2020년12월_계_50~59세,"16,728","1,091",239,639,523,201,426,641,294,387,499,330,155,382,526,259,66,487,171,71,307,311,165,"2,075","1,569","1,381","1,518",624,"1,391"
2020년12월_계_60~69세,"18,318","1,329",312,877,655,226,626,983,379,491,638,426,188,456,609,277,100,600,289,73,522,424,189,"1,855","1,425","1,216","1,294",643,"1,216"
2020년12월_계_70~79세,"12,639",968,302,680,566,153,476,750,301,332,390,281,115,347,412,186,57,460,262,74,438,426,139,"1,123",707,758,828,485,623
2020년12월_계_80~89세,"8,366",670,184,559,426,171,366,509,231,239,236,204,86,211,309,135,38,333,166,79,322,319,103,523,388,480,445,262,372
2020년12월_계_90~99세,"1,276",96,25,85,81,16,59,81,40,28,31,25,13,49,42,21,5,51,26,11,55,64,26,80,55,59,62,34,56
2020년12월_계_100세 이상,62,9,0,3,6,2,4,2,0,0,4,1,0,1,1,2,0,4,2,0,1,2,1,7,0,2,4,3,1
2020년12월_남_총인구수,"47,634","3,164",688,"1,880","1,488",485,"1,308","1,945",832,999,"1,284",886,361,998,"1,349",626,173,"1,287",528,198,"1,017",985,396,"6,024","4,547","3,784","4,063","1,804","4,535"
2020년12월_남_연령구간인구수,"47,634","3,164",688,"1,880","1,488",485,"1,308","1,945",832,999,"1,284",886,361,998,"1,349",626,173,"1,287",528,198,"1,017",985,396,"6,024","4,547","3,784","4,063","1,804","4,535"
2020년12월_남_0~9세,"2,688",152,29,51,51,15,48,40,28,23,47,28,14,32,74,18,2,35,7,1,16,40,13,476,354,301,295,106,392
2020년12월_남_10~19세,"3,933",225,26,101,79,14,69,124,44,52,79,36,19,54,69,30,6,80,28,13,44,39,17,729,458,401,412,192,493
2020년12월_남_20~29세,"4,750",248,43,132,99,36,100,125,48,63,101,71,14,59,90,37,11,72,24,9,69,57,18,750,546,412,471,190,855
2020년12월_남_30~39세,"4,015",258,43,120,82,18,89,110,43,62,64,50,23,61,100,49,6,81,17,5,70,43,12,676,558,400,398,139,438
2020년12월_남_40~49세,"6,091",396,74,223,153,44,140,199,87,74,145,102,37,105,140,59,15,164,53,16,105,108,40,861,684,574,558,278,657
2020년12월_남_50~59세,"8,828",592,147,357,288,118,226,337,177,214,259,188,75,222,270,147,40,261,93,46,163,181,93,"1,017",809,674,831,320,683
2020년12월_남_60~69세,"8,988",654,146,458,344,112,320,490,192,271,327,223,106,229,307,144,56,291,143,39,260,215,103,852,696,564,584,271,591
2020년12월_남_70~79세,"5,452",407,124,273,246,69,188,330,133,153,171,115,48,157,176,83,24,195,107,36,190,182,65,485,307,312,359,220,297
