카테고리,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년07월_계_총인구수,"48,175","13,921","2,781","6,666",699,"2,756","2,518","1,722","6,373","7,458","1,267","2,014"
2021년07월_계_연령구간인구수,"48,175","13,921","2,781","6,666",699,"2,756","2,518","1,722","6,373","7,458","1,267","2,014"
2021년07월_계_0~9세,"2,788","1,048",56,760,6,99,57,48,293,353,22,46
2021년07월_계_10~19세,"3,621","1,602",215,469,23,118,88,60,380,547,39,80
2021년07월_계_20~29세,"4,400","1,587",167,732,45,197,173,96,656,613,36,98
2021년07월_계_30~39세,"4,119","1,334",151,"1,062",26,170,127,58,551,526,35,79
2021년07월_계_40~49세,"6,063","2,281",217,968,62,277,150,139,794,916,103,156
2021년07월_계_50~59세,"8,390","2,388",446,"1,044",138,495,407,260,"1,230","1,349",294,339
2021년07월_계_60~69세,"8,666","1,833",567,827,155,605,597,398,"1,280","1,626",323,455
2021년07월_계_70~79세,"5,539","1,066",502,455,124,376,436,331,691,982,223,353
2021년07월_계_80~89세,"3,891",666,390,303,104,354,395,283,434,452,171,339
2021년07월_계_90~99세,684,114,68,43,16,64,88,49,61,93,20,68
2021년07월_계_100세 이상,14,2,2,3,0,1,0,0,3,1,1,1
2021년07월_남_총인구수,"24,193","7,050","1,333","3,523",362,"1,385","1,208",830,"3,272","3,658",626,946
2021년07월_남_연령구간인구수,"24,193","7,050","1,333","3,523",362,"1,385","1,208",830,"3,272","3,658",626,946
2021년07월_남_0~9세,"1,443",553,32,386,4,57,29,22,144,183,12,21
2021년07월_남_10~19세,"1,943",841,151,246,12,61,40,35,206,290,22,39
2021년07월_남_20~29세,"2,625",922,98,449,26,110,118,58,401,362,24,57
2021년07월_남_30~39세,"2,260",706,84,567,19,104,80,35,316,275,22,52
2021년07월_남_40~49세,"3,314","1,139",129,548,43,170,87,78,461,504,53,102
2021년07월_남_50~59세,"4,597","1,267",245,604,90,291,231,152,667,692,160,198
2021년07월_남_60~69세,"4,296",926,262,418,84,308,301,202,641,757,172,225
2021년07월_남_70~79세,"2,416",459,198,214,49,159,187,142,313,438,103,154
2021년07월_남_80~89세,"1,183",221,119,89,34,114,120,96,112,139,49,90
2021년07월_남_90~99세,116,16,15,2,1,11,15,10,11,18,9,8
2021년07월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년07월_여_총인구수,"23,982","6,871","1,448","3,143",337,"1,371","1,310",892,"3,101","3,800",641,"1,068"
2021년07월_여_연령구간인구수,"23,982","6,871","1,448","3,143",337,"1,371","1,310",892,"3,101","3,800",641,"1,068"
2021년07월_여_0~9세,"1,345",495,24,374,2,42,28,26,149,170,10,25
2021년07월_여_10~19세,"1,678",761,64,223,11,57,48,25,174,257,17,41
2021년07월_여_20~29세,"1,775",665,69,283,19,87,55,38,255,251,12,41
2021년07월_여_30~39세,"1,859",628,67,495,7,66,47,23,235,251,13,27
2021년07월_여_40~49세,"2,749","1,142",88,420,19,107,63,61,333,412,50,54
2021년07월_여_50~59세,"3,793","1,121",201,440,48,204,176,108,563,657,134,141
2021년07월_여_60~69세,"4,370",907,305,409,71,297,296,196,639,869,151,230
2021년07월_여_70~79세,"3,123",607,304,241,75,217,249,189,378,544,120,199
2021년07월_여_80~89세,"2,708",445,271,214,70,240,275,187,322,313,122,249
2021년07월_여_90~99세,568,98,53,41,15,53,73,39,50,75,11,60
2021년07월_여_100세 이상,14,2,2,3,0,1,0,0,3,1,1,1
