,서울특별시 강동구,서울특별시 강동구 강일동,서울특별시 강동구 상일동,서울특별시 강동구 명일제1동,서울특별시 강동구 명일제2동,서울특별시 강동구 고덕제1동,서울특별시 강동구 고덕제2동,서울특별시 강동구 암사제1동,서울특별시 강동구 암사제2동,서울특별시 강동구 암사제3동,서울특별시 강동구 천호제1동,서울특별시 강동구 천호제2동,서울특별시 강동구 천호제3동,서울특별시 강동구 성내제1동,서울특별시 강동구 성내제2동,서울특별시 강동구 성내제3동,서울특별시 강동구 길동,서울특별시 강동구 둔촌제1동,서울특별시 강동구 둔촌제2동
2020년08월_계_총인구수,"457,330","31,647","32,874","26,467","17,449","26,392","21,233","35,865","15,519","18,326","27,658","34,927","26,780","20,292","24,326","23,490","46,762",260,"27,063"
2020년08월_계_연령구간인구수,"457,330","31,647","32,874","26,467","17,449","26,392","21,233","35,865","15,519","18,326","27,658","34,927","26,780","20,292","24,326","23,490","46,762",260,"27,063"
2020년08월_계_0~9세,"34,667","2,465","4,163","2,153","1,171","3,201","2,397","2,283","1,453","2,045","1,526","1,833","1,380","1,586","1,138","1,326","2,638",6,"1,903"
2020년08월_계_10~19세,"39,254","4,463","3,255","2,575","2,547","3,477","1,871","2,718","1,041","1,941","1,828","1,927","1,359","1,784","1,222","1,825","3,113",9,"2,299"
2020년08월_계_20~29세,"61,361","3,954","3,615","3,308","2,192","2,529","2,300","4,882","2,027","1,983","3,865","5,055","4,210","2,730","3,988","3,656","7,179",18,"3,870"
2020년08월_계_30~39세,"71,559","3,350","5,447","4,219","1,866","3,774","3,638","5,498","2,910","2,643","4,145","6,307","4,805","3,354","4,327","3,576","7,666",25,"4,009"
2020년08월_계_40~49세,"73,587","5,480","5,731","4,295","3,110","5,467","3,541","5,663","2,452","3,248","4,118","5,102","3,825","3,402","3,509","3,661","6,915",51,"4,017"
2020년08월_계_50~59세,"72,593","5,000","4,816","4,124","2,772","3,561","3,209","6,086","2,253","2,693","4,658","5,877","4,394","3,062","3,887","3,974","7,690",30,"4,507"
2020년08월_계_60~69세,"61,820","3,782","3,908","3,537","2,409","2,706","2,725","4,992","1,909","2,320","4,352","4,992","3,931","2,541","3,623","3,192","6,920",53,"3,928"
2020년08월_계_70~79세,"30,162","2,055","1,426","1,579",952,"1,087","1,094","2,686","1,093","1,051","2,284","2,762","2,062","1,312","1,890","1,679","3,337",40,"1,773"
2020년08월_계_80~89세,"10,237",926,418,553,336,435,366,895,324,329,740,897,703,438,636,508,"1,091",12,630
2020년08월_계_90~99세,"1,840",157,88,114,87,128,88,136,45,65,128,150,96,78,87,81,190,8,114
2020년08월_계_100세 이상,250,15,7,10,7,27,4,26,12,8,14,25,15,5,19,12,23,8,13
2020년08월_남_총인구수,"225,103","15,273","16,208","12,923","8,587","13,400","10,771","17,757","7,525","8,962","13,614","17,274","13,100","9,845","11,960","11,571","22,873",124,"13,336"
2020년08월_남_연령구간인구수,"225,103","15,273","16,208","12,923","8,587","13,400","10,771","17,757","7,525","8,962","13,614","17,274","13,100","9,845","11,960","11,571","22,873",124,"13,336"
2020년08월_남_0~9세,"17,961","1,247","2,167","1,117",585,"1,673","1,242","1,139",747,"1,045",760,956,723,841,617,698,"1,375",4,"1,025"
