카테고리,경상남도 통영시,경상남도 통영시 산양읍,경상남도 통영시 용남면,경상남도 통영시 도산면,경상남도 통영시 광도면,경상남도 통영시 욕지면,경상남도 통영시 한산면,경상남도 통영시 사량면,경상남도 통영시 도천동,경상남도 통영시 명정동,경상남도 통영시 중앙동,경상남도 통영시 정량동,경상남도 통영시 북신동,경상남도 통영시 미수동,경상남도 통영시 봉평동,경상남도 통영시 무전동
2020년01월_계_총인구수,"131,089","4,874","13,007","2,995","31,208","2,075","2,088","1,522","9,230","3,123","4,238","9,305","10,838","11,773","10,690","14,123"
2020년01월_계_연령구간인구수,"131,089","4,874","13,007","2,995","31,208","2,075","2,088","1,522","9,230","3,123","4,238","9,305","10,838","11,773","10,690","14,123"
2020년01월_계_0~9세,"10,728",143,"1,401",80,"4,173",55,34,20,461,109,150,547,757,"1,050",569,"1,179"
2020년01월_계_10~19세,"13,067",219,"1,449",138,"3,921",99,70,46,862,202,246,693,974,"1,448","1,007","1,693"
2020년01월_계_20~29세,"11,848",357,"1,168",196,"2,714",126,89,75,964,232,343,765,"1,058","1,107","1,024","1,630"
2020년01월_계_30~39세,"15,415",356,"1,629",168,"5,177",129,104,86,836,213,318,"1,009","1,229","1,328","1,062","1,771"
2020년01월_계_40~49세,"21,715",588,"2,290",310,"6,349",283,197,131,"1,329",400,575,"1,390","1,617","2,059","1,588","2,609"
2020년01월_계_50~59세,"23,012","1,000","2,124",537,"4,392",429,359,328,"1,811",622,874,"1,890","1,915","2,077","2,129","2,525"
2020년01월_계_60~69세,"19,271","1,026","1,523",725,"2,687",464,450,346,"1,576",654,910,"1,722","1,920","1,702","1,826","1,740"
2020년01월_계_70~79세,"10,887",722,920,526,"1,223",312,474,285,979,492,570,941,985,710,"1,036",712
2020년01월_계_80~89세,"4,543",405,433,277,504,159,282,184,366,174,230,313,332,259,390,235
2020년01월_계_90~99세,578,56,69,38,68,19,28,19,43,24,21,32,46,32,55,28
2020년01월_계_100세 이상,25,2,1,0,0,0,1,2,3,1,1,3,5,1,4,1
2020년01월_남_총인구수,"65,897","2,579","6,502","1,536","15,824","1,149","1,052",758,"4,575","1,541","2,095","4,755","5,239","5,773","5,474","7,045"
2020년01월_남_연령구간인구수,"65,897","2,579","6,502","1,536","15,824","1,149","1,052",758,"4,575","1,541","2,095","4,755","5,239","5,773","5,474","7,045"
2020년01월_남_0~9세,"5,408",67,684,43,"2,145",27,15,10,218,44,66,268,383,544,274,620
2020년01월_남_10~19세,"6,798",113,750,78,"2,026",65,40,24,417,97,122,364,508,747,532,915
2020년01월_남_20~29세,"6,426",216,608,112,"1,449",69,48,50,544,135,187,410,582,580,587,849
2020년01월_남_30~39세,"8,006",210,780,96,"2,536",87,63,55,461,116,187,575,655,650,610,925
2020년01월_남_40~49세,"11,789",385,"1,244",208,"3,379",186,129,79,729,246,356,827,825,"1,058",859,"1,279"
2020년01월_남_50~59세,"11,674",582,"1,092",302,"2,246",249,227,187,905,318,444,949,844,"1,001","1,109","1,219"
2020년01월_남_60~69세,"9,435",559,782,353,"1,344",243,234,187,760,324,421,813,844,838,911,822
2020년01월_남_70~79세,"4,857",322,397,251,547,165,205,116,410,200,231,442,467,291,463,350
2020년01월_남_80~89세,"1,391",117,148,87,143,57,83,47,126,57,73,103,120,55,112,63
2020년01월_남_90~99세,105,8,16,6,9,1,8,3,4,4,8,4,8,8,16,2
2020년01월_남_100세 이상,8,0,1,0,0,0,0,0,1,0,0,0,3,1,1,1
2020년01월_여_총인구수,"65,192","2,295","6,505","1,459","15,384",926,"1,036",764,"4,655","1,582","2,143","4,550","5,599","6,000","5,216","7,078"
2020년01월_여_연령구간인구수,"65,192","2,295","6,505","1,459","15,384",926,"1,036",764,"4,655","1,582","2,143","4,550","5,599","6,000","5,216","7,078"
2020년01월_여_0~9세,"5,320",76,717,37,"2,028",28,19,10,243,65,84,279,374,506,295,559
2020년01월_여_10~19세,"6,269",106,699,60,"1,895",34,30,22,445,105,124,329,466,701,475,778
2020년01월_여_20~29세,"5,422",141,560,84,"1,265",57,41,25,420,97,156,355,476,527,437,781
2020년01월_여_30~39세,"7,409",146,849,72,"2,641",42,41,31,375,97,131,434,574,678,452,846
2020년01월_여_40~49세,"9,926",203,"1,046",102,"2,970",97,68,52,600,154,219,563,792,"1,001",729,"1,330"
2020년01월_여_50~59세,"11,338",418,"1,032",235,"2,146",180,132,141,906,304,430,941,"1,071","1,076","1,020","1,306"
2020년01월_여_60~69세,"9,836",467,741,372,"1,343",221,216,159,816,330,489,909,"1,076",864,915,918
2020년01월_여_70~79세,"6,030",400,523,275,676,147,269,169,569,292,339,499,518,419,573,362
2020년01월_여_80~89세,"3,152",288,285,190,361,102,199,137,240,117,157,210,212,204,278,172
2020년01월_여_90~99세,473,48,53,32,59,18,20,16,39,20,13,28,38,24,39,26
2020년01월_여_100세 이상,17,2,0,0,0,0,1,2,2,1,1,3,2,0,3,0
