카테고리,강원도 양구군,강원도 양구군 양구읍,강원도 양구군 국토정중앙면,강원도 양구군 동면,강원도 양구군 방산면,강원도 양구군 해안면
2021년11월_계_총인구수,"21,875","13,912","3,367","2,047","1,282","1,267"
2021년11월_계_연령구간인구수,"21,875","13,912","3,367","2,047","1,282","1,267"
2021년11월_계_0~9세,"1,665","1,399",102,97,41,26
2021년11월_계_10~19세,"1,987","1,583",179,88,58,79
2021년11월_계_20~29세,"2,870","1,669",440,395,262,104
2021년11월_계_30~39세,"2,496","1,899",253,170,91,83
2021년11월_계_40~49세,"2,437","1,818",270,142,79,128
2021년11월_계_50~59세,"3,419","2,013",604,340,197,265
2021년11월_계_60~69세,"3,642","1,919",760,379,288,296
2021년11월_계_70~79세,"1,959",941,435,262,144,177
2021년11월_계_80~89세,"1,211",590,275,144,105,97
2021년11월_계_90~99세,180,76,45,30,17,12
2021년11월_계_100세 이상,9,5,4,0,0,0
2021년11월_남_총인구수,"11,525","7,063","1,896","1,140",741,685
2021년11월_남_연령구간인구수,"11,525","7,063","1,896","1,140",741,685
2021년11월_남_0~9세,837,692,55,53,20,17
2021년11월_남_10~19세,991,773,99,45,31,43
2021년11월_남_20~29세,"1,901",984,357,279,218,63
2021년11월_남_30~39세,"1,382","1,005",158,111,60,48
2021년11월_남_40~49세,"1,318",948,167,81,43,79
2021년11월_남_50~59세,"1,817","1,046",342,181,104,144
2021년11월_남_60~69세,"1,953",993,413,216,162,169
2021년11월_남_70~79세,854,405,191,113,61,84
2021년11월_남_80~89세,424,193,104,54,37,36
2021년11월_남_90~99세,44,21,9,7,5,2
2021년11월_남_100세 이상,4,3,1,0,0,0
2021년11월_여_총인구수,"10,350","6,849","1,471",907,541,582
2021년11월_여_연령구간인구수,"10,350","6,849","1,471",907,541,582
2021년11월_여_0~9세,828,707,47,44,21,9
2021년11월_여_10~19세,996,810,80,43,27,36
2021년11월_여_20~29세,969,685,83,116,44,41
2021년11월_여_30~39세,"1,114",894,95,59,31,35
2021년11월_여_40~49세,"1,119",870,103,61,36,49
2021년11월_여_50~59세,"1,602",967,262,159,93,121
2021년11월_여_60~69세,"1,689",926,347,163,126,127
2021년11월_여_70~79세,"1,105",536,244,149,83,93
2021년11월_여_80~89세,787,397,171,90,68,61
2021년11월_여_90~99세,136,55,36,23,12,10
2021년11월_여_100세 이상,5,2,3,0,0,0
