카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년02월_계_총인구수,"9,648,606","148,884","124,836","230,113","292,537","345,248","341,756","393,933","437,961","306,639","323,431","520,366","478,336","311,132","371,200","454,270","579,082","402,642","231,290","380,443","389,754","493,374","423,829","537,879","665,463","464,208"
2021년02월_계_연령구간인구수,"9,648,606","148,884","124,836","230,113","292,537","345,248","341,756","393,933","437,961","306,639","323,431","520,366","478,336","311,132","371,200","454,270","579,082","402,642","231,290","380,443","389,754","493,374","423,829","537,879","665,463","464,208"
2021년02월_계_0~9세,"614,701","7,389","6,653","13,335","20,122","19,060","20,338","22,635","28,981","15,366","18,308","32,549","29,057","19,854","24,519","31,490","38,825","27,449","12,265","25,657","24,097","21,738","33,408","36,418","49,952","35,236"
2021년02월_계_10~19세,"776,296","10,913","6,737","15,488","19,633","25,639","23,510","26,464","37,101","21,701","25,336","52,527","38,276","23,509","28,232","50,581","44,382","29,766","14,507","24,225","27,584","28,259","45,231","58,847","58,618","39,230"
2021년02월_계_20~29세,"1,449,950","23,248","18,450","33,441","44,526","62,452","56,037","55,924","66,357","42,541","42,920","72,344","66,691","49,787","61,599","59,300","86,549","55,208","37,032","59,152","65,773","108,453","54,429","72,945","93,256","61,536"
2021년02월_계_30~39세,"1,466,661","19,831","19,964","38,137","48,524","55,710","49,780","57,749","59,914","38,312","40,442","64,110","67,853","44,851","64,115","57,595","98,584","62,507","35,447","69,424","61,790","86,427","62,646","81,041","109,298","72,610"
2021년02월_계_40~49세,"1,523,103","22,047","17,925","35,623","44,826","52,173","50,355","57,576","69,963","46,308","48,049","85,459","76,223","47,157","60,829","78,875","90,810","62,798","32,667","56,428","58,559","68,019","77,217","99,165","109,072","74,980"
2021년02월_계_50~59세,"1,522,829","25,418","20,619","37,072","47,247","54,391","53,195","69,302","69,549","52,537","56,791","87,682","77,264","49,371","54,414","76,517","85,914","63,128","40,121","57,078","58,268","68,073","63,390","80,611","102,389","72,488"
2021년02월_계_60~69세,"1,255,862","20,170","17,757","29,118","36,908","42,887","46,726","58,942","55,491","46,246","50,170","68,587","64,977","38,975","39,913","58,350","77,101","56,495","33,515","47,561","49,525","59,613","47,917","59,815","84,812","64,291"
2021년02월_계_70~79세,"706,474","12,427","10,709","17,185","20,614","22,407","28,158","31,552","33,657","30,076","27,769","37,582","39,268","24,258","24,272","28,803","39,089","31,927","18,086","27,470","29,944","37,254","27,605","34,465","40,893","31,004"
2021년02월_계_80~89세,"282,532","6,060","4,912","8,718","8,679","9,010","11,728","11,922","14,439","11,775","11,779","16,677","16,166","11,384","11,256","10,833","15,035","11,633","6,573","11,556","12,062","13,420","9,916","11,991","14,332","10,676"
2021년02월_계_90~99세,"43,325","1,103",902,"1,623","1,205","1,300","1,606","1,664","2,117","1,524","1,691","2,559","2,132","1,680","1,704","1,733","2,547","1,549",898,"1,598","1,834","1,794","1,831","2,274","2,556","1,901"
2021년02월_계_100세 이상,"6,873",278,208,373,253,219,323,203,392,253,176,290,429,306,347,193,246,182,179,294,318,324,239,307,285,256
2021년02월_남_총인구수,"4,690,282","72,372","61,018","110,646","142,904","166,535","169,139","194,665","211,283","149,427","157,603","250,929","229,318","148,908","174,741","222,789","279,269","198,687","116,950","188,029","188,428","247,472","202,692","257,231","320,991","228,256"
2021년02월_남_연령구간인구수,"4,690,282","72,372","61,018","110,646","142,904","166,535","169,139","194,665","211,283","149,427","157,603","250,929","229,318","148,908","174,741","222,789","279,269","198,687","116,950","188,029","188,428","247,472","202,692","257,231","320,991","228,256"
2021년02월_남_0~9세,"315,565","3,722","3,431","6,857","10,300","9,721","10,443","11,697","14,793","7,970","9,480","16,724","14,882","10,092","12,468","16,205","19,829","13,999","6,305","13,109","12,311","11,141","17,237","18,812","25,744","18,293"
2021년02월_남_10~19세,"398,241","5,458","3,361","7,871","9,823","13,030","11,875","13,465","18,878","11,150","13,055","27,268","19,573","11,807","14,227","26,369","22,671","15,328","7,301","12,623","14,176","14,453","23,083","30,698","30,041","20,657"
2021년02월_남_20~29세,"701,927","11,426","8,740","15,873","22,032","29,245","27,788","27,693","32,005","20,878","21,816","37,042","32,039","23,818","27,751","30,197","39,989","27,110","18,633","27,675","31,733","52,810","26,129","34,884","44,357","30,264"
