,울산광역시 동구,울산광역시 동구 방어동,울산광역시 동구 일산동,울산광역시 동구 화정동,울산광역시 동구 대송동,울산광역시 동구 전하1동,울산광역시 동구 전하2동,울산광역시 동구 남목1동,울산광역시 동구 남목2동,울산광역시 동구 남목3동
2020년06월_계_총인구수,"157,973","40,506","5,864","20,230","11,910","15,041","21,103","9,026","21,928","12,365"
2020년06월_계_연령구간인구수,"157,973","40,506","5,864","20,230","11,910","15,041","21,103","9,026","21,928","12,365"
2020년06월_계_0~9세,"15,545","3,835",255,"2,291",976,"1,408","2,179",740,"2,515","1,346"
2020년06월_계_10~19세,"15,627","4,104",366,"1,934","1,186","1,375","2,321",927,"2,143","1,271"
2020년06월_계_20~29세,"18,084","4,701",735,"2,076","1,569","1,922","2,459",935,"2,498","1,189"
2020년06월_계_30~39세,"24,033","6,202",804,"3,143","1,593","2,304","2,836","1,192","4,035","1,924"
2020년06월_계_40~49세,"25,771","7,164",837,"3,267","1,983","2,269","3,456","1,415","3,373","2,007"
2020년06월_계_50~59세,"26,302","6,694","1,084","3,304","2,340","2,434","3,886","1,508","3,116","1,936"
2020년06월_계_60~69세,"21,872","5,124","1,148","2,692","1,578","2,154","2,745","1,515","3,124","1,792"
2020년06월_계_70~79세,"7,970","1,955",480,"1,086",481,916,891,603,905,653
2020년06월_계_80~89세,"2,386",612,138,389,181,221,278,164,188,215
2020년06월_계_90~99세,358,108,16,43,22,35,50,26,29,29
2020년06월_계_100세 이상,25,7,1,5,1,3,2,1,2,3
2020년06월_남_총인구수,"82,633","21,715","3,170","10,410","6,235","7,805","10,809","4,634","11,586","6,269"
2020년06월_남_연령구간인구수,"82,633","21,715","3,170","10,410","6,235","7,805","10,809","4,634","11,586","6,269"
2020년06월_남_0~9세,"7,995","1,976",140,"1,161",496,740,"1,087",378,"1,318",699
2020년06월_남_10~19세,"8,234","2,183",194,"1,019",637,750,"1,184",477,"1,158",632
2020년06월_남_20~29세,"10,200","2,690",425,"1,151",849,"1,003","1,386",560,"1,472",664
2020년06월_남_30~39세,"13,270","3,600",514,"1,618",899,"1,274","1,474",633,"2,233","1,025"
2020년06월_남_40~49세,"13,950","4,071",484,"1,775","1,038","1,219","1,770",756,"1,801","1,036"
2020년06월_남_50~59세,"12,988","3,435",556,"1,682","1,180","1,189","1,926",706,"1,415",899
2020년06월_남_60~69세,"11,150","2,625",554,"1,364",826,"1,052","1,410",763,"1,614",942
2020년06월_남_70~79세,"4,037",940,250,528,244,492,472,306,499,306
2020년06월_남_80~89세,758,187,49,105,65,76,94,53,69,60
2020년06월_남_90~99세,46,8,4,6,1,8,5,2,6,6
2020년06월_남_100세 이상,5,0,0,1,0,2,1,0,1,0
2020년06월_여_총인구수,"75,340","18,791","2,694","9,820","5,675","7,236","10,294","4,392","10,342","6,096"
2020년06월_여_연령구간인구수,"75,340","18,791","2,694","9,820","5,675","7,236","10,294","4,392","10,342","6,096"
2020년06월_여_0~9세,"7,550","1,859",115,"1,130",480,668,"1,092",362,"1,197",647
2020년06월_여_10~19세,"7,393","1,921",172,915,549,625,"1,137",450,985,639
2020년06월_여_20~29세,"7,884","2,011",310,925,720,919,"1,073",375,"1,026",525
2020년06월_여_30~39세,"10,763","2,602",290,"1,525",694,"1,030","1,362",559,"1,802",899
2020년06월_여_40~49세,"11,821","3,093",353,"1,492",945,"1,050","1,686",659,"1,572",971
2020년06월_여_50~59세,"13,314","3,259",528,"1,622","1,160","1,245","1,960",802,"1,701","1,037"
2020년06월_여_60~69세,"10,722","2,499",594,"1,328",752,"1,102","1,335",752,"1,510",850
2020년06월_여_70~79세,"3,933","1,015",230,558,237,424,419,297,406,347
2020년06월_여_80~89세,"1,628",425,89,284,116,145,184,111,119,155
2020년06월_여_90~99세,312,100,12,37,21,27,45,24,23,23
2020년06월_여_100세 이상,20,7,1,4,1,1,1,1,1,3
