,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020년12월_계_총인구수,"263,728","25,619","36,335","20,912","5,985","5,558","3,346","3,760","3,034","10,015","6,620","20,107","36,652","30,723","16,272","38,790"
2020년12월_계_연령구간인구수,"263,728","25,619","36,335","20,912","5,985","5,558","3,346","3,760","3,034","10,015","6,620","20,107","36,652","30,723","16,272","38,790"
2020년12월_계_0~9세,"20,476","1,660","2,409","2,329",182,141,76,115,98,582,233,"2,031","2,836","3,398","1,056","3,330"
2020년12월_계_10~19세,"22,700","2,758","3,569","1,171",283,247,106,158,108,605,400,"1,977","4,009","2,318",790,"4,201"
2020년12월_계_20~29세,"36,229","3,803","5,424","3,185",509,478,209,277,261,"1,580","1,008","2,075","4,504","3,917","3,726","5,273"
2020년12월_계_30~39세,"33,192","2,552","3,975","4,137",503,402,206,214,198,"1,167",699,"2,725","3,989","4,642","2,826","4,957"
2020년12월_계_40~49세,"41,568","4,067","6,389","3,013",626,605,270,396,285,"1,321",818,"3,525","6,429","4,733","2,242","6,849"
2020년12월_계_50~59세,"44,853","4,232","6,967","2,830","1,191","1,061",610,720,603,"1,920","1,299","3,014","6,252","5,193","2,458","6,503"
2020년12월_계_60~69세,"34,901","3,284","4,049","2,324","1,390","1,281",855,874,698,"1,722","1,127","2,554","4,783","3,679","1,844","4,437"
2020년12월_계_70~79세,"19,395","2,096","2,288","1,213",801,844,604,560,486,772,658,"1,517","2,552","1,976",890,"2,138"
2020년12월_계_80~89세,"9,254","1,052","1,147",634,441,442,358,377,247,310,337,599,"1,154",782,394,980
2020년12월_계_90~99세,"1,095",103,111,72,53,54,51,66,48,34,38,81,139,82,44,119
2020년12월_계_100세 이상,65,12,7,4,6,3,1,3,2,2,3,9,5,3,2,3
2020년12월_남_총인구수,"132,805","12,869","18,930","11,113","3,217","2,821","1,763","1,951","1,550","4,863","3,287","9,895","17,517","14,768","8,853","19,408"
2020년12월_남_연령구간인구수,"132,805","12,869","18,930","11,113","3,217","2,821","1,763","1,951","1,550","4,863","3,287","9,895","17,517","14,768","8,853","19,408"
2020년12월_남_0~9세,"10,441",882,"1,241","1,226",103,68,38,55,53,279,127,"1,032","1,383","1,681",546,"1,727"
2020년12월_남_10~19세,"11,778","1,446","1,805",614,150,133,53,85,60,315,222,"1,066","1,966","1,167",435,"2,261"
2020년12월_남_20~29세,"19,914","2,143","3,103","1,768",311,276,140,172,159,829,548,"1,110","2,330","2,081","2,065","2,879"
2020년12월_남_30~39세,"17,799","1,397","2,248","2,344",286,250,130,131,113,603,405,"1,400","1,934","2,275","1,717","2,566"
2020년12월_남_40~49세,"21,315","1,981","3,312","1,740",389,372,175,235,169,647,421,"1,753","3,130","2,298","1,297","3,396"
2020년12월_남_50~59세,"22,490","2,163","3,745","1,454",681,526,343,400,330,899,651,"1,472","2,972","2,375","1,286","3,193"
2020년12월_남_60~69세,"17,045","1,582","2,091","1,186",737,663,474,481,348,824,535,"1,168","2,261","1,667",909,"2,119"
2020년12월_남_70~79세,"8,599",876,974,553,397,384,283,267,230,360,264,652,"1,085",891,455,928
2020년12월_남_80~89세,"3,168",370,377,210,150,139,119,112,74,100,104,223,424,309,136,321
2020년12월_남_90~99세,245,27,34,18,10,10,8,13,12,7,10,17,32,23,6,18
2020년12월_남_100세 이상,11,2,0,0,3,0,0,0,2,0,0,2,0,1,1,0
2020년12월_여_총인구수,"130,923","12,750","17,405","9,799","2,768","2,737","1,583","1,809","1,484","5,152","3,333","10,212","19,135","15,955","7,419","19,382"
2020년12월_여_연령구간인구수,"130,923","12,750","17,405","9,799","2,768","2,737","1,583","1,809","1,484","5,152","3,333","10,212","19,135","15,955","7,419","19,382"
2020년12월_여_0~9세,"10,035",778,"1,168","1,103",79,73,38,60,45,303,106,999,"1,453","1,717",510,"1,603"
2020년12월_여_10~19세,"10,922","1,312","1,764",557,133,114,53,73,48,290,178,911,"2,043","1,151",355,"1,940"
2020년12월_여_20~29세,"16,315","1,660","2,321","1,417",198,202,69,105,102,751,460,965,"2,174","1,836","1,661","2,394"
2020년12월_여_30~39세,"15,393","1,155","1,727","1,793",217,152,76,83,85,564,294,"1,325","2,055","2,367","1,109","2,391"
2020년12월_여_40~49세,"20,253","2,086","3,077","1,273",237,233,95,161,116,674,397,"1,772","3,299","2,435",945,"3,453"
2020년12월_여_50~59세,"22,363","2,069","3,222","1,376",510,535,267,320,273,"1,021",648,"1,542","3,280","2,818","1,172","3,310"
2020년12월_여_60~69세,"17,856","1,702","1,958","1,138",653,618,381,393,350,898,592,"1,386","2,522","2,012",935,"2,318"
2020년12월_여_70~79세,"10,796","1,220","1,314",660,404,460,321,293,256,412,394,865,"1,467","1,085",435,"1,210"
2020년12월_여_80~89세,"6,086",682,770,424,291,303,239,265,173,210,233,376,730,473,258,659
2020년12월_여_90~99세,850,76,77,54,43,44,43,53,36,27,28,64,107,59,38,101
2020년12월_여_100세 이상,54,10,7,4,3,3,1,3,0,2,3,7,5,2,1,3
