카테고리,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년04월_계_총인구수,"61,889","17,250","12,324","2,059","1,643","3,865","2,535","1,815","2,585","2,390","5,633","1,856","2,794","1,522","3,618"
2020년04월_계_연령구간인구수,"61,889","17,250","12,324","2,059","1,643","3,865","2,535","1,815","2,585","2,390","5,633","1,856","2,794","1,522","3,618"
2020년04월_계_0~9세,"3,513","1,434","1,016",63,31,110,70,43,151,72,231,44,107,37,104
2020년04월_계_10~19세,"4,210","1,599",924,126,61,168,247,63,181,76,360,52,165,53,135
2020년04월_계_20~29세,"5,109","1,805",965,127,100,277,140,98,208,180,527,94,220,96,272
2020년04월_계_30~39세,"5,399","1,959","1,282",104,104,245,154,104,202,151,437,113,200,84,260
2020년04월_계_40~49세,"7,198","2,401","1,736",145,140,388,181,149,298,201,657,148,301,137,316
2020년04월_계_50~59세,"11,208","2,916","2,194",335,313,727,441,294,436,485,"1,169",347,518,303,730
2020년04월_계_60~69세,"11,665","2,557","2,090",401,393,802,544,427,489,515,"1,116",407,621,389,914
2020년04월_계_70~79세,"8,011","1,576","1,305",404,265,669,420,379,356,398,706,363,384,248,538
2020년04월_계_80~89세,"4,921",894,723,301,211,423,306,222,230,272,383,258,237,150,311
2020년04월_계_90~99세,630,105,83,53,25,55,28,36,30,38,47,30,39,25,36
2020년04월_계_100세 이상,25,4,6,0,0,1,4,0,4,2,0,0,2,0,2
2020년04월_남_총인구수,"30,770","8,576","6,182","1,023",793,"1,982","1,203",887,"1,335","1,185","2,835",903,"1,360",755,"1,751"
2020년04월_남_연령구간인구수,"30,770","8,576","6,182","1,023",793,"1,982","1,203",887,"1,335","1,185","2,835",903,"1,360",755,"1,751"
2020년04월_남_0~9세,"1,816",741,527,26,18,51,35,25,88,37,116,26,55,19,52
2020년04월_남_10~19세,"2,265",831,500,79,47,107,103,27,108,40,207,31,78,31,76
2020년04월_남_20~29세,"2,934",992,543,78,59,183,81,60,127,104,320,59,115,56,157
2020년04월_남_30~39세,"2,976","1,047",664,61,59,142,93,70,112,95,250,68,124,51,140
2020년04월_남_40~49세,"4,053","1,268",997,92,75,238,117,94,179,114,368,91,157,87,176
2020년04월_남_50~59세,"5,941","1,501","1,137",176,166,441,227,171,254,280,602,190,277,141,378
2020년04월_남_60~69세,"5,808","1,223","1,035",225,197,407,266,210,245,262,557,214,310,204,453
2020년04월_남_70~79세,"3,406",686,552,169,118,272,184,155,142,168,299,142,166,125,228
2020년04월_남_80~89세,"1,462",267,216,103,47,133,88,69,75,81,110,77,72,38,86
2020년04월_남_90~99세,107,20,10,14,7,8,8,6,5,4,6,5,6,3,5
2020년04월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년04월_여_총인구수,"31,119","8,674","6,142","1,036",850,"1,883","1,332",928,"1,250","1,205","2,798",953,"1,434",767,"1,867"
2020년04월_여_연령구간인구수,"31,119","8,674","6,142","1,036",850,"1,883","1,332",928,"1,250","1,205","2,798",953,"1,434",767,"1,867"
2020년04월_여_0~9세,"1,697",693,489,37,13,59,35,18,63,35,115,18,52,18,52
2020년04월_여_10~19세,"1,945",768,424,47,14,61,144,36,73,36,153,21,87,22,59
2020년04월_여_20~29세,"2,175",813,422,49,41,94,59,38,81,76,207,35,105,40,115
2020년04월_여_30~39세,"2,423",912,618,43,45,103,61,34,90,56,187,45,76,33,120
2020년04월_여_40~49세,"3,145","1,133",739,53,65,150,64,55,119,87,289,57,144,50,140
2020년04월_여_50~59세,"5,267","1,415","1,057",159,147,286,214,123,182,205,567,157,241,162,352
2020년04월_여_60~69세,"5,857","1,334","1,055",176,196,395,278,217,244,253,559,193,311,185,461
2020년04월_여_70~79세,"4,605",890,753,235,147,397,236,224,214,230,407,221,218,123,310
2020년04월_여_80~89세,"3,459",627,507,198,164,290,218,153,155,191,273,181,165,112,225
2020년04월_여_90~99세,523,85,73,39,18,47,20,30,25,34,41,25,33,22,31
2020년04월_여_100세 이상,23,4,5,0,0,1,3,0,4,2,0,0,2,0,2
