카테고리,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2021년06월_계_총인구수,"93,354","6,901","12,001","4,961","2,944","27,056","25,372","8,808","5,311"
2021년06월_계_연령구간인구수,"93,354","6,901","12,001","4,961","2,944","27,056","25,372","8,808","5,311"
2021년06월_계_0~9세,"6,004",483,738,145,138,"1,807","2,040",401,252
2021년06월_계_10~19세,"8,468",580,"1,233",201,201,"2,567","2,901",512,273
2021년06월_계_20~29세,"11,157",749,"1,326",474,333,"3,460","3,319",900,596
2021년06월_계_30~39세,"10,013",763,"1,218",424,276,"2,907","3,013",791,621
2021년06월_계_40~49세,"13,927",900,"1,882",545,368,"4,039","4,419","1,149",625
2021년06월_계_50~59세,"16,333","1,245","2,022","1,001",549,"4,821","4,134","1,588",973
2021년06월_계_60~69세,"13,669","1,126","1,716","1,084",524,"3,848","2,687","1,705",979
2021년06월_계_70~79세,"8,618",652,"1,145",643,356,"2,292","1,822","1,105",603
2021년06월_계_80~89세,"4,545",368,652,360,181,"1,164",910,580,330
2021년06월_계_90~99세,594,34,68,76,18,148,125,69,56
2021년06월_계_100세 이상,26,1,1,8,0,3,2,8,3
2021년06월_남_총인구수,"46,626","3,449","5,880","2,602","1,438","13,339","12,505","4,573","2,840"
2021년06월_남_연령구간인구수,"46,626","3,449","5,880","2,602","1,438","13,339","12,505","4,573","2,840"
2021년06월_남_0~9세,"3,094",260,390,80,62,912,"1,039",210,141
2021년06월_남_10~19세,"4,270",279,630,107,92,"1,285","1,470",267,140
2021년06월_남_20~29세,"6,065",406,727,262,199,"1,864","1,765",513,329
2021년06월_남_30~39세,"5,202",389,599,242,146,"1,474","1,539",439,374
2021년06월_남_40~49세,"7,186",476,952,334,194,"2,007","2,204",657,362
2021년06월_남_50~59세,"8,626",651,"1,058",582,270,"2,479","2,152",873,561
2021년06월_남_60~69세,"6,725",565,793,587,271,"1,902","1,220",864,523
2021년06월_남_70~79세,"3,633",278,459,271,142,953,726,527,277
2021년06월_남_80~89세,"1,661",133,253,111,58,422,359,205,120
2021년06월_남_90~99세,161,12,19,25,4,40,31,18,12
2021년06월_남_100세 이상,3,0,0,1,0,1,0,0,1
2021년06월_여_총인구수,"46,728","3,452","6,121","2,359","1,506","13,717","12,867","4,235","2,471"
2021년06월_여_연령구간인구수,"46,728","3,452","6,121","2,359","1,506","13,717","12,867","4,235","2,471"
2021년06월_여_0~9세,"2,910",223,348,65,76,895,"1,001",191,111
2021년06월_여_10~19세,"4,198",301,603,94,109,"1,282","1,431",245,133
2021년06월_여_20~29세,"5,092",343,599,212,134,"1,596","1,554",387,267
2021년06월_여_30~39세,"4,811",374,619,182,130,"1,433","1,474",352,247
2021년06월_여_40~49세,"6,741",424,930,211,174,"2,032","2,215",492,263
2021년06월_여_50~59세,"7,707",594,964,419,279,"2,342","1,982",715,412
2021년06월_여_60~69세,"6,944",561,923,497,253,"1,946","1,467",841,456
2021년06월_여_70~79세,"4,985",374,686,372,214,"1,339","1,096",578,326
2021년06월_여_80~89세,"2,884",235,399,249,123,742,551,375,210
2021년06월_여_90~99세,433,22,49,51,14,108,94,51,44
2021년06월_여_100세 이상,23,1,1,7,0,2,2,8,2
