,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2020년08월_계_총인구수,"456,660","31,467","31,440","36,282","35,443","20,806","44,492","44,929","36,504","33,932","46,291","27,390","26,216","19,200","22,268"
2020년08월_계_연령구간인구수,"456,660","31,467","31,440","36,282","35,443","20,806","44,492","44,929","36,504","33,932","46,291","27,390","26,216","19,200","22,268"
2020년08월_계_0~9세,"34,502","1,154","1,850","2,370","2,559","1,586","2,909","3,144","2,873","2,920","6,814","2,019","1,563","1,114","1,627"
2020년08월_계_10~19세,"42,696","1,634","2,198","2,844","3,491","2,094","4,217","5,039","3,288","4,363","5,091","2,583","2,040","1,648","2,166"
2020년08월_계_20~29세,"63,593","6,122","5,192","4,719","4,578","2,425","6,266","6,543","5,104","4,588","5,142","3,781","3,579","2,500","3,054"
2020년08월_계_30~39세,"59,722","4,703","4,684","4,717","4,188","2,391","5,349","4,780","4,984","3,841","8,558","3,221","3,356","2,241","2,709"
2020년08월_계_40~49세,"74,508","4,446","4,919","5,873","5,719","3,468","7,002","7,318","5,827","6,469","8,831","4,327","3,869","2,848","3,592"
2020년08월_계_50~59세,"79,676","5,541","5,568","5,815","5,980","3,469","8,629","8,476","6,495","5,871","5,952","5,156","5,120","3,630","3,974"
2020년08월_계_60~69세,"55,323","4,377","3,890","5,118","4,449","2,790","5,707","5,406","4,475","2,921","3,511","3,410","3,658","2,838","2,773"
2020년08월_계_70~79세,"30,936","2,259","2,132","3,422","3,012","1,705","2,962","2,741","2,158","1,909","1,647","1,847","2,071","1,534","1,537"
2020년08월_계_80~89세,"13,658","1,028",881,"1,246","1,312",751,"1,282","1,278","1,135",910,656,910,843,712,714
2020년08월_계_90~99세,"1,832",143,115,140,145,117,158,196,154,136,88,117,104,100,119
2020년08월_계_100세 이상,214,60,11,18,10,10,11,8,11,4,1,19,13,35,3
2020년08월_남_총인구수,"224,985","16,077","15,573","17,751","17,196","9,935","21,944","21,764","18,113","16,782","22,538","13,420","13,067","9,725","11,100"
2020년08월_남_연령구간인구수,"224,985","16,077","15,573","17,751","17,196","9,935","21,944","21,764","18,113","16,782","22,538","13,420","13,067","9,725","11,100"
2020년08월_남_0~9세,"17,824",622,968,"1,247","1,323",788,"1,558","1,631","1,437","1,512","3,480","1,008",803,580,867
2020년08월_남_10~19세,"21,990",817,"1,180","1,448","1,762","1,070","2,151","2,620","1,719","2,218","2,543","1,361","1,053",884,"1,164"
2020년08월_남_20~29세,"32,375","2,912","2,540","2,314","2,324","1,227","3,276","3,328","2,653","2,433","2,566","1,994","1,868","1,339","1,601"
2020년08월_남_30~39세,"30,489","2,612","2,451","2,413","2,090","1,183","2,742","2,391","2,637","1,880","4,082","1,595","1,787","1,259","1,367"
2020년08월_남_40~49세,"37,336","2,478","2,503","3,065","2,793","1,714","3,410","3,494","2,883","3,126","4,432","2,132","1,973","1,501","1,832"
2020년08월_남_50~59세,"39,178","2,974","2,761","2,788","2,919","1,635","4,198","4,011","3,197","3,025","2,851","2,487","2,527","1,856","1,949"
2020년08월_남_60~69세,"26,708","2,240","1,849","2,344","2,077","1,323","2,794","2,609","2,209","1,414","1,634","1,695","1,829","1,357","1,334"
2020년08월_남_70~79세,"13,588",989,938,"1,551","1,316",723,"1,331","1,195",981,789,736,796,900,657,686
2020년08월_남_80~89세,"5,013",392,345,535,540,254,449,441,367,350,193,307,304,269,267
2020년08월_남_90~99세,438,29,34,42,51,17,32,41,28,33,21,35,22,20,33
2020년08월_남_100세 이상,46,12,4,4,1,1,3,3,2,2,0,10,1,3,0
2020년08월_여_총인구수,"231,675","15,390","15,867","18,531","18,247","10,871","22,548","23,165","18,391","17,150","23,753","13,970","13,149","9,475","11,168"
2020년08월_여_연령구간인구수,"231,675","15,390","15,867","18,531","18,247","10,871","22,548","23,165","18,391","17,150","23,753","13,970","13,149","9,475","11,168"
2020년08월_여_0~9세,"16,678",532,882,"1,123","1,236",798,"1,351","1,513","1,436","1,408","3,334","1,011",760,534,760
2020년08월_여_10~19세,"20,706",817,"1,018","1,396","1,729","1,024","2,066","2,419","1,569","2,145","2,548","1,222",987,764,"1,002"
2020년08월_여_20~29세,"31,218","3,210","2,652","2,405","2,254","1,198","2,990","3,215","2,451","2,155","2,576","1,787","1,711","1,161","1,453"
2020년08월_여_30~39세,"29,233","2,091","2,233","2,304","2,098","1,208","2,607","2,389","2,347","1,961","4,476","1,626","1,569",982,"1,342"
2020년08월_여_40~49세,"37,172","1,968","2,416","2,808","2,926","1,754","3,592","3,824","2,944","3,343","4,399","2,195","1,896","1,347","1,760"
2020년08월_여_50~59세,"40,498","2,567","2,807","3,027","3,061","1,834","4,431","4,465","3,298","2,846","3,101","2,669","2,593","1,774","2,025"
2020년08월_여_60~69세,"28,615","2,137","2,041","2,774","2,372","1,467","2,913","2,797","2,266","1,507","1,877","1,715","1,829","1,481","1,439"
2020년08월_여_70~79세,"17,348","1,270","1,194","1,871","1,696",982,"1,631","1,546","1,177","1,120",911,"1,051","1,171",877,851
2020년08월_여_80~89세,"8,645",636,536,711,772,497,833,837,768,560,463,603,539,443,447
2020년08월_여_90~99세,"1,394",114,81,98,94,100,126,155,126,103,67,82,82,80,86
2020년08월_여_100세 이상,168,48,7,14,9,9,8,5,9,2,1,9,12,32,3
