,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년05월_계_총인구수,"111,574","10,879","4,036","8,511","8,640","6,936","6,558","6,371","17,949","28,041","3,459","10,194"
2021년05월_계_연령구간인구수,"111,574","10,879","4,036","8,511","8,640","6,936","6,558","6,371","17,949","28,041","3,459","10,194"
2021년05월_계_0~9세,"5,024",397,164,360,214,325,369,325,963,"1,427",171,309
2021년05월_계_10~19세,"7,213",513,242,539,451,401,391,435,"1,398","2,142",170,531
2021년05월_계_20~29세,"11,790","1,072",417,890,774,706,631,565,"1,891","3,392",582,870
2021년05월_계_30~39세,"10,390","1,047",371,815,614,668,613,595,"1,745","2,782",323,817
2021년05월_계_40~49세,"14,841","1,415",534,"1,059","1,028",943,922,921,"2,552","3,835",436,"1,196"
2021년05월_계_50~59세,"18,919","1,891",670,"1,430","1,552","1,109","1,084","1,012","3,105","4,838",469,"1,759"
2021년05월_계_60~69세,"22,229","2,276",849,"1,671","1,810","1,441","1,181","1,235","3,407","5,277",661,"2,421"
2021년05월_계_70~79세,"14,442","1,532",539,"1,194","1,429",864,959,881,"1,996","2,997",471,"1,580"
2021년05월_계_80~89세,"5,980",642,227,487,703,404,383,347,803,"1,197",151,636
2021년05월_계_90~99세,693,90,22,63,63,55,24,54,86,146,23,67
2021년05월_계_100세 이상,53,4,1,3,2,20,1,1,3,8,2,8
2021년05월_남_총인구수,"55,016","5,426","1,943","4,128","4,342","3,413","3,204","3,124","8,935","13,691","1,834","4,976"
2021년05월_남_연령구간인구수,"55,016","5,426","1,943","4,128","4,342","3,413","3,204","3,124","8,935","13,691","1,834","4,976"
2021년05월_남_0~9세,"2,541",202,88,187,117,171,173,168,485,695,94,161
2021년05월_남_10~19세,"3,711",267,126,285,236,195,197,230,734,"1,086",85,270
2021년05월_남_20~29세,"6,488",553,222,489,431,372,338,305,"1,041","1,877",372,488
2021년05월_남_30~39세,"5,610",575,189,437,354,360,342,314,956,"1,464",183,436
2021년05월_남_40~49세,"7,761",776,278,522,594,513,494,479,"1,300","1,903",253,649
2021년05월_남_50~59세,"9,713","1,060",320,699,889,579,571,532,"1,573","2,320",255,915
2021년05월_남_60~69세,"10,661","1,096",382,792,884,685,538,581,"1,625","2,556",323,"1,199"
2021년05월_남_70~79세,"6,295",653,240,528,580,387,395,383,919,"1,353",206,651
2021년05월_남_80~89세,"2,096",232,94,170,250,137,151,119,286,407,54,196
2021년05월_남_90~99세,135,12,4,19,6,13,5,13,16,29,8,10
2021년05월_남_100세 이상,5,0,0,0,1,1,0,0,0,1,1,1
2021년05월_여_총인구수,"56,558","5,453","2,093","4,383","4,298","3,523","3,354","3,247","9,014","14,350","1,625","5,218"
2021년05월_여_연령구간인구수,"56,558","5,453","2,093","4,383","4,298","3,523","3,354","3,247","9,014","14,350","1,625","5,218"
2021년05월_여_0~9세,"2,483",195,76,173,97,154,196,157,478,732,77,148
2021년05월_여_10~19세,"3,502",246,116,254,215,206,194,205,664,"1,056",85,261
2021년05월_여_20~29세,"5,302",519,195,401,343,334,293,260,850,"1,515",210,382
2021년05월_여_30~39세,"4,780",472,182,378,260,308,271,281,789,"1,318",140,381
2021년05월_여_40~49세,"7,080",639,256,537,434,430,428,442,"1,252","1,932",183,547
2021년05월_여_50~59세,"9,206",831,350,731,663,530,513,480,"1,532","2,518",214,844
2021년05월_여_60~69세,"11,568","1,180",467,879,926,756,643,654,"1,782","2,721",338,"1,222"
2021년05월_여_70~79세,"8,147",879,299,666,849,477,564,498,"1,077","1,644",265,929
2021년05월_여_80~89세,"3,884",410,133,317,453,267,232,228,517,790,97,440
2021년05월_여_90~99세,558,78,18,44,57,42,19,41,70,117,15,57
2021년05월_여_100세 이상,48,4,1,3,1,19,1,1,3,7,1,7
